Year,Q,R,S
1972,55,65,70
1973,55,65,70
1974,55,65,70
1975,55,65,70
1976,55,65,70
1977,7,9,7
1978,7,9,7
1979,7,9,7
1980,7,9,7
1981,7,9,7
1982,5,6,7
1983,5,6,7
1984,5,6,7
1985,5,6,7
1986,6,8,8
1987,6,8,8
1988,6,8,8
1989,6,8,8
1990,6,8,8
1991,6,8,8
1992,6.49,7.12,9.04
1993,6.49,7.12,9.04
1994,6.49,7.12,9.04
1995,6.49,7.12,9.04
1996,6.49,7.12,9.04
1997,6.49,7.12,9.04
1998,6.49,7.12,9.04
1999,6.49,7.12,9.04
2000,7.58,9.31,9.69
2001,7.58,9.31,9.69
2002,7.58,9.31,9.69
2003,7.58,9.31,9.69
2004,7.58,9.31,9.69
2005,7.58,9.31,9.69
2006,6.65,8.87,7.48
2007,6.65,8.87,7.48
2008,6.65,8.87,7.48
2009,6.65,8.87,7.48
2010,6.65,8.87,7.48
2011,4.81,7.41,6.17
2012,4.81,7.41,6.17
2013,4.81,7.41,6.17
2014,4.81,7.41,6.17
2015,4.81,7.41,6.17
2016,4.81,7.41,6.17
