year,P,t_min,t_med,t_max
Jan-71,78.6,-0.22,2.44,5.1
Feb-71,22.6,0.5,4.37,8.25
Mar-71,40,1.48,5.22,8.96
Apr-71,20.6,8.05,12.58,17.11
May-71,63,11.41,16.66,21.92
Jun-71,48.8,13.82,19.52,25.23
Jul-71,28.6,17.47,23.14,28.81
Aug-71,8.8,19.05,24.6,30.16
Sep-71,88.4,12.85,17.05,21.25
Oct-71,23.8,7.56,12.65,17.75
Nov-71,106.8,4.07,8.14,12.21
Dec-71,22.4,0.43,3.23,6.04
Jan-72,153.4,2.29,4.41,6.52
Feb-72,90.2,4.65,7.29,9.93
Mar-72,23.2,5.96,10.45,14.94
Apr-72,157,8.66,12.19,15.71
May-72,43.6,6.97,10.53,14.09
Jun-72,16,11.29,15,18.7
Jul-72,77.2,12.56,16.1,19.64
Aug-72,61,16.85,21.93,27
Sep-72,155.6,12.69,16.3,19.9
Oct-72,42.2,8.84,14.59,20.34
Nov-72,55.8,5.12,8.87,12.62
Dec-72,45.2,3.06,4.76,6.45
Jan-73,131,3.43,3.43,5.65
Feb-73,47.8,4.43,4.43,9.14
Mar-73,87.2,5.7,5.7,10.83
Apr-73,76.4,9.49,9.49,14.97
May-73,18.8,16.8,16.8,22.02
Jun-73,44.6,21.87,21.87,27.71
Jul-73,44.8,25.25,25.25,31.39
Aug-73,17.4,24.41,24.41,30.55
Sep-73,208.2,20.71,20.71,25.26
Oct-73,44.6,14.18,14.18,18.83
Nov-73,26.2,5.42,5.42,9.43
Dec-73,12,1.34,1.34,5.59
Jan-74,18.6,0.48,3.03,5.57
Feb-74,27.4,3.18,7.01,10.83
Mar-74,41,3.76,7.87,11.97
Apr-74,51.8,6.59,11.33,16.06
May-74,42.6,11.43,16.8,22.18
Jun-74,63.2,14.98,20.28,25.58
Jul-74,57.2,19.01,25.19,31.38
Aug-74,54.8,19.58,25.72,31.85
Sep-74,18,14.96,20.28,25.59
Oct-74,50.2,5.09,9.71,14.33
Nov-74,49.2,3.9,7.14,10.38
Dec-74,20.2,-2.55,1.4,5.35
Jan-75,6,-1.04,1.99,5.01
Feb-75,30.8,-0.4,3.94,8.28
Mar-75,44.6,3.7,7.99,12.27
Apr-75,42,6.41,11.86,17.3
May-75,111,12.39,17.95,23.51
Jun-75,71,14.99,20.93,26.86
Jul-75,27.8,18.61,25.07,31.53
Aug-75,91.6,24.49,26.87,29.25
Sep-75,21.2,16.97,21.76,26.56
Oct-75,100,8.6,13.68,18.76
Nov-75,86.2,4.38,7.46,10.55
Dec-75,7.6,-0.94,2.05,5.05
Jan-76,14.4,1.42,3.77,6.13
Feb-76,71,4.24,8.02,11.79
Mar-76,64.2,2.94,5.15,7.35
Apr-76,32.6,1.87,5.47,9.07
May-76,18,7,15.98,24.97
Jun-76,21,13.37,19.57,25.77
Jul-76,36.4,16.9,22.9,28.9
Aug-76,140,14.19,18.94,23.68
Sep-76,119.2,11.53,17.12,22.7
Oct-76,93,10.42,14.39,18.35
Nov-76,51.9,5.9,8.93,11.97
Dec-76,53.6,1.39,3.94,6.48
Jan-77,33.2,1.68,4.18,6.68
Feb-77,31.2,4,8.88,10.96
Mar-77,59.4,5.74,10.63,15.52
Apr-77,29.8,5.33,11.02,16.7
May-77,23.2,10.84,16.11,21.39
Jun-77,21.8,13.63,20.02,26.4
Jul-77,63,16.42,22.55,28.68
Aug-77,81.1,15.68,20.94,26.19
Sep-77,27.6,10.9,16.73,22.57
Oct-77,38,11,15.18,19.35
Nov-77,82.6,4.88,8.53,12.17
Dec-77,24.1,-0.68,2.5,5.68
Jan-78,74,0.61,4.42,8.23
Feb-78,31.6,1.21,4.34,7.46
Mar-78,48.8,3.55,7.15,10.74
Apr-78,52.4,7.7,11.32,14.93
May-78,55.4,11.39,15.42,19.45
Jun-78,43,13.67,19.03,24.4
Jul-78,45.6,14.77,19.82,24.87
Aug-78,31,15,19.63,24.26
Sep-78,29,12.73,18.38,24.03
Oct-78,76.5,8.61,13.39,18.16
Nov-78,48.7,0.73,5.63,10.53
Dec-78,64.6,0.29,2.66,5.03
Jan-79,39.1,-3.27,0.12,3.52
Feb-79,53,3.29,5.97,8.66
Mar-79,36.6,4.48,9.21,13.94
Apr-79,22.1,5.62,10.47,15.32
May-79,0.01,9.52,16.18,22.84
Jun-79,14.8,15.8,21.75,27.7
Jul-79,122.6,15.41,20.49,25.58
Aug-79,117.6,15.87,21.34,26.81
Sep-79,64,13.27,18.52,23.77
Oct-79,22.4,9.42,13.31,17.21
Nov-79,128.8,2.5,4.79,7.08
Dec-79,40.8,1.05,3.49,5.94
Jan-80,27.4,-0.79,1.82,4.44
Feb-80,6.6,1,4.87,8.74
Mar-80,49.1,4.71,8.93,13.15
Apr-80,64.3,5.7,10.54,15.38
May-80,94.5,11.06,15.02,18.97
Jun-80,30.6,14.57,19.66,24.75
Jul-80,2.3,15.21,21.39,27.56
Aug-80,19.4,17.98,23.32,28.66
Sep-80,21.8,14.37,19.78,25.2
Oct-80,52,8.6,12.15,15.69
Nov-80,221.2,3.03,4.98,6.92
