Description: ,Standardised Precipitation Index
Station: ,Ravenna.txt
Latitude: ,44
Longitude: ,12
ClimPACT2_version: ,1.2.8
Date_of_calculation: ,07/03/2020
time, spi
1971-01,-99.9
1971-02,-99.9
1971-03,-99.9
1971-04,-99.9
1971-05,-99.9
1971-06,-99.9
1971-07,-99.9
1971-08,-99.9
1971-09,-99.9
1971-10,-99.9
1971-11,-99.9
1971-12,-99.9
1972-01,-99.9
1972-02,-99.9
1972-03,-99.9
1972-04,-99.9
1972-05,-99.9
1972-06,-99.9
1972-07,-99.9
1972-08,-99.9
1972-09,-99.9
1972-10,-99.9
1972-11,-99.9
1972-12,0.920828222
1973-01,1.16736316
1973-02,1.300275554
1973-03,1.422750262
1973-04,1.686019842
1973-05,1.530980127
1973-06,1.475767458
1973-07,1.558993175
1973-08,1.566586338
1973-09,1.907388511
1973-10,2.02708985
1973-11,1.797286242
1973-12,1.692725557
1974-01,1.237870427
1974-02,1.016401669
1974-03,1.045830494
1974-04,0.649293016
1974-05,0.650741654
1974-06,0.82719987
1974-07,0.758813922
1974-08,0.720724325
1974-09,0.147513246
1974-10,0.176558942
1974-11,0.137106233
1974-12,0.007371734
1975-01,-0.538392145
1975-02,-0.661967609
1975-03,-0.840211596
1975-04,-1.031560965
1975-05,-0.573789437
1975-06,-0.437722715
1975-07,-0.517621713
1975-08,-0.164768664
1975-09,-0.98352467
1975-10,-0.752891174
1975-11,-0.507173962
1975-12,-0.531090685
1976-01,-0.530789043
1976-02,-0.356563795
1976-03,-0.233973352
1976-04,-0.322479239
1976-05,-0.444578384
1976-06,-0.640403624
1976-07,-0.74330908
1976-08,-0.326201489
1976-09,0.145025782
1976-10,0.320703868
1976-11,0.327922891
1976-12,0.441173894
1977-01,0.588567557
1977-02,0.597826797
1977-03,0.635500951
1977-04,0.610643095
1977-05,0.230536446
1977-06,0.003233661
1977-07,0.167994572
1977-08,0.118114421
1977-09,0.158283274
1977-10,-0.115177419
1977-11,-0.153502918
1977-12,-0.093326418
1978-01,0.196125302
1978-02,0.007287317
1978-03,-0.060201479
1978-04,0.037310029
1978-05,0.207170426
1978-06,0.276694856
1978-07,0.326158643
1978-08,-0.163398553
1978-09,-0.530645004
1978-10,-0.633334281
1978-11,-0.691407517
1978-12,-0.632683273
1979-01,-0.585598435
1979-02,-0.518675554
1979-03,-0.60407736
1979-04,-0.65049796
1979-05,-0.773506596
1979-06,-0.793613873
