"Description: ",""
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.7"
"Date_of_calculation: ","2020-01-22"
time, TNgt0, normalised (all years)
1971-01, 15, -1.45104931014674
1971-02, 14, -1.58287728121783
1971-03, 18, -1.05556539693348
1971-04, 30, 0.526370255919551
1971-05, 31, 0.658198226990637
1971-06, 30, 0.526370255919551
1971-07, 31, 0.658198226990637
1971-08, 31, 0.658198226990637
1971-09, 30, 0.526370255919551
1971-10, 31, 0.658198226990637
1971-11, 24, -0.264597570506966
1971-12, 15, -1.45104931014674
1972-01, 28, 0.262714313777379
1972-02, 28, 0.262714313777379
1972-03, 31, 0.658198226990637
1972-04, 30, 0.526370255919551
1972-05, 31, 0.658198226990637
1972-06, 30, 0.526370255919551
1972-07, 31, 0.658198226990637
1972-08, 31, 0.658198226990637
1972-09, 30, 0.526370255919551
1972-10, 31, 0.658198226990637
1972-11, 26, -0.000941628364793352
1972-12, 25, -0.132769599435879
1973-01, 16, -1.31922133907565
1973-02, 10, -2.11018916550217
1973-03, 19, -0.923737425862396
1973-04, 26, -0.000941628364793352
1973-05, 31, 0.658198226990637
1973-06, 30, 0.526370255919551
1973-07, 31, 0.658198226990637
1973-08, 31, 0.658198226990637
1973-09, 30, 0.526370255919551
1973-10, 29, 0.394542284848465
1973-11, 23, -0.396425541578052
1973-12, 5, -2.7693290208576
1974-01, 20, -0.79190945479131
1974-02, 24, -0.264597570506966
1974-03, 24, -0.264597570506966
1974-04, 30, 0.526370255919551
1974-05, 31, 0.658198226990637
1974-06, 30, 0.526370255919551
1974-07, 31, 0.658198226990637
1974-08, 31, 0.658198226990637
1974-09, 30, 0.526370255919551
1974-10, 28, 0.262714313777379
1974-11, 27, 0.130886342706293
1974-12, 3, -3.03298496299977
1975-01, 14, -1.58287728121783
1975-02, 11, -1.97836119443109
1975-03, 25, -0.132769599435879
1975-04, 30, 0.526370255919551
1975-05, 31, 0.658198226990637
1975-06, 30, 0.526370255919551
1975-07, 31, 0.658198226990637
1975-08, 31, 0.658198226990637
1975-09, 30, 0.526370255919551
1975-10, 31, 0.658198226990637
1975-11, 24, -0.264597570506966
1975-12, 16, -1.31922133907565
1976-01, 20, -0.79190945479131
1976-02, 28, 0.262714313777379
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 30, 0.526370255919551
1976-07, 31, 0.658198226990637
1976-08, 31, 0.658198226990637
1976-09, 30, 0.526370255919551
1976-10, 31, 0.658198226990637
1976-11, 26, -0.000941628364793352
1976-12, 18, -1.05556539693348
1977-01, 17, -1.18739336800457
1977-02, 25, -0.132769599435879
1977-03, 29, 0.394542284848465
1977-04, 30, 0.526370255919551
1977-05, 31, 0.658198226990637
1977-06, 30, 0.526370255919551
1977-07, 31, 0.658198226990637
1977-08, 31, 0.658198226990637
1977-09, 30, 0.526370255919551
1977-10, 31, 0.658198226990637
1977-11, 25, -0.132769599435879
1977-12, 7, -2.50567307871543
1978-01, 16, -1.31922133907565
1978-02, 14, -1.58287728121783
1978-03, -99.9, -99.9
1978-04, 30, 0.526370255919551
1978-05, 31, 0.658198226990637
1978-06, 30, 0.526370255919551
1978-07, 30, 0.526370255919551
1978-08, 30, 0.526370255919551
1978-09, 30, 0.526370255919551
1978-10, 31, 0.658198226990637
1978-11, 14, -1.58287728121783
1978-12, 14, -1.58287728121783
1979-01, 9, -2.24201713657326
1979-02, 21, -0.660081483720224
1979-03, 29, 0.394542284848465
1979-04, 30, 0.526370255919551
1979-05, 30, 0.526370255919551
1979-06, 30, 0.526370255919551
1979-07, 29, 0.394542284848465
1979-08, 31, 0.658198226990637
1979-09, 30, 0.526370255919551
1979-10, 28, 0.262714313777379
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, 13, -1.71470525228891
1980-02, 15, -1.45104931014674
1980-03, 29, 0.394542284848465
1980-04, 30, 0.526370255919551
1980-05, 31, 0.658198226990637
1980-06, 30, 0.526370255919551
1980-07, 30, 0.526370255919551
1980-08, 31, 0.658198226990637
1980-09, 30, 0.526370255919551
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, 9, -2.24201713657326
1981-01, 1, -3.29664090514195
1981-02, 7, -2.50567307871543
1981-03, 31, 0.658198226990637
1981-04, 29, 0.394542284848465
1981-05, 30, 0.526370255919551
1981-06, -99.9, -99.9
1981-07, 31, 0.658198226990637
1981-08, 31, 0.658198226990637
1981-09, 30, 0.526370255919551
1981-10, 31, 0.658198226990637
1981-11, -99.9, -99.9
1981-12, 7, -2.50567307871543
1982-01, 7, -2.50567307871543
1982-02, 6, -2.63750104978652
1982-03, 19, -0.923737425862396
1982-04, 30, 0.526370255919551
1982-05, 31, 0.658198226990637
1982-06, 30, 0.526370255919551
1982-07, 31, 0.658198226990637
1982-08, 31, 0.658198226990637
1982-09, 29, 0.394542284848465
1982-10, 31, 0.658198226990637
1982-11, 25, -0.132769599435879
1982-12, 19, -0.923737425862396
1983-01, 2, -3.16481293407086
1983-02, 5, -2.7693290208576
1983-03, 23, -0.396425541578052
1983-04, 30, 0.526370255919551
1983-05, 31, 0.658198226990637
1983-06, 30, 0.526370255919551
1983-07, 31, 0.658198226990637
1983-08, 31, 0.658198226990637
1983-09, 30, 0.526370255919551
1983-10, 31, 0.658198226990637
1983-11, 17, -1.18739336800457
1983-12, 10, -2.11018916550217
1984-01, 6, -2.63750104978652
1984-02, 10, -2.11018916550217
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 31, 0.658198226990637
1984-06, 30, 0.526370255919551
1984-07, 31, 0.658198226990637
1984-08, 31, 0.658198226990637
1984-09, 30, 0.526370255919551
1984-10, 31, 0.658198226990637
1984-11, 29, 0.394542284848465
1984-12, 22, -0.528253512649138
1985-01, 6, -2.63750104978652
1985-02, 14, -1.58287728121783
1985-03, 30, 0.526370255919551
1985-04, 30, 0.526370255919551
1985-05, 31, 0.658198226990637
1985-06, 30, 0.526370255919551
1985-07, 31, 0.658198226990637
1985-08, 31, 0.658198226990637
1985-09, 30, 0.526370255919551
1985-10, 31, 0.658198226990637
1985-11, 28, 0.262714313777379
1985-12, 24, -0.264597570506966
1986-01, 13, -1.71470525228891
1986-02, 14, -1.58287728121783
1986-03, 26, -0.000941628364793352
1986-04, 30, 0.526370255919551
1986-05, 31, 0.658198226990637
1986-06, 30, 0.526370255919551
1986-07, 31, 0.658198226990637
1986-08, 31, 0.658198226990637
1986-09, 30, 0.526370255919551
1986-10, 31, 0.658198226990637
1986-11, 18, -1.05556539693348
1986-12, 1, -3.29664090514195
1987-01, 0, -3.42846887621303
1987-02, 10, -2.11018916550217
1987-03, 7, -2.50567307871543
1987-04, 27, 0.130886342706293
1987-05, 31, 0.658198226990637
1987-06, 30, 0.526370255919551
1987-07, 31, 0.658198226990637
1987-08, 31, 0.658198226990637
1987-09, 30, 0.526370255919551
1987-10, 31, 0.658198226990637
1987-11, 29, 0.394542284848465
1987-12, 22, -0.528253512649138
1988-01, 23, -0.396425541578052
1988-02, 11, -1.97836119443109
1988-03, 20, -0.79190945479131
1988-04, 30, 0.526370255919551
1988-05, 31, 0.658198226990637
1988-06, 30, 0.526370255919551
1988-07, 31, 0.658198226990637
1988-08, 31, 0.658198226990637
1988-09, 30, 0.526370255919551
1988-10, 30, 0.526370255919551
1988-11, 15, -1.45104931014674
1988-12, 7, -2.50567307871543
1989-01, 2, -3.16481293407086
1989-02, 10, -2.11018916550217
1989-03, 28, 0.262714313777379
1989-04, 30, 0.526370255919551
1989-05, 31, 0.658198226990637
1989-06, 30, 0.526370255919551
1989-07, 31, 0.658198226990637
1989-08, 31, 0.658198226990637
1989-09, 30, 0.526370255919551
1989-10, 31, 0.658198226990637
1989-11, 21, -0.660081483720224
1989-12, 15, -1.45104931014674
1990-01, 4, -2.90115699192869
1990-02, 13, -1.71470525228891
1990-03, 22, -0.528253512649138
1990-04, 30, 0.526370255919551
1990-05, 31, 0.658198226990637
1990-06, 30, 0.526370255919551
1990-07, 31, 0.658198226990637
1990-08, 31, 0.658198226990637
1990-09, 30, 0.526370255919551
1990-10, 31, 0.658198226990637
1990-11, 25, -0.132769599435879
1990-12, 8, -2.37384510764434
1991-01, 13, -1.71470525228891
1991-02, 8, -2.37384510764434
1991-03, 29, 0.394542284848465
1991-04, 26, -0.000941628364793352
1991-05, 31, 0.658198226990637
