"Description: ","Maximum monthly number of consecutive dry days (when precipitation < 1.0 mm)"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, cdd, normalised (all years)
1971-01, 9, -0.655412480665648
1971-02, 14, -0.114500924171212
1971-03, 23, 0.859139877518773
1971-04, 17, 0.21004600972545
1971-05, 14, -0.114500924171212
1971-06, 6, -0.979959414562309
1971-07, 19, 0.426410632323224
1971-08, 19, 0.426410632323224
1971-09, 30, 1.61641605661098
1971-10, 29, 1.5082337453121
1971-11, 24, 0.96732218881766
1971-12, 24, 0.96732218881766
1972-01, 9, -0.655412480665648
1972-02, 5, -1.0881417258612
1972-03, 6, -0.979959414562309
1972-04, 26, 1.18368681141543
1972-05, 4, -1.19632403716008
1972-06, 14, -0.114500924171212
1972-07, 19, 0.426410632323224
1972-08, 13, -0.222683235470099
1972-09, 6, -0.979959414562309
1972-10, 12, -0.330865546768986
1972-11, 19, 0.426410632323224
1972-12, 21, 0.642775254920999
1973-01, 11, -0.439047858067873
1973-02, 5, -1.0881417258612
1973-03, 22, 0.750957566219886
1973-04, 7, -0.871777103263422
1973-05, 14, -0.114500924171212
1973-06, 17, 0.21004600972545
1973-07, 16, 0.101863698426563
1973-08, 22, 0.750957566219886
1973-09, 9, -0.655412480665648
1973-10, 5, -1.0881417258612
1973-11, 23, 0.859139877518773
1973-12, 26, 1.18368681141543
1974-01, 13, -0.222683235470099
1974-02, 23, 0.859139877518773
1974-03, 19, 0.426410632323224
1974-04, 14, -0.114500924171212
1974-05, 8, -0.763594791964535
1974-06, 7, -0.871777103263422
1974-07, 17, 0.21004600972545
1974-08, 26, 1.18368681141543
1974-09, 12, -0.330865546768986
1974-10, 9, -0.655412480665648
1974-11, 11, -0.439047858067873
1974-12, 13, -0.222683235470099
1975-01, 28, 1.40005143401321
1975-02, 8, -0.763594791964535
1975-03, 15, -0.00631861287232448
1975-04, 2, -1.41268865975786
1975-05, 22, 0.750957566219886
1975-06, 13, -0.222683235470099
1975-07, 25, 1.07550450011655
1975-08, 11, -0.439047858067873
1975-09, 4, -1.19632403716008
1975-10, 23, 0.859139877518773
1975-11, 16, 0.101863698426563
1975-12, 26, 1.18368681141543
