"Description: ","Annual sum of TM - 0"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, cddcold0, normalised (all years)
1971, 4590.65, -1.17090364639119
1972, 4287.2, -1.92909945216268
1973, 4705.9, -0.882941653920719
1974, 4764.24, -0.737174168968638
1975, 4881, -0.44543931221504
1976, -99.9, -99.9
1977, 4759.25, -0.749642111202283
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 4558.5, -1.25123317400877
1983, 4508.25, -1.37678710131151
1984, -99.9, -99.9
1985, 4949.4, -0.274536055946232
1986, 4803, -0.640328990416313
1987, 4097, -2.40433043669963
1988, 4847.3, -0.529641647540461
1989, 4681.3, -0.944406860122658
1990, 4887.75, -0.428573859293776
1991, 4626.1, -1.08232878623433
1992, 5006.4, -0.132116675722224
1993, 4882.8, -0.440941858102702
1994, 5252.3, 0.482285527735381
1995, 4846.7, -0.531140798911241
1996, 4903.25, -0.389845782215317
1997, 5132.05, 0.181830607175085
1998, 4854.65, -0.511277043248419
1999, 5022.35, -0.0922642351156799
2000, 5259.75, 0.50089999058922
2001, -99.9, -99.9
2002, 5145.2, 0.214687008051324
2003, 5330.45, 0.677549993779348
2004, 5030.7, -0.0714010452056732
2005, 5092.6, 0.0832614045463643
2006, 5355.85, 0.741014068475662
2007, 5552.4, 1.23211107168669
2008, 5547.55, 1.21999293143956
2009, 5537.25, 1.19425749957452
2010, 5167.45, 0.270280538051046
2011, 5507.45, 1.11979964815916
2012, 5550.9, 1.22836319325974
2013, 5377.85, 0.795982952070892
2014, 5724.2, 1.66136808085308
2015, 5592.4, 1.33205449640529
2016, 5518.75, 1.14803366564217
2017, 5610.5, 1.37727889609046
2018, 5681.75, 1.55530312137047
