"Description: ","Annual number of days with at least 2 consecutive days when TN < 10th percentile"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.7"
"Date_of_calculation: ","2020-01-22"
time, csdi2, normalised (all years)
1971, 25, -0.0759773520417016
1972, 52, 0.925295608793581
1973, 47, 0.73987469012038
1974, 34, 0.257780301570059
1975, 25, -0.0759773520417016
1976, -99.9, -99.9
1977, 27, -0.0018089845724214
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 22, -0.187229903245622
1983, 34, 0.257780301570059
1984, -99.9, -99.9
1985, 17, -0.372650821918822
1986, 26, -0.0388931683070615
1987, 96, 2.55699969311774
1988, 54, 0.999463976262861
1989, 62, 1.29613744613998
1990, 75, 1.7782318346903
1991, 103, 2.81658897926022
1992, 32, 0.183611934100779
1993, 65, 1.4073899973439
1994, 20, -0.261398270714902
1995, 49, 0.81404305758966
1996, 59, 1.18488489493606
1997, 33, 0.220696117835419
1998, 40, 0.4802854039779
1999, 8, -0.706408475530583
2000, 16, -0.409735005653462
2001, -99.9, -99.9
2002, 21, -0.224314086980262
2003, 31, 0.146527750366139
2004, 10, -0.632240108061303
2005, 7, -0.743492659265223
2006, 4, -0.854745210469143
2007, 0, -1.0030819454077
2008, 0, -1.0030819454077
2009, 3, -0.891829394203783
2010, 0, -1.0030819454077
2011, 0, -1.0030819454077
2012, 10, -0.632240108061303
2013, 0, -1.0030819454077
2014, 0, -1.0030819454077
2015, 0, -1.0030819454077
2016, 0, -1.0030819454077
2017, 0, -1.0030819454077
2018, 2, -0.928913577938423
