"Description: ","Maximum monthly number of consecutive wet days (when precipitation >= 1.0 mm)"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, cwd, normalised (all years)
1971-01, 4, 0.987970181178728
1971-02, 1, -1.13542841717555
1971-03, 4, 0.987970181178728
1971-04, 2, -0.427628884390792
1971-05, 3, 0.280170648393968
1971-06, 2, -0.427628884390792
1971-07, 1, -1.13542841717555
1971-08, 1, -1.13542841717555
1971-09, 2, -0.427628884390792
1971-10, 2, -0.427628884390792
1971-11, 3, 0.280170648393968
1971-12, 2, -0.427628884390792
1972-01, 5, 1.69576971396349
1972-02, 3, 0.280170648393968
1972-03, 3, 0.280170648393968
1972-04, 5, 1.69576971396349
1972-05, 3, 0.280170648393968
1972-06, 2, -0.427628884390792
1972-07, 2, -0.427628884390792
1972-08, 3, 0.280170648393968
1972-09, 4, 0.987970181178728
1972-10, 4, 0.987970181178728
1972-11, 2, -0.427628884390792
1972-12, 2, -0.427628884390792
1973-01, 4, 0.987970181178728
1973-02, 4, 0.987970181178728
1973-03, 3, 0.280170648393968
1973-04, 2, -0.427628884390792
1973-05, 1, -1.13542841717555
1973-06, 4, 0.987970181178728
1973-07, 1, -1.13542841717555
1973-08, 1, -1.13542841717555
1973-09, 5, 1.69576971396349
1973-10, 2, -0.427628884390792
1973-11, 2, -0.427628884390792
1973-12, 1, -1.13542841717555
1974-01, 1, -1.13542841717555
1974-02, 2, -0.427628884390792
1974-03, 6, 2.40356924674825
1974-04, 3, 0.280170648393968
1974-05, 5, 1.69576971396349
1974-06, 2, -0.427628884390792
1974-07, 1, -1.13542841717555
1974-08, 5, 1.69576971396349
1974-09, 2, -0.427628884390792
1974-10, 3, 0.280170648393968
1974-11, 3, 0.280170648393968
1974-12, 1, -1.13542841717555
1975-01, 1, -1.13542841717555
1975-02, 2, -0.427628884390792
1975-03, 3, 0.280170648393968
1975-04, 4, 0.987970181178728
1975-05, 3, 0.280170648393968
1975-06, 5, 1.69576971396349
1975-07, 2, -0.427628884390792
1975-08, 3, 0.280170648393968
1975-09, 2, -0.427628884390792
1975-10, 5, 1.69576971396349
1975-11, 3, 0.280170648393968
1975-12, 3, 0.280170648393968
1976-01, 1, -1.13542841717555
1976-02, 3, 0.280170648393968
1976-03, 5, 1.69576971396349
1976-04, 2, -0.427628884390792
1976-05, 1, -1.13542841717555
1976-06, 2, -0.427628884390792
1976-07, 1, -1.13542841717555
1976-08, 4, 0.987970181178728
1976-09, 2, -0.427628884390792
1976-10, 5, 1.69576971396349
1976-11, 5, 1.69576971396349
1976-12, 5, 1.69576971396349
1977-01, 2, -0.427628884390792
1977-02, 2, -0.427628884390792
1977-03, 2, -0.427628884390792
1977-04, 2, -0.427628884390792
1977-05, 2, -0.427628884390792
1977-06, 1, -1.13542841717555
1977-07, 2, -0.427628884390792
1977-08, 4, 0.987970181178728
1977-09, 4, 0.987970181178728
1977-10, 3, 0.280170648393968
1977-11, 2, -0.427628884390792
1977-12, 4, 0.987970181178728
1978-01, 3, 0.280170648393968
1978-02, 3, 0.280170648393968
1978-03, 3, 0.280170648393968
1978-04, 2, -0.427628884390792
1978-05, 3, 0.280170648393968
1978-06, 2, -0.427628884390792
1978-07, 1, -1.13542841717555
1978-08, 2, -0.427628884390792
1978-09, 2, -0.427628884390792
1978-10, 2, -0.427628884390792
1978-11, 4, 0.987970181178728
1978-12, 2, -0.427628884390792
1979-01, 3, 0.280170648393968
1979-02, 4, 0.987970181178728
1979-03, 2, -0.427628884390792
1979-04, 3, 0.280170648393968
1979-05, 0, -1.84322794996031
1979-06, 1, -1.13542841717555
1979-07, 2, -0.427628884390792
1979-08, 2, -0.427628884390792
1979-09, 4, 0.987970181178728
1979-10, 2, -0.427628884390792
1979-11, 3, 0.280170648393968
1979-12, 4, 0.987970181178728
1980-01, 2, -0.427628884390792
1980-02, 1, -1.13542841717555
1980-03, 3, 0.280170648393968
1980-04, 2, -0.427628884390792
1980-05, 4, 0.987970181178728
1980-06, 3, 0.280170648393968
1980-07, 1, -1.13542841717555
1980-08, 1, -1.13542841717555
1980-09, 2, -0.427628884390792
1980-10, 2, -0.427628884390792
1980-11, 4, 0.987970181178728
1980-12, 5, 1.69576971396349
1981-01, 2, -0.427628884390792
1981-02, 1, -1.13542841717555
1981-03, 4, 0.987970181178728
1981-04, 1, -1.13542841717555
1981-05, 2, -0.427628884390792
1981-06, 3, 0.280170648393968
1981-07, 2, -0.427628884390792
1981-08, 2, -0.427628884390792
1981-09, 3, 0.280170648393968
1981-10, 3, 0.280170648393968
1981-11, 1, -1.13542841717555
1981-12, 2, -0.427628884390792
1982-01, 3, 0.280170648393968
1982-02, 1, -1.13542841717555
1982-03, 3, 0.280170648393968
1982-04, 3, 0.280170648393968
1982-05, 2, -0.427628884390792
1982-06, 2, -0.427628884390792
1982-07, 2, -0.427628884390792
1982-08, 2, -0.427628884390792
1982-09, 2, -0.427628884390792
1982-10, 3, 0.280170648393968
1982-11, 2, -0.427628884390792
1982-12, 6, 2.40356924674825
1983-01, 1, -1.13542841717555
1983-02, 2, -0.427628884390792
1983-03, 1, -1.13542841717555
1983-04, 2, -0.427628884390792
1983-05, 3, 0.280170648393968
1983-06, 3, 0.280170648393968
1983-07, 1, -1.13542841717555
1983-08, 3, 0.280170648393968
1983-09, 1, -1.13542841717555
1983-10, 3, 0.280170648393968
1983-11, 1, -1.13542841717555
1983-12, 6, 2.40356924674825
1984-01, 2, -0.427628884390792
1984-02, 5, 1.69576971396349
1984-03, 5, 1.69576971396349
1984-04, 4, 0.987970181178728
1984-05, 4, 0.987970181178728
1984-06, 3, 0.280170648393968
1984-07, 1, -1.13542841717555
1984-08, 4, 0.987970181178728
1984-09, 2, -0.427628884390792
1984-10, 3, 0.280170648393968
1984-11, 3, 0.280170648393968
1984-12, 2, -0.427628884390792
1985-01, 3, 0.280170648393968
1985-02, 3, 0.280170648393968
1985-03, 4, 0.987970181178728
1985-04, 1, -1.13542841717555
1985-05, 4, 0.987970181178728
1985-06, 2, -0.427628884390792
1985-07, 1, -1.13542841717555
1985-08, 2, -0.427628884390792
1985-09, 1, -1.13542841717555
1985-10, 3, 0.280170648393968
1985-11, 4, 0.987970181178728
1985-12, 2, -0.427628884390792
1986-01, 2, -0.427628884390792
1986-02, 5, 1.69576971396349
1986-03, 3, 0.280170648393968
1986-04, 3, 0.280170648393968
1986-05, 1, -1.13542841717555
1986-06, 5, 1.69576971396349
1986-07, 2, -0.427628884390792
1986-08, 1, -1.13542841717555
1986-09, 3, 0.280170648393968
1986-10, 1, -1.13542841717555
1986-11, 2, -0.427628884390792
1986-12, 0, -1.84322794996031
1987-01, 2, -0.427628884390792
1987-02, 8, 3.81916831231777
1987-03, 2, -0.427628884390792
1987-04, 3, 0.280170648393968
1987-05, 2, -0.427628884390792
1987-06, 4, 0.987970181178728
1987-07, 1, -1.13542841717555
1987-08, 1, -1.13542841717555
1987-09, 1, -1.13542841717555
1987-10, 2, -0.427628884390792
1987-11, 2, -0.427628884390792
1987-12, 4, 0.987970181178728
1988-01, 1, -1.13542841717555
1988-02, 2, -0.427628884390792
1988-03, 2, -0.427628884390792
1988-04, 2, -0.427628884390792
1988-05, 3, 0.280170648393968
1988-06, 3, 0.280170648393968
1988-07, 0, -1.84322794996031
1988-08, 2, -0.427628884390792
1988-09, 1, -1.13542841717555
1988-10, 1, -1.13542841717555
1988-11, 2, -0.427628884390792
1988-12, 2, -0.427628884390792
1989-01, 0, -1.84322794996031
1989-02, 2, -0.427628884390792
1989-03, 2, -0.427628884390792
1989-04, 4, 0.987970181178728
1989-05, 2, -0.427628884390792
1989-06, 2, -0.427628884390792
1989-07, 3, 0.280170648393968
1989-08, 1, -1.13542841717555
1989-09, 3, 0.280170648393968
1989-10, 1, -1.13542841717555
1989-11, 3, 0.280170648393968
1989-12, 0, -1.84322794996031
1990-01, 0, -1.84322794996031
1990-02, 2, -0.427628884390792
1990-03, 5, 1.69576971396349
1990-04, 3, 0.280170648393968
1990-05, 1, -1.13542841717555
1990-06, 1, -1.13542841717555
1990-07, 2, -0.427628884390792
1990-08, 2, -0.427628884390792
1990-09, 1, -1.13542841717555
1990-10, 4, 0.987970181178728
1990-11, 4, 0.987970181178728
1990-12, 3, 0.280170648393968
1991-01, 2, -0.427628884390792
1991-02, 4, 0.987970181178728
1991-03, 3, 0.280170648393968
1991-04, 5, 1.69576971396349
1991-05, 6, 2.40356924674825
1991-06, 3, 0.280170648393968
1991-07, 1, -1.13542841717555
1991-08, 2, -0.427628884390792
1991-09, 1, -1.13542841717555
1991-10, 3, 0.280170648393968
1991-11, 3, 0.280170648393968
1991-12, 1, -1.13542841717555
1992-01, 1, -1.13542841717555
1992-02, 1, -1.13542841717555
1992-03, 1, -1.13542841717555
1992-04, 2, -0.427628884390792
1992-05, 2, -0.427628884390792
1992-06, 4, 0.987970181178728
1992-07, 2, -0.427628884390792
1992-08, 1, -1.13542841717555
1992-09, 2, -0.427628884390792
1992-10, 4, 0.987970181178728
1992-11, 3, 0.280170648393968
1992-12, 5, 1.69576971396349
1993-01, 0, -1.84322794996031
1993-02, 0, -1.84322794996031
1993-03, 2, -0.427628884390792
1993-04, 2, -0.427628884390792
1993-05, 1, -1.13542841717555
1993-06, 1, -1.13542841717555
1993-07, 2, -0.427628884390792
1993-08, 3, 0.280170648393968
1993-09, 1, -1.13542841717555
1993-10, 3, 0.280170648393968
1993-11, 5, 1.69576971396349
1993-12, 2, -0.427628884390792
1994-01, 2, -0.427628884390792
1994-02, 1, -1.13542841717555
1994-03, 1, -1.13542841717555
1994-04, 4, 0.987970181178728
1994-05, 2, -0.427628884390792
1994-06, 4, 0.987970181178728
1994-07, 2, -0.427628884390792
1994-08, 1, -1.13542841717555
1994-09, 3, 0.280170648393968
1994-10, 2, -0.427628884390792
1994-11, 2, -0.427628884390792
1994-12, 3, 0.280170648393968
1995-01, 2, -0.427628884390792
1995-02, 1, -1.13542841717555
1995-03, 2, -0.427628884390792
1995-04, 1, -1.13542841717555
1995-05, 8, 3.81916831231777
1995-06, 4, 0.987970181178728
1995-07, 2, -0.427628884390792
1995-08, 3, 0.280170648393968
1995-09, 2, -0.427628884390792
1995-10, 1, -1.13542841717555
1995-11, 2, -0.427628884390792
1995-12, 4, 0.987970181178728
1996-01, 2, -0.427628884390792
1996-02, 3, 0.280170648393968
1996-03, 2, -0.427628884390792
1996-04, 3, 0.280170648393968
1996-05, 4, 0.987970181178728
1996-06, 2, -0.427628884390792
1996-07, 1, -1.13542841717555
1996-08, 2, -0.427628884390792
1996-09, 6, 2.40356924674825
1996-10, 3, 0.280170648393968
1996-11, 7, 3.11136877953301
1996-12, 3, 0.280170648393968
1997-01, 7, 3.11136877953301
1997-02, 2, -0.427628884390792
1997-03, 1, -1.13542841717555
1997-04, 3, 0.280170648393968
1997-05, 4, 0.987970181178728
1997-06, 2, -0.427628884390792
1997-07, 1, -1.13542841717555
1997-08, 2, -0.427628884390792
1997-09, 1, -1.13542841717555
1997-10, 3, 0.280170648393968
1997-11, 3, 0.280170648393968
1997-12, 4, 0.987970181178728
1998-01, 2, -0.427628884390792
1998-02, 2, -0.427628884390792
1998-03, 2, -0.427628884390792
1998-04, 4, 0.987970181178728
1998-05, 4, 0.987970181178728
1998-06, 1, -1.13542841717555
1998-07, 3, 0.280170648393968
1998-08, 1, -1.13542841717555
1998-09, 3, 0.280170648393968
1998-10, 5, 1.69576971396349
1998-11, 2, -0.427628884390792
1998-12, 3, 0.280170648393968
1999-01, 1, -1.13542841717555
1999-02, 3, 0.280170648393968
1999-03, 4, 0.987970181178728
1999-04, 4, 0.987970181178728
1999-05, 2, -0.427628884390792
1999-06, 4, 0.987970181178728
1999-07, 3, 0.280170648393968
1999-08, 2, -0.427628884390792
1999-09, 2, -0.427628884390792
1999-10, 3, 0.280170648393968
1999-11, 7, 3.11136877953301
1999-12, 2, -0.427628884390792
2000-01, 2, -0.427628884390792
2000-02, 2, -0.427628884390792
2000-03, 1, -1.13542841717555
2000-04, 2, -0.427628884390792
2000-05, 1, -1.13542841717555
2000-06, 1, -1.13542841717555
2000-07, 5, 1.69576971396349
2000-08, 1, -1.13542841717555
2000-09, 2, -0.427628884390792
2000-10, 5, 1.69576971396349
2000-11, 3, 0.280170648393968
2000-12, 4, 0.987970181178728
2001-01, 4, 0.987970181178728
2001-02, 3, 0.280170648393968
2001-03, 3, 0.280170648393968
2001-04, 4, 0.987970181178728
2001-05, 2, -0.427628884390792
2001-06, 2, -0.427628884390792
2001-07, 2, -0.427628884390792
2001-08, 2, -0.427628884390792
2001-09, 3, 0.280170648393968
2001-10, 1, -1.13542841717555
2001-11, 3, 0.280170648393968
2001-12, 6, 2.40356924674825
2002-01, 2, -0.427628884390792
2002-02, 4, 0.987970181178728
2002-03, 0, -1.84322794996031
2002-04, 7, 3.11136877953301
2002-05, 3, 0.280170648393968
2002-06, 2, -0.427628884390792
2002-07, 3, 0.280170648393968
2002-08, 3, 0.280170648393968
2002-09, 3, 0.280170648393968
2002-10, 5, 1.69576971396349
2002-11, 3, 0.280170648393968
2002-12, 4, 0.987970181178728
2003-01, 5, 1.69576971396349
2003-02, 2, -0.427628884390792
2003-03, 2, -0.427628884390792
2003-04, 3, 0.280170648393968
2003-05, 1, -1.13542841717555
2003-06, 1, -1.13542841717555
2003-07, 1, -1.13542841717555
2003-08, 1, -1.13542841717555
2003-09, 3, 0.280170648393968
2003-10, 5, 1.69576971396349
2003-11, 3, 0.280170648393968
2003-12, 3, 0.280170648393968
2004-01, 4, 0.987970181178728
2004-02, 6, 2.40356924674825
2004-03, 3, 0.280170648393968
2004-04, 2, -0.427628884390792
2004-05, 3, 0.280170648393968
2004-06, 2, -0.427628884390792
2004-07, 2, -0.427628884390792
2004-08, 2, -0.427628884390792
2004-09, 1, -1.13542841717555
2004-10, 4, 0.987970181178728
2004-11, 5, 1.69576971396349
2004-12, 7, 3.11136877953301
2005-01, 0, -1.84322794996031
2005-02, 5, 1.69576971396349
2005-03, 3, 0.280170648393968
2005-04, 4, 0.987970181178728
2005-05, 2, -0.427628884390792
2005-06, 2, -0.427628884390792
2005-07, 1, -1.13542841717555
2005-08, 2, -0.427628884390792
2005-09, 3, 0.280170648393968
2005-10, 4, 0.987970181178728
2005-11, 3, 0.280170648393968
2005-12, 3, 0.280170648393968
2006-01, 2, -0.427628884390792
2006-02, 3, 0.280170648393968
2006-03, 3, 0.280170648393968
2006-04, 1, -1.13542841717555
2006-05, 4, 0.987970181178728
2006-06, 3, 0.280170648393968
2006-07, 1, -1.13542841717555
2006-08, 2, -0.427628884390792
2006-09, 3, 0.280170648393968
2006-10, 3, 0.280170648393968
2006-11, 3, 0.280170648393968
2006-12, 1, -1.13542841717555
2007-01, 2, -0.427628884390792
2007-02, 2, -0.427628884390792
2007-03, 4, 0.987970181178728
2007-04, 1, -1.13542841717555
2007-05, 4, 0.987970181178728
2007-06, 2, -0.427628884390792
2007-07, 1, -1.13542841717555
2007-08, 3, 0.280170648393968
2007-09, 3, 0.280170648393968
2007-10, 3, 0.280170648393968
2007-11, 2, -0.427628884390792
2007-12, 3, 0.280170648393968
2008-01, 2, -0.427628884390792
2008-02, 2, -0.427628884390792
2008-03, 4, 0.987970181178728
2008-04, 3, 0.280170648393968
2008-05, 6, 2.40356924674825
2008-06, 2, -0.427628884390792
2008-07, 2, -0.427628884390792
2008-08, 1, -1.13542841717555
2008-09, 3, 0.280170648393968
2008-10, 2, -0.427628884390792
2008-11, 3, 0.280170648393968
2008-12, 4, 0.987970181178728
2009-01, 4, 0.987970181178728
2009-02, 3, 0.280170648393968
2009-03, 3, 0.280170648393968
2009-04, 6, 2.40356924674825
2009-05, 2, -0.427628884390792
2009-06, 2, -0.427628884390792
2009-07, 1, -1.13542841717555
2009-08, 2, -0.427628884390792
2009-09, 1, -1.13542841717555
2009-10, 4, 0.987970181178728
2009-11, 2, -0.427628884390792
2009-12, 4, 0.987970181178728
2010-01, 6, 2.40356924674825
2010-02, 5, 1.69576971396349
2010-03, 5, 1.69576971396349
2010-04, 2, -0.427628884390792
2010-05, 4, 0.987970181178728
2010-06, 2, -0.427628884390792
2010-07, 2, -0.427628884390792
2010-08, 3, 0.280170648393968
2010-09, 3, 0.280170648393968
2010-10, 4, 0.987970181178728
2010-11, 5, 1.69576971396349
2010-12, 4, 0.987970181178728
2011-01, 2, -0.427628884390792
2011-02, 2, -0.427628884390792
2011-03, 5, 1.69576971396349
2011-04, 2, -0.427628884390792
2011-05, 1, -1.13542841717555
2011-06, 2, -0.427628884390792
2011-07, 2, -0.427628884390792
2011-08, 0, -1.84322794996031
2011-09, 3, 0.280170648393968
2011-10, 1, -1.13542841717555
2011-11, 2, -0.427628884390792
2011-12, 1, -1.13542841717555
2012-01, 3, 0.280170648393968
2012-02, 3, 0.280170648393968
2012-03, 0, -1.84322794996031
2012-04, 4, 0.987970181178728
2012-05, 2, -0.427628884390792
2012-06, 1, -1.13542841717555
2012-07, 1, -1.13542841717555
2012-08, 1, -1.13542841717555
2012-09, 3, 0.280170648393968
2012-10, 2, -0.427628884390792
2012-11, 2, -0.427628884390792
2012-12, 5, 1.69576971396349
2013-01, 2, -0.427628884390792
2013-02, 5, 1.69576971396349
2013-03, 7, 3.11136877953301
2013-04, 4, 0.987970181178728
2013-05, 2, -0.427628884390792
2013-06, 2, -0.427628884390792
2013-07, 1, -1.13542841717555
2013-08, 1, -1.13542841717555
2013-09, 1, -1.13542841717555
2013-10, 4, 0.987970181178728
2013-11, 3, 0.280170648393968
2013-12, 1, -1.13542841717555
2014-01, 2, -0.427628884390792
2014-02, 4, 0.987970181178728
2014-03, 3, 0.280170648393968
2014-04, 2, -0.427628884390792
2014-05, 3, 0.280170648393968
2014-06, 3, 0.280170648393968
2014-07, 2, -0.427628884390792
2014-08, 1, -1.13542841717555
2014-09, 3, 0.280170648393968
2014-10, 3, 0.280170648393968
2014-11, 3, 0.280170648393968
2014-12, 8, 3.81916831231777
2015-01, 3, 0.280170648393968
2015-02, 4, 0.987970181178728
2015-03, 3, 0.280170648393968
2015-04, 2, -0.427628884390792
2015-05, 5, 1.69576971396349
2015-06, 2, -0.427628884390792
2015-07, 0, -1.84322794996031
2015-08, 2, -0.427628884390792
2015-09, 2, -0.427628884390792
2015-10, 4, 0.987970181178728
2015-11, 3, 0.280170648393968
2015-12, 0, -1.84322794996031
2016-01, 2, -0.427628884390792
2016-02, 4, 0.987970181178728
2016-03, 4, 0.987970181178728
2016-04, 2, -0.427628884390792
2016-05, 4, 0.987970181178728
2016-06, 2, -0.427628884390792
2016-07, 2, -0.427628884390792
2016-08, 2, -0.427628884390792
2016-09, 2, -0.427628884390792
2016-10, 1, -1.13542841717555
2016-11, 2, -0.427628884390792
2016-12, 2, -0.427628884390792
2017-01, 1, -1.13542841717555
2017-02, 3, 0.280170648393968
2017-03, 1, -1.13542841717555
2017-04, 2, -0.427628884390792
2017-05, 2, -0.427628884390792
2017-06, 1, -1.13542841717555
2017-07, 1, -1.13542841717555
2017-08, 1, -1.13542841717555
2017-09, 3, 0.280170648393968
2017-10, 2, -0.427628884390792
2017-11, 5, 1.69576971396349
2017-12, 4, 0.987970181178728
2018-01, 1, -1.13542841717555
2018-02, 5, 1.69576971396349
2018-03, 5, 1.69576971396349
2018-04, 1, -1.13542841717555
2018-05, 3, 0.280170648393968
2018-06, 2, -0.427628884390792
2018-07, 1, -1.13542841717555
2018-08, 2, -0.427628884390792
2018-09, 2, -0.427628884390792
2018-10, 3, 0.280170648393968
2018-11, 3, 0.280170648393968
2018-12, 2, -0.427628884390792
