"Description: ","Heatwave definitions and aspects"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, CWM, CWA, CWN, CWD, CWF
1971, -5.574834375, -22.459, 2, 8, 13
1972, -3.68415740740741, -6.19875, 1, 3, 3
1973, -9.09930516975309, -31.9009722222222, 4, 9, 24
1974, -3.6393638117284, -14.0622222222222, 6, 5, 22
1975, -10.0727371933622, -32.0148333333333, 2, 14, 25
1976, -3.61610273368607, -14.4597222222222, 3, 7, 11
1977, -3.6730787037037, -8.6625, 3, 5, 12
1978, -6.16741898148148, -19.4763888888889, 2, 6, 10
1979, -20.2158179012346, -86.6916666666666, 1, 18, 18
1980, -8.64993799603175, -44.3409722222222, 2, 14, 22
1981, -3.09494598765432, -17.4416666666667, 3, 14, 24
1982, -3.81150925925926, -20.6666666666667, 5, 9, 29
1983, -4.72436342592593, -11.2520833333333, 4, 9, 22
1984, -4.1232032627866, -11.2444444444444, 2, 9, 16
1985, -21.5321869488536, -197.597222222222, 3, 21, 27
1986, -7.58004147376543, -28.8055555555556, 4, 24, 46
1987, -6.36493436653117, -29.3208333333333, 4, 41, 63
1988, -5.092125, -8.64194444444444, 1, 4, 4
1989, -8.76399402006173, -21.73575, 4, 12, 34
1990, -9.50662638888889, -21.73575, 2, 10, 15
1991, -11.0289741161616, -70.2804444444444, 2, 33, 39
1992, -5.09859885446344, -18.5954166666667, 3, 13, 24
1993, -5.57125330687831, -18.5954166666667, 2, 7, 10
1994, -6.68325555555556, -10.7590833333333, 1, 5, 5
1995, -2.12297777777778, -4.16777777777778, 1, 5, 5
1996, -12.8229953703704, -58.6026111111111, 3, 8, 14
1997, -11.870875, -33.8719166666667, 2, 3, 6
1998, -7.74115304232804, -40.6811111111111, 5, 7, 21
1999, -4.01880925925926, -8.06555555555556, 2, 5, 8
2000, -5.90898715277778, -23.2815, 4, 8, 22
2001, -4.76317861409797, -18.3520555555556, 2, 31, 34
2002, -4.70566035353535, -18.3520555555556, 1, 22, 22
2003, -4.22522222222222, -8.32683333333333, 1, 6, 6
2004, -4.35240972222222, -6.94438888888889, 1, 4, 4
2005, -3.98823032407407, -7.41066666666667, 2, 4, 7
2006, -3.61537808641975, -7.81866666666666, 3, 4, 10
2007, NA, NA, 0, NA, 0
2008, NA, NA, 0, NA, 0
2009, -26.7919269179894, -91.5515, 2, 7, 13
2010, -10.635185515873, -36.426, 2, 14, 21
2011, NA, NA, 0, NA, 0
2012, -11.4605454282407, -30.9631388888889, 2, 16, 22
2013, NA, NA, 0, NA, 0
2014, NA, NA, 0, NA, 0
2015, NA, NA, 0, NA, 0
2016, NA, NA, 0, NA, 0
2017, -4.22679166666667, -5.29111111111111, 1, 6, 6
2018, -13.8655092592593, -28.2039722222222, 1, 6, 6
