"Description: ","Heatwave definitions and aspects"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, HWM, HWA, HWN, HWD, HWF
1971, NA, NA, 0, NA, 0
1972, NA, NA, 0, NA, 0
1973, 4.48377959876543, 14.0646666666666, 3, 5, 12
1974, 2.40759594135802, 11.1074444444444, 3, 4, 10
1975, 4.17306603009259, 13.8016666666667, 4, 6, 17
1976, NA, NA, 0, NA, 0
1977, NA, NA, 0, NA, 0
1978, NA, NA, 0, NA, 0
1979, NA, NA, 0, NA, 0
1980, NA, NA, 0, NA, 0
1981, 3.19300208333333, 5.36811666666667, 1, 4, 4
1982, NA, NA, 0, NA, 0
1983, NA, NA, 0, NA, 0
1984, NA, NA, 0, NA, 0
1985, 3.36019444444445, 5.78527777777777, 1, 6, 6
1986, 3.86924861111111, 11.1723333333333, 1, 10, 10
1987, NA, NA, 0, NA, 0
1988, NA, NA, 0, NA, 0
1989, NA, NA, 0, NA, 0
1990, NA, NA, 0, NA, 0
1991, 1.02662037037037, 2.29319444444444, 1, 3, 3
1992, 0.753111111111107, 1.04888888888888, 1, 3, 3
1993, 2.43794444444445, 3.68575, 1, 3, 3
1994, 2.03961975308642, 7.13672777777779, 3, 4, 11
1995, NA, NA, 0, NA, 0
1996, 13.7561516666666, 20.0830916666666, 1, 5, 5
1997, 2.14800763888889, 8.70796666666669, 2, 8, 12
1998, NA, NA, 0, NA, 0
1999, 4.74008287037037, 12.3801666666667, 4, 6, 16
2000, 2.80983865740741, 4.6963888888889, 2, 6, 9
2001, 8.31114925925927, 25.3236222222222, 2, 5, 8
2002, NA, NA, 0, NA, 0
2003, 3.8164318595679, 19.0057222222222, 6, 12, 35
2004, NA, NA, 0, NA, 0
2005, 7.17964664351852, 20.757, 4, 6, 17
2006, 4.6642419675926, 8.6777777777778, 5, 8, 24
2007, 7.67476519097223, 17.5797777777778, 4, 8, 23
2008, 2.9080250617284, 14.2559666666667, 3, 15, 24
2009, 7.38740534722223, 43.1036666666667, 4, 10, 25
2010, 3.60421967592593, 12.6563333333333, 4, 6, 15
2011, 3.66409770585318, 13.0599777777778, 4, 10, 31
2012, 4.24115147770219, 23.8113888888889, 7, 7, 37
2013, 5.71754429012346, 11.8253333333333, 3, 6, 16
2014, 8.88185555555556, 16.8666666666667, 1, 5, 5
2015, 5.40489013468014, 17.40975, 6, 11, 35
2016, 2.58083086419754, 5.43749999999999, 3, 4, 11
2017, 5.56800333333334, 18.768, 5, 6, 27
2018, 1.67195670211733, 4.30674999999999, 4, 13, 36
