"Description: ","Annual number of days when TN < 0 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, fd, normalised (all years)
1971, 62, 0.561324115251992
1972, 11, -1.49424282869182
1973, 78, 1.20620786237162
1974, 52, 0.158271773302226
1975, 61, 0.521018881057016
1976, -99.9, -99.9
1977, 34, -0.567222442207355
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 57, 0.359797944277109
1983, 84, 1.44803926754148
1984, -99.9, -99.9
1985, 39, -0.365696271232471
1986, 67, 0.762850286226876
1987, 84, 1.44803926754148
1988, 73, 1.00468169139674
1989, 71, 0.924071223006782
1990, 75, 1.08529215978669
1991, 76, 1.12559739398167
1992, 64, 0.641934583641946
1993, 90, 1.68987067271134
1994, 51, 0.117966539107249
1995, 65, 0.682239817836922
1996, 58, 0.400103178472086
1997, 51, 0.117966539107249
1998, 67, 0.762850286226876
1999, 73, 1.00468169139674
2000, 62, 0.561324115251992
2001, -99.9, -99.9
2002, 36, -0.486611973817401
2003, 61, 0.521018881057016
2004, 61, 0.521018881057016
2005, 47, -0.0432543976726578
2006, 33, -0.607527676402331
2007, 7, -1.65546376547172
2008, 11, -1.49424282869182
2009, 26, -0.889664315767168
2010, 30, -0.728443378987261
2011, 20, -1.13149572093703
2012, 45, -0.123864866062611
2013, 15, -1.33302189191191
2014, 2, -1.85698993644661
2015, 7, -1.65546376547172
2016, 18, -1.21210618932698
2017, 28, -0.809053847377215
2018, 19, -1.171800955132
