"Description: ","Monthly number of days when TN < 0 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, fd, normalised (all years)
1971-01, 15, 1.56970625267233
1971-02, 13, 1.28393398300507
1971-03, 13, 1.28393398300507
1971-04, 0, -0.573585769832153
1971-05, 0, -0.573585769832153
1971-06, 0, -0.573585769832153
1971-07, 0, -0.573585769832153
1971-08, 0, -0.573585769832153
1971-09, 0, -0.573585769832153
1971-10, 0, -0.573585769832153
1971-11, 6, 0.283731039169642
1971-12, 15, 1.56970625267233
1972-01, 3, -0.144927365331256
1972-02, 0, -0.573585769832153
1972-03, 0, -0.573585769832153
1972-04, 0, -0.573585769832153
1972-05, 0, -0.573585769832153
1972-06, 0, -0.573585769832153
1972-07, 0, -0.573585769832153
1972-08, 0, -0.573585769832153
1972-09, 0, -0.573585769832153
1972-10, 0, -0.573585769832153
1972-11, 3, -0.144927365331256
1972-12, 5, 0.140844904336009
1973-01, 14, 1.4268201178387
1973-02, 16, 1.71259238750597
1973-03, 12, 1.14104784817144
1973-04, 2, -0.287813500164888
1973-05, 0, -0.573585769832153
1973-06, 0, -0.573585769832153
1973-07, 0, -0.573585769832153
1973-08, 0, -0.573585769832153
1973-09, 0, -0.573585769832153
1973-10, 2, -0.287813500164888
1973-11, 6, 0.283731039169642
1973-12, 26, 3.14145373584229
1974-01, 9, 0.712389443670539
1974-02, 3, -0.144927365331256
1974-03, 6, 0.283731039169642
1974-04, 0, -0.573585769832153
1974-05, 0, -0.573585769832153
1974-06, 0, -0.573585769832153
1974-07, 0, -0.573585769832153
1974-08, 0, -0.573585769832153
1974-09, 0, -0.573585769832153
1974-10, 3, -0.144927365331256
1974-11, 3, -0.144927365331256
1974-12, 28, 3.42722600550956
1975-01, 17, 1.8554785223396
1975-02, 17, 1.8554785223396
1975-03, 6, 0.283731039169642
1975-04, 0, -0.573585769832153
1975-05, 0, -0.573585769832153
1975-06, 0, -0.573585769832153
1975-07, 0, -0.573585769832153
1975-08, 0, -0.573585769832153
1975-09, 0, -0.573585769832153
1975-10, 0, -0.573585769832153
1975-11, 6, 0.283731039169642
1975-12, 15, 1.56970625267233
1976-01, 2, -0.287813500164888
1976-02, 1, -0.430699634998521
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 0, -0.573585769832153
1976-07, 0, -0.573585769832153
1976-08, 0, -0.573585769832153
1976-09, 0, -0.573585769832153
1976-10, 0, -0.573585769832153
1976-11, 1, -0.430699634998521
1976-12, 9, 0.712389443670539
1977-01, 9, 0.712389443670539
1977-02, 2, -0.287813500164888
1977-03, 1, -0.430699634998521
1977-04, 0, -0.573585769832153
1977-05, 0, -0.573585769832153
1977-06, 0, -0.573585769832153
1977-07, 0, -0.573585769832153
1977-08, 0, -0.573585769832153
1977-09, 0, -0.573585769832153
1977-10, 0, -0.573585769832153
1977-11, 3, -0.144927365331256
1977-12, 19, 2.14125079200686
1978-01, 11, 0.998161713337804
1978-02, 5, 0.140844904336009
1978-03, -99.9, -99.9
1978-04, 0, -0.573585769832153
1978-05, 0, -0.573585769832153
1978-06, 0, -0.573585769832153
1978-07, 0, -0.573585769832153
1978-08, 0, -0.573585769832153
1978-09, 0, -0.573585769832153
1978-10, 0, -0.573585769832153
1978-11, 13, 1.28393398300507
1978-12, 10, 0.855275578504171
1979-01, 19, 2.14125079200686
1979-02, 4, -0.00204123049762331
1979-03, 1, -0.430699634998521
1979-04, 0, -0.573585769832153
1979-05, 0, -0.573585769832153
1979-06, 0, -0.573585769832153
1979-07, 0, -0.573585769832153
1979-08, 0, -0.573585769832153
1979-09, 0, -0.573585769832153
1979-10, 0, -0.573585769832153
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, 18, 1.99836465717323
1980-02, 9, 0.712389443670539
1980-03, 2, -0.287813500164888
1980-04, 0, -0.573585769832153
1980-05, 0, -0.573585769832153
1980-06, 0, -0.573585769832153
1980-07, 0, -0.573585769832153
1980-08, 0, -0.573585769832153
1980-09, 0, -0.573585769832153
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, 19, 2.14125079200686
1981-01, 26, 3.14145373584229
1981-02, 18, 1.99836465717323
1981-03, 0, -0.573585769832153
1981-04, 0, -0.573585769832153
1981-05, 0, -0.573585769832153
1981-06, -99.9, -99.9
1981-07, 0, -0.573585769832153
1981-08, 0, -0.573585769832153
1981-09, 0, -0.573585769832153
1981-10, 0, -0.573585769832153
1981-11, -99.9, -99.9
1981-12, 17, 1.8554785223396
1982-01, 18, 1.99836465717323
1982-02, 21, 2.42702306167413
1982-03, 7, 0.426617174003274
1982-04, 0, -0.573585769832153
1982-05, 0, -0.573585769832153
1982-06, 0, -0.573585769832153
1982-07, 0, -0.573585769832153
1982-08, 0, -0.573585769832153
1982-09, 0, -0.573585769832153
1982-10, 0, -0.573585769832153
1982-11, 2, -0.287813500164888
1982-12, 9, 0.712389443670539
1983-01, 26, 3.14145373584229
1983-02, 20, 2.2841369268405
1983-03, 6, 0.283731039169642
1983-04, 0, -0.573585769832153
1983-05, 0, -0.573585769832153
1983-06, 0, -0.573585769832153
1983-07, 0, -0.573585769832153
1983-08, 0, -0.573585769832153
1983-09, 0, -0.573585769832153
1983-10, 0, -0.573585769832153
1983-11, 11, 0.998161713337804
1983-12, 21, 2.42702306167413
1984-01, 24, 2.85568146617503
1984-02, 15, 1.56970625267233
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 0, -0.573585769832153
1984-06, 0, -0.573585769832153
1984-07, 0, -0.573585769832153
1984-08, 0, -0.573585769832153
1984-09, 0, -0.573585769832153
1984-10, 0, -0.573585769832153
1984-11, 0, -0.573585769832153
1984-12, 6, 0.283731039169642
1985-01, 21, 2.42702306167413
1985-02, 13, 1.28393398300507
1985-03, 1, -0.430699634998521
1985-04, 0, -0.573585769832153
1985-05, 0, -0.573585769832153
1985-06, 0, -0.573585769832153
1985-07, 0, -0.573585769832153
1985-08, 0, -0.573585769832153
1985-09, 0, -0.573585769832153
1985-10, 0, -0.573585769832153
1985-11, 1, -0.430699634998521
1985-12, 3, -0.144927365331256
1986-01, 12, 1.14104784817144
1986-02, 12, 1.14104784817144
1986-03, 3, -0.144927365331256
1986-04, 0, -0.573585769832153
1986-05, 0, -0.573585769832153
1986-06, 0, -0.573585769832153
1986-07, 0, -0.573585769832153
1986-08, 0, -0.573585769832153
1986-09, 0, -0.573585769832153
1986-10, 0, -0.573585769832153
1986-11, 10, 0.855275578504171
1986-12, 30, 3.71299827517682
1987-01, 31, 3.85588441001045
1987-02, 18, 1.99836465717323
1987-03, 24, 2.85568146617503
1987-04, 3, -0.144927365331256
1987-05, 0, -0.573585769832153
1987-06, 0, -0.573585769832153
1987-07, 0, -0.573585769832153
1987-08, 0, -0.573585769832153
1987-09, 0, -0.573585769832153
1987-10, 0, -0.573585769832153
1987-11, 1, -0.430699634998521
1987-12, 7, 0.426617174003274
1988-01, 8, 0.569503308836906
1988-02, 18, 1.99836465717323
1988-03, 8, 0.569503308836906
1988-04, 0, -0.573585769832153
1988-05, 0, -0.573585769832153
1988-06, 0, -0.573585769832153
1988-07, 0, -0.573585769832153
1988-08, 0, -0.573585769832153
1988-09, 0, -0.573585769832153
1988-10, 1, -0.430699634998521
1988-11, 15, 1.56970625267233
1988-12, 23, 2.71279533134139
1989-01, 28, 3.42722600550956
1989-02, 18, 1.99836465717323
1989-03, 2, -0.287813500164888
1989-04, 0, -0.573585769832153
1989-05, 0, -0.573585769832153
1989-06, 0, -0.573585769832153
