"Description: ","Annual sum of TM - 10"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, gddgrow10, normalised (all years)
1971, 1770.85, -1.06910784743844
1972, 1167.4, -3.25832289261982
1973, 1995.95, -0.252482929598805
1974, 1902.74, -0.590633123254214
1975, 2037.4, -0.102109305234288
1976, -99.9, -99.9
1977, 1726.5, -1.23000218376091
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 1763.25, -1.09667936843169
1983, 1787, -1.01051836532778
1984, -99.9, -99.9
1985, 2047.85, -0.0641984638685656
1986, 2066, 0.00164668166137428
1987, 1501, -2.0480782342844
1988, 1935.7, -0.471059790104527
1989, 1771.6, -1.06638697365621
1990, 1929.7, -0.492826780362359
1991, 1837.6, -0.826950080820069
1992, 2022, -0.157977913562722
1993, 2055.6, -0.0360827681188669
1994, 2144.75, 0.287338428795409
1995, 1883.1, -0.661883738031515
1996, 1942.9, -0.44493940179513
1997, 2079.35, 0.0500782349850485
1998, 1955.5, -0.399228722253685
1999, 2094.6, 0.105402668557036
2000, 2212.8, 0.534212376636313
2001, -99.9, -99.9
2002, 2041.8, -0.0861468457118786
2003, 2319.05, 0.919669495785408
2004, 2024.3, -0.149633900630553
2005, 2148.45, 0.300761406121071
2006, 2271.65, 0.747710272748541
2007, 2299.65, 0.84928956061842
2008, 2323.8, 0.936901696406191
2009, 2373.1, 1.11575379969137
2010, 2174.65, 0.395810596913602
2011, 2410.35, 1.25089053087541
2012, 2520.85, 1.65176593479046
2013, 2268.5, 0.736282602863179
2014, 2291.55, 0.819904123770348
2015, 2352.6, 1.04138324964378
2016, 2263.9, 0.719594576998842
2017, 2423.35, 1.29805234310071
2018, 2548.7, 1.7528010479039
