"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, prcptot, normalised (all years)
1971-01, 77, 0.631214964498088
1971-02, 21.2, -0.744351879310677
1971-03, 39, -0.305550986482791
1971-04, 18.8, -0.803516044635785
1971-05, 62, 0.261438931216162
1971-06, 47.8, -0.0886157136240616
1971-07, 28.2, -0.571789730445778
1971-08, 8.8, -1.05003340015707
1971-09, 88, 0.9023840555715
1971-10, 23.4, -0.690118061095995
1971-11, 106.2, 1.35104564262024
1971-12, 20.4, -0.76407326775238
1972-01, 151, 2.45544339535559
1972-02, 88, 0.9023840555715
1972-03, 22.6, -0.709839449537697
1972-04, 155.2, 2.55898068467453
1972-05, 41.8, -0.236526126936832
1972-06, 15.2, -0.892262292623447
1972-07, 76, 0.606563228945959
1972-08, 60.8, 0.231856848553608
1972-09, 155.2, 2.55898068467453
1972-10, 41.4, -0.246386821157683
1972-11, 53.4, 0.0494340054678575
1972-12, 43, -0.206944044274278
1973-01, 129.6, 1.92789625454004
1973-02, 47.2, -0.103406754955338
1973-03, 86.4, 0.862941278688095
1973-04, 73.2, 0.5375383694
1973-05, 17.8, -0.828167780187914
1973-06, 44, -0.182292308722149
1973-07, 44.8, -0.162570920280447
1973-08, 15.8, -0.87747125129217
1973-09, 208.2, 3.86552266893733
1973-10, 44, -0.182292308722149
1973-11, 23.6, -0.685187713985569
1973-12, 10.6, -1.00566027616324
1974-01, 14.4, -0.91198368106515
1974-02, 25.2, -0.645744937102163
1974-03, 39, -0.305550986482791
1974-04, 49.2, -0.0541032838510817
1974-05, 41.2, -0.251317168268109
1974-06, 61.8, 0.256508584105736
1974-07, 56.4, 0.123389212124243
1974-08, 54.2, 0.0691553939095603
1974-09, 17.6, -0.833098127298339
1974-10, 49.2, -0.0541032838510817
1974-11, 47, -0.108337102065764
1974-12, 18.2, -0.818307085967062
1975-01, 2.2, -1.21273485480112
1975-02, 27.8, -0.58165042466663
1975-03, 42.6, -0.216804738495129
1975-04, 41.6, -0.241456474047258
1975-05, 110.6, 1.4595132790496
1975-06, 70.6, 0.473443856964466
1975-07, 27.6, -0.586580771777055
1975-08, 90.4, 0.961548220896609
1975-09, 20.2, -0.769003614862805
1975-10, 99, 1.17355314664491
1975-11, 84.6, 0.818568154694264
1975-12, 4.6, -1.15357068947601
1976-01, 11.8, -0.976078193500684
1976-02, 69.8, 0.453722468522763
1976-03, 63.2, 0.291021013878716
1976-04, 31.6, -0.487973829568542
1976-05, 17.4, -0.838028474408765
1976-06, 20.4, -0.76407326775238
1976-07, 35.8, -0.384436540249602
1976-08, 138.2, 2.13990118028835
1976-09, 117, 1.61728438658322
1976-10, 89.8, 0.946757179565331
1976-11, 49.5, -0.0467077631854432
1976-12, 48.8, -0.0639639780719332
1977-01, 30.4, -0.517555912231096
1977-02, 27.6, -0.586580771777055
1977-03, 55, 0.088876782351263
1977-04, 28.8, -0.556998689114501
1977-05, 21.4, -0.739421532200251
1977-06, 20.8, -0.754212573531528
1977-07, 60.8, 0.231856848553608
1977-08, 79.3, 0.687913956267983
1977-09, 26.4, -0.616162854439609
1977-10, 34.8, -0.409088275801731
1977-11, 81.6, 0.744612948037878
1977-12, 21.1, -0.74681705286589
1978-01, 72.8, 0.527677675179148
1978-02, 31, -0.502764870899819
1978-03, 46.6, -0.118197796286616
1978-04, 48.8, -0.0639639780719332
1978-05, 54.2, 0.0691553939095603
1978-06, 37.8, -0.335133069145346
1978-07, 45, -0.157640573170021
1978-08, 30, -0.527416606451947
1978-09, 29, -0.552068342004076
1978-10, 76.3, 0.613958749611598
1978-11, 48.7, -0.0664291516271459
1978-12, 64.2, 0.315672749430844
1979-01, 36, -0.379506193139177
1979-02, 51.8, 0.00999122858445203
1979-03, 34.8, -0.409088275801731
1979-04, 21.7, -0.732026011534613
1979-05, 0, -1.2669686730158
1979-06, 14.6, -0.907053333954724
1979-07, 122.4, 1.75040375856472
1979-08, 116, 1.5926326510311
1979-09, 64, 0.310742402320419
1979-10, 20.6, -0.759142920641954
1979-11, 126.4, 1.84901070077323
1979-12, 38.8, -0.310481333593217
1980-01, 25, -0.650675284212589
1980-02, 3.8, -1.17329207791771
1980-03, 47.6, -0.0935460607344872
1980-04, 61.8, 0.256508584105736
1980-05, 92.6, 1.01578203911129
1980-06, 29.8, -0.532346953562373
1980-07, 2, -1.21766520191154
1980-08, 19.4, -0.788725003304508
1980-09, 21.6, -0.734491185089826
1980-10, 50, -0.034381895409379
1980-11, 220.4, 4.1662738426733
1980-12, 56.4, 0.123389212124243
1981-01, 71.4, 0.493165245406169
1981-02, 15, -0.897192639733873
1981-03, 41.8, -0.236526126936832
1981-04, 13.6, -0.931705069506853
1981-05, 46.2, -0.128058490507467
1981-06, 148.3, 2.38888370936484
1981-07, 31.2, -0.497834523789393
1981-08, 52.2, 0.0198519228053035
1981-09, 162.8, 2.74633387487071
1981-10, 18.8, -0.803516044635785
1981-11, 3.4, -1.18315277213856
1981-12, 50.8, -0.0146605069676764
1982-01, 14, -0.921844375286001
1982-02, 7.6, -1.07961548281962
1982-03, 86.2, 0.858010931577669
1982-04, 23.4, -0.690118061095995
1982-05, 55.6, 0.10366782368254
1982-06, 11.4, -0.985938887721535
1982-07, 77, 0.631214964498088
1982-08, 70.4, 0.46851350985404
1982-09, 47, -0.108337102065764
1982-10, 80.6, 0.71996121248575
1982-11, 114.2, 1.54825952703726
1982-12, 80.8, 0.724891559596176
1983-01, 9.8, -1.02538166460494
1983-02, 24.8, -0.655605631323015
1983-03, 21, -0.749282226421103
1983-04, 28, -0.576720077556204
1983-05, 19.8, -0.778864309083657
1983-06, 50.4, -0.0245212011885277
1983-07, 3.8, -1.17329207791771
1983-08, 48.5, -0.0713594987375716
1983-09, 3, -1.19301346635941
1983-10, 40.6, -0.266108209599386
1983-11, 2, -1.21766520191154
1983-12, 35.9, -0.38197136669439
1984-01, 17.4, -0.838028474408765
1984-02, 47.2, -0.103406754955338
1984-03, 51, -0.00973015985725062
1984-04, 38.2, -0.325272374924494
1984-05, 93.2, 1.03057308044257
1984-06, 20, -0.773933961973231
1984-07, 27, -0.601371813108332
1984-08, 59.8, 0.207205113001479
1984-09, 77, 0.631214964498088
1984-10, 78.2, 0.660797047160642
1984-11, 34.8, -0.409088275801731
1984-12, 41.6, -0.241456474047258
1985-01, 20, -0.773933961973231
1985-02, 26.6, -0.611232507329184
1985-03, 51.4, 0.000130534363600707
1985-04, 23, -0.699978755316846
1985-05, 33.8, -0.433740011353859
1985-06, 27.2, -0.596441465997907
1985-07, 1.6, -1.22752589613239
1985-08, 26.8, -0.606302160218758
1985-09, 1.2, -1.23738659035325
1985-10, 67.2, 0.38962795608723
1985-11, 58.4, 0.1726926832285
1985-12, 37.4, -0.344993763366197
1986-01, 71.8, 0.50302593962702
1986-02, 36.6, -0.3647151518079
1986-03, 93.4, 1.03550342755299
1986-04, 67.6, 0.399488650308081
1986-05, 25.2, -0.645744937102163
1986-06, 44.2, -0.177361961611724
1986-07, 85.6, 0.843219890246392
1986-08, 6.2, -1.1141279125926
1986-09, 37.4, -0.344993763366197
1986-10, 24.6, -0.66053597843344
1986-11, 23.8, -0.680257366875143
1986-12, 0, -1.2669686730158
1987-01, 56.6, 0.128319559234668
1987-02, 70.6, 0.473443856964466
1987-03, 13.2, -0.941565763727704
1987-04, 15, -0.897192639733873
1987-05, 26.2, -0.621093201550035
1987-06, 36.2, -0.374575846028751
1987-07, 24.6, -0.66053597843344
1987-08, 6.6, -1.10426721837175
1987-09, 14.6, -0.907053333954724
1987-10, 112.9, 1.5162122708195
1987-11, 117.6, 1.6320754279145
1987-12, 68.8, 0.429070732970635
1988-01, 8.4, -1.05989409437792
1988-02, 35.8, -0.384436540249602
1988-03, 30.1, -0.524951432896734
1988-04, 29.9, -0.52988178000716
1988-05, 43.9, -0.184757482277362
1988-06, 117.3, 1.62467990724886
1988-07, 0, -1.2669686730158
1988-08, 58, 0.162831989007648
1988-09, 24.2, -0.670396672654292
1988-10, 11.1, -0.993334408387174
1988-11, 18.5, -0.810911565301424
1988-12, 34.5, -0.416483796467369
1989-01, 0, -1.2669686730158
1989-02, 8.3, -1.06235926793313
1989-03, 14.4, -0.91198368106515
1989-04, 32.6, -0.463322094016413
1989-05, 31.2, -0.497834523789393
1989-06, 9, -1.04510305304664
1989-07, 126, 1.83915000655238
1989-08, 52.2, 0.0198519228053035
1989-09, 52.05, 0.0161541624724841
1989-10, 3.5, -1.18068759858335
1989-11, 52, 0.0149215756948778
1989-12, 0, -1.2669686730158
1990-01, 0, -1.2669686730158
1990-02, 14.4, -0.91198368106515
1990-03, 70.7, 0.475909030519679
1990-04, 71.3, 0.490700071850956
1990-05, 10.5, -1.00812544971845
1990-06, 14.7, -0.904588160399512
1990-07, 27.3, -0.593976292442694
1990-08, 32.2, -0.473182788237265
1990-09, 35.6, -0.389366887360028
1990-10, 91.1, 0.978804435783098
1990-11, 31.6, -0.487973829568542
1990-12, 25.2, -0.645744937102163
1991-01, 21.4, -0.739421532200251
1991-02, 22.6, -0.709839449537697
1991-03, 28, -0.576720077556204
1991-04, 92.8, 1.02071238622172
1991-05, 110.9, 1.46690879971524
1991-06, 40.2, -0.275968903820237
1991-07, 51.7, 0.00752605502923933
1991-08, 46.9, -0.110802275620977
1991-09, 25.6, -0.635884242881312
1991-10, 102.3, 1.25490387396694
1991-11, 126.1, 1.84161518010759
1991-12, 21.1, -0.74681705286589
1992-01, 15.7, -0.879936424847383
1992-02, 17.2, -0.842958821519191
1992-03, 20, -0.773933961973231
1992-04, 33.2, -0.448531052685136
1992-05, 7.8, -1.0746851357092
1992-06, 69.7, 0.451257294967551
1992-07, 37.5, -0.342528589810984
1992-08, 38.3, -0.322807201369281
1992-09, 18, -0.823237433077488
1992-10, 167.9, 2.87205772618656
1992-11, 19.6, -0.783794656194082
1992-12, 101.4, 1.23271731197002
1993-01, 0, -1.2669686730158
1993-02, 0, -1.2669686730158
