"Description: ","Annual sum of daily precipitation > 95th percentile"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, r95p, normalised (all years)
1971, 54.8, -0.972587799227794
1972, 225.2, 0.751211742993748
1973, 213.4, 0.631840647933806
1974, 51.4, -1.00698286051625
1975, 179.2, 0.285866796149904
1976, 145.2, -0.0580838167346754
1977, 91, -0.606381558450682
1978, 102.7, -0.4880220828404
1979, 289.4, 1.40067142967581
1980, 174.4, 0.237309062566199
1981, 275.9, 1.26410280397164
1982, 181.8, 0.312168901841078
1983, 0, -1.52695525764176
1984, 92.6, -0.590195647256114
1985, 33, -1.19312083925379
1986, 42.8, -1.09398213318706
1987, 104.8, -0.466778074397529
1988, 75.1, -0.767229050946706
1989, 77.2, -0.745985042503835
1990, 79, -0.727775892409946
1991, 142, -0.0904556391238123
1992, 159.7, 0.0886010034661013
1993, 139, -0.120804222613628
1994, 229.6, 0.795722998778811
1995, 123.2, -0.280640095659992
1996, 364.2, 2.15736277802188
1997, 232.7, 0.827083201718287
1998, 139.4, -0.116757744814986
1999, 408.6, 2.60652181367116
2000, 119, -0.323128112545734
2001, 265.6, 1.1599060006566
2002, 191.9, 0.414342466256792
2003, 0, -1.52695525764176
2004, 123, -0.282663334559313
2005, 379.6, 2.3131521732696
2006, 31.2, -1.21132998934768
2007, 252.6, 1.02839547220073
2008, 36, -1.16277225576397
2009, 60.2, -0.917960348946125
2010, 89.6, -0.62054423074593
2011, 35, -1.17288845026058
2012, 111.4, -0.400011190719934
2013, 106, -0.454638641001603
2014, 118.4, -0.329197829243697
2015, 291.6, 1.42292705756834
2016, 152.8, 0.018799261439525
2017, 212.6, 0.623747692336521
2018, 241.4, 0.915094093838754
