"Description: ","Maximum monthly 1-day precipitation total"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, rx1day, normalised (all years)
1971-01, 14, -0.401599106739348
1971-02, 15.4, -0.31770135420386
1971-03, 11.2, -0.569394611810324
1971-04, 9.6, -0.665277757565167
1971-05, 19, -0.101964276255462
1971-06, 16.6, -0.245788994887727
1971-07, 26, 0.317524486421977
1971-08, 8.8, -0.713219330442589
1971-09, 54.8, 2.04342111000916
1971-10, 18.2, -0.149905849132884
1971-11, 26.2, 0.329509879641333
1971-12, 10.8, -0.593365398249035
1972-01, 58, 2.23518740151884
1972-02, 21.8, 0.0658312288155135
1972-03, 8.8, -0.713219330442589
1972-04, 49.2, 1.70783009986721
1972-05, 12.2, -0.509467645713547
1972-06, 6.8, -0.833073262636143
1972-07, 18.8, -0.113949669474818
1972-08, 27.8, 0.425393025396176
1972-09, 62.2, 2.48688065912531
1972-10, 10.4, -0.617336184687745
1972-11, 22.4, 0.10178740847358
1972-12, 19.8, -0.0540227033780407
1973-01, 30.4, 0.581203137247796
1973-02, 19, -0.101964276255462
1973-03, 77.2, 3.38578515057696
1973-04, 28, 0.437378418615531
1973-05, 13.6, -0.425569893178059
1973-06, 18.2, -0.149905849132884
1973-07, 16.6, -0.245788994887727
1973-08, 9.2, -0.689248544003878
1973-09, 40, 1.15650201177686
1973-10, 18.8, -0.113949669474818
1973-11, 18.8, -0.113949669474818
1973-12, 6.6, -0.845058655855498
1974-01, 10.2, -0.629321577907101
1974-02, 8.2, -0.749175510100655
1974-03, 15.6, -0.305715960984505
1974-04, 15.4, -0.31770135420386
1974-05, 12.8, -0.47351146605548
1974-06, 23.2, 0.149728981351001
1974-07, 51.4, 1.83966942528012
1974-08, 15, -0.341672140642571
1974-09, 7, -0.821087869416787
1974-10, 15.8, -0.293730567765149
1974-11, 15, -0.341672140642571
1974-12, 10, -0.641306971126456
1975-01, 2.2, -1.10873730668132
1975-02, 11.8, -0.533438432152257
1975-03, 10.2, -0.629321577907101
1975-04, 12.4, -0.497482252494191
1975-05, 21, 0.0178896559380918
1975-06, 24, 0.197670554228423
1975-07, 14.4, -0.377628320300637
1975-08, 46.6, 1.55201998801559
1975-09, 11.8, -0.533438432152257
1975-10, 34.2, 0.80892560841555
1975-11, 41.6, 1.2523851575317
1975-12, 2.4, -1.09675191346196
1976-01, 9, -0.701233937223233
1976-02, 19.2, -0.0899788830361071
1976-03, 22.6, 0.113772801692935
1976-04, 13.2, -0.44954067961677
1976-05, 13.8, -0.413584499958703
1976-06, 9.2, -0.689248544003878
1976-07, 25.4, 0.281568306763911
1976-08, 73.8, 3.18203346584792
1976-09, 71.4, 3.03820874721566
1976-10, 24.8, 0.245612127105845
1976-11, 11.5, -0.551416521981291
1976-12, 12.6, -0.485496859274836
1977-01, 10.6, -0.60535079146839
1977-02, 13.4, -0.437555286397414
1977-03, 31.4, 0.641130103344573
1977-04, 8.4, -0.7371901168813
1977-05, 5.2, -0.928956408390986
1977-06, 14, -0.401599106739348
1977-07, 30.4, 0.581203137247796
1977-08, 19.6, -0.0660080965973961
1977-09, 8.6, -0.725204723661944
1977-10, 29.2, 0.509290777931664
1977-11, 21.8, 0.0658312288155135
1977-12, 11.8, -0.533438432152257
1978-01, 29.4, 0.521276171151019
1978-02, 7.4, -0.797117082978077
1978-03, 15.2, -0.329686747423215
1978-04, 19.8, -0.0540227033780407
1978-05, 14.6, -0.365642927081282
1978-06, 15.4, -0.31770135420386
1978-07, 22.8, 0.125758194912291
1978-08, 8.2, -0.749175510100655
1978-09, 12, -0.521453038932902
1978-10, 44, 1.39620987616396
