"Description: ","Maximum 3-day precipitation total"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.7"
"Date_of_calculation: ","2020-01-22"
time, rx3day, normalised (all years)
1971-01, 31.8, 0.0806931488694888
1971-02, 18, -0.489325692929039
1971-03, 13.4, -0.679331973528548
1971-04, 10.8, -0.786726827780444
1971-05, 23.4, -0.266274841790485
1971-06, 16.6, -0.547153691372368
1971-07, 26, -0.158879987538588
1971-08, 8.8, -0.869338254128057
1971-09, 72.8, 1.77422738899555
1971-10, 23.4, -0.266274841790485
1971-11, 48.4, 0.766367987554674
1971-12, 24.6, -0.216707985981917
1972-01, 77.4, 1.96423366959506
1972-02, 41.2, 0.468966852703268
1972-03, 14.6, -0.62976511771998
1972-04, 68, 1.57595996576128
1972-05, 17.6, -0.505847978198561
1972-06, 8.4, -0.88586053939758
1972-07, 28.2, -0.0680074185562141
1972-08, 45.2, 0.634189705398494
1972-09, 95, 2.69121422145405
1972-10, 12.2, -0.728898829337116
1972-11, 30.2, 0.0146040077913985
1972-12, 27.2, -0.10931313173002
1973-01, 58.6, 1.1876862619275
1973-02, 32.4, 0.105476576773772
1973-03, 83.8, 2.22859023390742
1973-04, 42.8, 0.535055993781358
1973-05, 16.4, -0.555414834007129
1973-06, 26.8, -0.125835416999543
1973-07, 29.6, -0.0101794201128852
1973-08, 11.6, -0.753682257241399
1973-09, 100.4, 2.9142650725926
1973-10, 25.2, -0.191924558077633
1973-11, 21.4, -0.348886268138097
1973-12, 6.79999999999999, -0.95194968047567
1974-01, 11.4, -0.761943399876161
1974-02, 12.8, -0.704115401432832
1974-03, 24.6, -0.216707985981917
1974-04, 26, -0.158879987538588
1974-05, 20, -0.406714266581426
1974-06, 24.8, -0.208446843347156
1974-07, 53.6, 0.981157696058467
1974-08, 29.2, -0.0267017053824078
1974-09, 6.99999999999999, -0.943688537840909
1974-10, 23.8, -0.249752556520962
1974-11, 32.8, 0.121998862043295
1974-12, 10.6, -0.794987970415206
1975-01, 2.99999999999999, -1.10891139053613
1975-02, 14.4, -0.638026260354742
1975-03, 16, -0.571937119276651
1975-04, 27.6, -0.0927908464604979
1975-05, 35, 0.212871431025669
1975-06, 34.6, 0.196349145756147
1975-07, 14.4, -0.638026260354742
1975-08, 65.8, 1.4850873967789
1975-09, 12.2, -0.728898829337116
1975-10, 91, 2.52599136875882
1975-11, 54.6, 1.02246340923227
1975-12, 4.59999999999999, -1.04282224945804
1976-01, 22.6, -0.29931941232953
1976-02, 36.4, 0.270699429468998
1976-03, 26, -0.158879987538588
1976-04, 24, -0.241491413886201
1976-05, 13.8, -0.662809688259025
1976-06, 9.4, -0.844554826223773
1976-07, 25.4, -0.183663415442872
1976-08, 81, 2.11293423702076
1976-09, 86.4, 2.33598508815932
1976-10, 32.4, 0.105476576773772
1976-11, 18, -0.489325692929039
1976-12, 13, -0.695854258798071
1977-01, 13.6, -0.671070830893787
1977-02, 15, -0.613242832450458
1977-03, 53.2, 0.964635410788945
1977-04, 15.8, -0.580198261911413
1977-05, 7.8, -0.910643967301863
1977-06, 14.4, -0.638026260354742
1977-07, 47.6, 0.733323417015629
1977-08, 33.3, 0.142651718630198
1977-09, 17.4, -0.514109120833323
1977-10, 33, 0.130260004678056
1977-11, 34.4, 0.188088003121385
1977-12, 24.2, -0.23323027125144
1978-01, 36.2, 0.262438286834237
1978-02, 13.8, -0.662809688259025
1978-03, 27, -0.117574274364782
1978-04, 29.6, -0.0101794201128852
1978-05, 18.6, -0.464542265024755
1978-06, 25.8, -0.167141130173349
1978-07, 22.8, -0.291058269694768
1978-08, 11, -0.778465685145683
1978-09, 12, -0.737159971971877
1978-10, 73.3, 1.79488024558245
1978-11, 43.3, 0.555708850368262
1978-12, 37.8, 0.328527427912327
1979-01, 18.4, -0.472803407659516
1979-02, 27.6, -0.0927908464604979
1979-03, 14.6, -0.62976511771998
1979-04, 8.8, -0.869338254128057
1979-05, -3.94129173741931e-15, -1.23282853005755
1979-06, 12.4, -0.720637686702354
1979-07, 112, 3.39341134540876
1979-08, 88.6, 2.42685765714169
1979-09, 63, 1.36943139989225
1979-10, 7.8, -0.910643967301863
1979-11, 59.4, 1.22073083246654
1979-12, 25.4, -0.183663415442872
1980-01, 10, -0.81977139831949
1980-02, 4.2, -1.05934453472757
1980-03, 14.4, -0.638026260354742
1980-04, 39.2, 0.386355426355656
1980-05, 29.5, -0.0143099914302659
1980-06, 13.2, -0.687593116163309
1980-07, 2, -1.15021710370994
1980-08, 10.2, -0.811510255684728
1980-09, 10.6, -0.794987970415206
1980-10, 22.4, -0.307580554964291
1980-11, 112.6, 3.41819477331304
1980-12, 24.2, -0.23323027125144
1981-01, 69.6, 1.64204910683937
1981-02, 10.8, -0.786726827780444
1981-03, 16.8, -0.538892548737606
1981-04, 12.6, -0.712376544067593
1981-05, 27, -0.117574274364782
1981-06, 112.1, 3.39754191672614
1981-07, 16.6, -0.547153691372368
1981-08, 27.8, -0.0845297038257366
1981-09, 83.6, 2.22032909127266
1981-10, 14, -0.654548545624264
1981-11, 3.4, -1.09238910526661
1981-12, 25.6, -0.175402272808111
1982-01, 9.6, -0.836293683589012
1982-02, 5, -1.02629996418852
1982-03, 51.6, 0.898546269710854
1982-04, 21.4, -0.348886268138097
1982-05, 37.8, 0.328527427912327
1982-06, 7.4, -0.927166252571386
1982-07, 37.6, 0.320266285277566
1982-08, 59.2, 1.21246968983178
1982-09, 34, 0.171565717851863
1982-10, 42.2, 0.510272565877075
1982-11, 83.8, 2.22859023390742
1982-12, 34.4, 0.188088003121385
1983-01, 10.4, -0.803249113049967
1983-02, 11, -0.778465685145683
1983-03, 17, -0.530631406102845
1983-04, 17.4, -0.514109120833323
1983-05, 10.2, -0.811510255684728
1983-06, 16.2, -0.56367597664189
1983-07, 2.39999999999999, -1.13369481844042
1983-08, 22.6, -0.29931941232953
1983-09, 2.99999999999999, -1.10891139053613
1983-10, 35.8, 0.245916001564714
1983-11, 3.19999999999999, -1.10065024790137
1983-12, 16.3, -0.55954540532451
1984-01, 6.99999999999999, -0.943688537840909
1984-02, 36.8, 0.28722171473852
1984-03, 45, 0.625928562763732
1984-04, 21.8, -0.332363982868575
1984-05, 33.2, 0.138521147312818
1984-06, 14.4, -0.638026260354742
1984-07, 15, -0.613242832450458
1984-08, 33.8, 0.163304575217101
1984-09, 39.8, 0.411138854259939
1984-10, 42, 0.502011423242313
1984-11, 17.4, -0.514109120833323
1984-12, 21.4, -0.348886268138097
1985-01, 15.2, -0.604981689815697
1985-02, 17.2, -0.522370263468084
1985-03, 15.6, -0.588459404546174
1985-04, 20.4, -0.390191981311904
1985-05, 21.8, -0.332363982868575
1985-06, 12.4, -0.720637686702354
1985-07, 1.6, -1.16673938897946
1985-08, 14.8, -0.621503975085219
1985-09, 1.2, -1.18326167424899
1985-10, 39, 0.378094283720894
1985-11, 32.2, 0.0972154341390114
1985-12, 23.8, -0.249752556520962
1986-01, 29.4, -0.0184405627476466
1986-02, 23.8, -0.249752556520962
1986-03, 39.4, 0.394616568990417
1986-04, 28.4, -0.0597462759214529
1986-05, 14.4, -0.638026260354742
1986-06, 20.2, -0.398453123946665
1986-07, 61.6, 1.31160340144892
1986-08, 4.4, -1.05108339209281
1986-09, 12.6, -0.712376544067593
1986-10, 22.8, -0.291058269694768
1986-11, 14.4, -0.638026260354742
1986-12, 7.21644966006352e-16, -1.23282853005755
1987-01, 31.2, 0.0559097209652049
1987-02, 25.6, -0.175402272808111
1987-03, 10.6, -0.794987970415206
1987-04, 12, -0.737159971971877
1987-05, 15.8, -0.580198261911413
1987-06, 13.6, -0.671070830893787
1987-07, 8.4, -0.88586053939758
1987-08, 4, -1.06760567736233
1987-09, 6, -0.984994251014715
1987-10, 36, 0.254177144199475
1987-11, 90, 2.48468565558502
1987-12, 51.8, 0.906807412345615
1988-01, 4.1, -1.06347510604495
1988-02, 24.6, -0.216707985981917
1988-03, 12.8, -0.704115401432832
1988-04, 12, -0.737159971971877
1988-05, 31.7, 0.0765625775521081
1988-06, 70.6, 1.68335482001317
1988-07, 0.599999999999999, -1.20804510215327
1988-08, 37.9, 0.332657999229707
1988-09, 23.9, -0.245621985203581
1988-10, 10.8, -0.786726827780444
1988-11, 14.9, -0.617373403767838
1988-12, 18.1, -0.485195121611658
1989-01, 18.3, -0.476933978976897
1989-02, 6.4, -0.968471965745192
1989-03, 7.4, -0.927166252571386
1989-04, 11, -0.778465685145683
1989-05, 29.1, -0.0308322766997883
1989-06, 12.6, -0.712376544067593
1989-07, 77.7, 1.9766253835472
1989-08, 27, -0.117574274364782
1989-09, 32.65, 0.115803005067224
1989-10, 2.5, -1.12956424712304
1989-11, 36.7, 0.28309114342114
1989-12, 0.3, -1.22043681610541
1990-01, 1.6, -1.16673938897946
1990-02, 13.4, -0.679331973528548
1990-03, 65.5, 1.47269568282676
1990-04, 25.6, -0.175402272808111
1990-05, 4.4, -1.05108339209281
1990-06, 8, -0.902382824667102
1990-07, 9.6, -0.836293683589012
1990-08, 17.6, -0.505847978198561
1990-09, 15.5, -0.592589975863555
1990-10, 40.8, 0.452444567433746
