"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, su, normalised (all years)
1971-01, 0, -0.772407024232595
1971-02, 0, -0.772407024232595
1971-03, 0, -0.772407024232595
1971-04, 0, -0.772407024232595
1971-05, 5, -0.342351718907873
1971-06, 13, 0.345736769611682
1971-07, 28, 1.63590268558585
1971-08, 30, 1.80792480771574
1971-09, 6, -0.256340657842929
1971-10, 0, -0.772407024232595
1971-11, 0, -0.772407024232595
1971-12, 0, -0.772407024232595
1972-01, 0, -0.772407024232595
1972-02, 0, -0.772407024232595
1972-03, 0, -0.772407024232595
1972-04, 0, -0.772407024232595
1972-05, 0, -0.772407024232595
1972-06, 0, -0.772407024232595
1972-07, 3, -0.514373841037762
1972-08, 25, 1.37786950239101
1972-09, 0, -0.772407024232595
1972-10, 0, -0.772407024232595
1972-11, 0, -0.772407024232595
1972-12, 0, -0.772407024232595
1973-01, 0, -0.772407024232595
1973-02, 0, -0.772407024232595
1973-03, 0, -0.772407024232595
1973-04, 0, -0.772407024232595
1973-05, 6, -0.256340657842929
1973-06, 22, 1.11983631919618
1973-07, 28, 1.63590268558585
1973-08, 30, 1.80792480771574
1973-09, 17, 0.689781013871459
1973-10, 1, -0.686395963167651
1973-11, 0, -0.772407024232595
1973-12, 0, -0.772407024232595
1974-01, 0, -0.772407024232595
1974-02, 0, -0.772407024232595
1974-03, 0, -0.772407024232595
1974-04, 0, -0.772407024232595
1974-05, 5, -0.342351718907873
1974-06, 22, 1.11983631919618
1974-07, 31, 1.89393586878068
1974-08, 30, 1.80792480771574
1974-09, 19, 0.861803136001348
1974-10, 0, -0.772407024232595
1974-11, 0, -0.772407024232595
1974-12, 0, -0.772407024232595
1975-01, 0, -0.772407024232595
1975-02, 0, -0.772407024232595
1975-03, 0, -0.772407024232595
1975-04, 0, -0.772407024232595
1975-05, 12, 0.259725708546737
1975-06, 19, 0.861803136001348
1975-07, 29, 1.72191374665079
1975-08, 26, 1.46388056345596
1975-09, 24, 1.29185844132607
1975-10, 5, -0.342351718907873
1975-11, 0, -0.772407024232595
1975-12, 0, -0.772407024232595
1976-01, 0, -0.772407024232595
1976-02, 0, -0.772407024232595
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 19, 0.861803136001348
1976-07, 27, 1.5498916245209
1976-08, 9, 0.00169252535190404
1976-09, 0, -0.772407024232595
1976-10, 0, -0.772407024232595
1976-11, 0, -0.772407024232595
