"Description: ","Annual number of days when TM >= 10 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tmge10, normalised (all years)
1971, 219, -0.792468443038052
1972, 224, -0.51188807892268
1973, 193, -2.25148633643799
1974, 207, -1.46586131691495
1975, 215, -1.01693273433035
1976, -99.9, -99.9
1977, 240, 0.385969086246512
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 207, -1.46586131691495
1983, 216, -0.960816661507275
1984, -99.9, -99.9
1985, 233, -0.00684342351500924
1986, 220, -0.736352370214977
1987, 200, -1.85867382667647
1988, 220, -0.736352370214977
1989, 237, 0.217620867777289
1990, 233, -0.00684342351500924
1991, 211, -1.24139702562265
1992, 231, -0.119075569161158
1993, 221, -0.680236297391903
1994, 236, 0.161504794954214
1995, 213, -1.1291648799765
1996, 234, 0.0492726493080652
1997, 226, -0.399655933276531
1998, 228, -0.287423787630382
1999, 234, 0.0492726493080652
2000, 236, 0.161504794954214
2001, -99.9, -99.9
2002, 247, 0.778781596008033
2003, 228, -0.287423787630382
2004, 230, -0.175191641984233
2005, 239, 0.329853013423438
2006, 251, 1.00324588730033
2007, 251, 1.00324588730033
2008, 252, 1.05936196012341
2009, 252, 1.05936196012341
2010, 247, 0.778781596008033
2011, 239, 0.329853013423438
2012, 258, 1.39605839706185
2013, 243, 0.554317304715735
2014, 278, 2.51837985352334
2015, 243, 0.554317304715735
2016, 258, 1.39605839706185
2017, 257, 1.33994232423878
2018, 251, 1.00324588730033
