"Description: ","Monthly number of days when TM >= 5 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tmge5, normalised (all years)
1971-01, 9, -1.78331394855709
1971-02, 11, -1.56077292896932
1971-03, 18, -0.781879360412126
1971-04, 30, 0.553366757114488
1971-05, 31, 0.664637266908372
1971-06, 30, 0.553366757114488
1971-07, 31, 0.664637266908372
1971-08, 31, 0.664637266908372
1971-09, 30, 0.553366757114488
1971-10, 31, 0.664637266908372
1971-11, 22, -0.336797321236588
1971-12, 8, -1.89458445835097
1972-01, 11, -1.56077292896932
1972-02, 26, 0.10828471793895
1972-03, 31, 0.664637266908372
1972-04, 30, 0.553366757114488
1972-05, 31, 0.664637266908372
1972-06, 30, 0.553366757114488
1972-07, 31, 0.664637266908372
1972-08, 31, 0.664637266908372
1972-09, 30, 0.553366757114488
1972-10, 31, 0.664637266908372
1972-11, 24, -0.114256301648819
1972-12, 12, -1.44950241917543
1973-01, 9, -1.78331394855709
1973-02, 12, -1.44950241917543
1973-03, 16, -1.00442037999989
1973-04, 28, 0.330825737526719
1973-05, 31, 0.664637266908372
1973-06, 30, 0.553366757114488
1973-07, 31, 0.664637266908372
1973-08, 31, 0.664637266908372
1973-09, 30, 0.553366757114488
1973-10, 30, 0.553366757114488
1973-11, 20, -0.559338340824357
1973-12, 5, -2.22839598773262
1974-01, 4, -2.33966649752651
1974-02, 24, -0.114256301648819
1974-03, 22, -0.336797321236588
1974-04, 30, 0.553366757114488
1974-05, 31, 0.664637266908372
1974-06, 30, 0.553366757114488
1974-07, 31, 0.664637266908372
1974-08, 31, 0.664637266908372
1974-09, 30, 0.553366757114488
1974-10, 31, 0.664637266908372
1974-11, 25, -0.00298579185493437
1974-12, 1, -2.67347802690816
1975-01, 10, -1.6720434387632
1975-02, 10, -1.6720434387632
1975-03, 27, 0.219555227732835
1975-04, 30, 0.553366757114488
1975-05, 31, 0.664637266908372
1975-06, 30, 0.553366757114488
1975-07, 31, 0.664637266908372
1975-08, 31, 0.664637266908372
1975-09, 30, 0.553366757114488
1975-10, 31, 0.664637266908372
1975-11, 23, -0.225526811442703
1975-12, 3, -2.45093700732039
1976-01, 8, -1.89458445835097
1976-02, 28, 0.330825737526719
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 29, 0.442096247320603
1976-07, 31, 0.664637266908372
1976-08, 30, 0.553366757114488
1976-09, 30, 0.553366757114488
1976-10, 31, 0.664637266908372
1976-11, 25, -0.00298579185493437
1976-12, 14, -1.22696139958766
1977-01, 15, -1.11569088979378
1977-02, 24, -0.114256301648819
1977-03, 31, 0.664637266908372
1977-04, 30, 0.553366757114488
1977-05, 31, 0.664637266908372
1977-06, 30, 0.553366757114488
1977-07, 31, 0.664637266908372
1977-08, 31, 0.664637266908372
1977-09, 30, 0.553366757114488
1977-10, 31, 0.664637266908372
1977-11, 23, -0.225526811442703
1977-12, 3, -2.45093700732039
1978-01, 12, -1.44950241917543
1978-02, 10, -1.6720434387632
1978-03, -99.9, -99.9
1978-04, 30, 0.553366757114488
1978-05, 31, 0.664637266908372
1978-06, 30, 0.553366757114488
1978-07, 29, 0.442096247320603
1978-08, 29, 0.442096247320603
1978-09, 30, 0.553366757114488
1978-10, 31, 0.664637266908372
1978-11, 18, -0.781879360412126
1978-12, -99.9, -99.9
1979-01, 5, -2.22839598773262
1979-02, 21, -0.448067831030472
1979-03, 29, 0.442096247320603
1979-04, 30, 0.553366757114488
1979-05, 30, 0.553366757114488
1979-06, 30, 0.553366757114488
1979-07, 29, 0.442096247320603
1979-08, 31, 0.664637266908372
1979-09, 30, 0.553366757114488
1979-10, 28, 0.330825737526719
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, 6, -2.11712547793874
1980-02, 14, -1.22696139958766
1980-03, 30, 0.553366757114488
1980-04, 30, 0.553366757114488
1980-05, 31, 0.664637266908372
1980-06, 30, 0.553366757114488
1980-07, 30, 0.553366757114488
1980-08, 31, 0.664637266908372
1980-09, 30, 0.553366757114488
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, 4, -2.33966649752651
1981-01, 1, -2.67347802690816
1981-02, 6, -2.11712547793874
1981-03, 28, 0.330825737526719
1981-04, 30, 0.553366757114488
1981-05, 30, 0.553366757114488
1981-06, -99.9, -99.9
1981-07, 30, 0.553366757114488
1981-08, 31, 0.664637266908372
1981-09, 30, 0.553366757114488
1981-10, 30, 0.553366757114488
1981-11, -99.9, -99.9
1981-12, 6, -2.11712547793874
1982-01, 2, -2.56220751711428
1982-02, 3, -2.45093700732039
1982-03, 26, 0.10828471793895
1982-04, 30, 0.553366757114488
1982-05, 31, 0.664637266908372
1982-06, 30, 0.553366757114488
1982-07, 31, 0.664637266908372
1982-08, 31, 0.664637266908372
1982-09, 29, 0.442096247320603
1982-10, 31, 0.664637266908372
1982-11, 27, 0.219555227732835
1982-12, 10, -1.6720434387632
1983-01, 2, -2.56220751711428
1983-02, 1, -2.67347802690816
1983-03, 27, 0.219555227732835
1983-04, 30, 0.553366757114488
1983-05, 31, 0.664637266908372
1983-06, 30, 0.553366757114488
1983-07, 31, 0.664637266908372
1983-08, 31, 0.664637266908372
1983-09, 30, 0.553366757114488
1983-10, 31, 0.664637266908372
1983-11, 17, -0.89314987020601
1983-12, 6, -2.11712547793874
1984-01, 3, -2.45093700732039
1984-02, 7, -2.00585496814485
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 31, 0.664637266908372
1984-06, 30, 0.553366757114488
1984-07, 31, 0.664637266908372
1984-08, 31, 0.664637266908372
1984-09, 30, 0.553366757114488
1984-10, 31, 0.664637266908372
1984-11, 27, 0.219555227732835
1984-12, 17, -0.89314987020601
1985-01, 1, -2.67347802690816
1985-02, 8, -1.89458445835097
1985-03, 31, 0.664637266908372
1985-04, 30, 0.553366757114488
1985-05, 31, 0.664637266908372
1985-06, 30, 0.553366757114488
1985-07, 31, 0.664637266908372
1985-08, 31, 0.664637266908372
1985-09, 30, 0.553366757114488
1985-10, 31, 0.664637266908372
1985-11, 22, -0.336797321236588
1985-12, 16, -1.00442037999989
1986-01, 7, -2.00585496814485
1986-02, 8, -1.89458445835097
1986-03, 27, 0.219555227732835
1986-04, 30, 0.553366757114488
1986-05, 31, 0.664637266908372
1986-06, 30, 0.553366757114488
1986-07, 31, 0.664637266908372
1986-08, 31, 0.664637266908372
1986-09, 30, 0.553366757114488
1986-10, 31, 0.664637266908372
1986-11, 17, -0.89314987020601
1986-12, 0, -2.78474853670205
1987-01, 0, -2.78474853670205
1987-02, 3, -2.45093700732039
1987-03, 9, -1.78331394855709
1987-04, 28, 0.330825737526719
1987-05, 31, 0.664637266908372
1987-06, 30, 0.553366757114488
1987-07, 31, 0.664637266908372
1987-08, 31, 0.664637266908372
1987-09, 30, 0.553366757114488
1987-10, 31, 0.664637266908372
1987-11, 28, 0.330825737526719
1987-12, 8, -1.89458445835097
1988-01, 19, -0.670608850618241
1988-02, 12, -1.44950241917543
1988-03, 22, -0.336797321236588
1988-04, 30, 0.553366757114488
1988-05, 31, 0.664637266908372
1988-06, 30, 0.553366757114488
1988-07, 31, 0.664637266908372
1988-08, 31, 0.664637266908372
1988-09, 30, 0.553366757114488
1988-10, 31, 0.664637266908372
1988-11, 16, -1.00442037999989
1988-12, 6, -2.11712547793874
1989-01, 0, -2.78474853670205
1989-02, 13, -1.33823190938155
1989-03, 30, 0.553366757114488
1989-04, 30, 0.553366757114488
1989-05, 31, 0.664637266908372
1989-06, 30, 0.553366757114488
1989-07, 31, 0.664637266908372
1989-08, 31, 0.664637266908372
1989-09, 30, 0.553366757114488
1989-10, 31, 0.664637266908372
1989-11, 21, -0.448067831030472
1989-12, 7, -2.00585496814485
1990-01, 4, -2.33966649752651
1990-02, 21, -0.448067831030472
1990-03, 26, 0.10828471793895
1990-04, 30, 0.553366757114488
1990-05, 31, 0.664637266908372
1990-06, 30, 0.553366757114488
1990-07, 31, 0.664637266908372
1990-08, 31, 0.664637266908372
1990-09, 30, 0.553366757114488
1990-10, 31, 0.664637266908372
1990-11, 23, -0.225526811442703
1990-12, 5, -2.22839598773262
1991-01, 8, -1.89458445835097
1991-02, 7, -2.00585496814485
1991-03, 29, 0.442096247320603
1991-04, 29, 0.442096247320603
1991-05, 31, 0.664637266908372
1991-06, 30, 0.553366757114488
1991-07, 31, 0.664637266908372
