"Description: ","Monthly number of days when TM < 10 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tmlt10, normalised (all years)
1971-01, 31, 1.58435732155357
1971-02, 28, 1.3468948827078
1971-03, 26, 1.18858659014395
1971-04, 4, -0.552804628058372
1971-05, 0, -0.869421213186067
1971-06, 0, -0.869421213186067
1971-07, 0, -0.869421213186067
1971-08, 0, -0.869421213186067
1971-09, 0, -0.869421213186067
1971-10, 5, -0.473650481776448
1971-11, 21, 0.79281585873433
1971-12, 31, 1.58435732155357
1972-01, 31, 1.58435732155357
1972-02, 25, 1.10943244386203
1972-03, 9, -0.157033896648754
1972-04, 6, -0.394496335494525
1972-05, 18, 0.555353419888559
1972-06, 0, -0.869421213186067
1972-07, 1, -0.790267066904143
1972-08, 0, -0.869421213186067
1972-09, 0, -0.869421213186067
1972-10, 5, -0.473650481776448
1972-11, 17, 0.476199273606636
1972-12, 30, 1.50520317527164
1973-01, 31, 1.58435732155357
1973-02, 28, 1.3468948827078
1973-03, 29, 1.42604902898972
1973-04, 18, 0.555353419888559
1973-05, 0, -0.869421213186067
1973-06, 0, -0.869421213186067
1973-07, 0, -0.869421213186067
1973-08, 0, -0.869421213186067
1973-09, 0, -0.869421213186067
1973-10, 6, -0.394496335494525
1973-11, 30, 1.50520317527164
1973-12, 30, 1.50520317527164
1974-01, 31, 1.58435732155357
1974-02, 26, 1.18858659014395
1974-03, 19, 0.634507566170483
1974-04, 7, -0.315342189212601
1974-05, 0, -0.869421213186067
1974-06, 0, -0.869421213186067
1974-07, 0, -0.869421213186067
1974-08, 0, -0.869421213186067
1974-09, 0, -0.869421213186067
1974-10, 18, 0.555353419888559
1974-11, 26, 1.18858659014395
1974-12, 31, 1.58435732155357
1975-01, 31, 1.58435732155357
1975-02, 28, 1.3468948827078
1975-03, 26, 1.18858659014395
1975-04, 9, -0.157033896648754
1975-05, 0, -0.869421213186067
1975-06, 0, -0.869421213186067
1975-07, 0, -0.869421213186067
1975-08, 0, -0.869421213186067
1975-09, 0, -0.869421213186067
1975-10, 3, -0.631958774340296
1975-11, 23, 0.951124151298178
1975-12, 30, 1.50520317527164
1976-01, 30, 1.50520317527164
1976-02, 23, 0.951124151298178
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 0, -0.869421213186067
1976-07, 0, -0.869421213186067
1976-08, 0, -0.869421213186067
1976-09, 0, -0.869421213186067
1976-10, 2, -0.71111292062222
1976-11, 16, 0.397045127324712
1976-12, 29, 1.42604902898972
1977-01, 30, 1.50520317527164
1977-02, 23, 0.951124151298178
1977-03, 12, 0.0804285421970173
1977-04, 11, 0.00127439591509362
1977-05, 0, -0.869421213186067
1977-06, 0, -0.869421213186067
1977-07, 0, -0.869421213186067
1977-08, 0, -0.869421213186067
1977-09, 0, -0.869421213186067
1977-10, 0, -0.869421213186067
1977-11, 17, 0.476199273606636
1977-12, 31, 1.58435732155357
1978-01, 28, 1.3468948827078
1978-02, 27, 1.26774073642587
1978-03, -99.9, -99.9
1978-04, 8, -0.236188042930677
1978-05, 0, -0.869421213186067
1978-06, 0, -0.869421213186067
1978-07, 0, -0.869421213186067
1978-08, 0, -0.869421213186067
1978-09, 0, -0.869421213186067
1978-10, 5, -0.473650481776448
1978-11, 30, 1.50520317527164
1978-12, -99.9, -99.9
1979-01, 29, 1.42604902898972
1979-02, 27, 1.26774073642587
1979-03, 19, 0.634507566170483
1979-04, 14, 0.238736834760865
1979-05, 1, -0.790267066904143
1979-06, 0, -0.869421213186067
1979-07, 0, -0.869421213186067
1979-08, 0, -0.869421213186067
1979-09, 0, -0.869421213186067
1979-10, 4, -0.552804628058372
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, 31, 1.58435732155357
1980-02, 29, 1.42604902898972
1980-03, 20, 0.713661712452407
1980-04, 12, 0.0804285421970173
1980-05, 0, -0.869421213186067
1980-06, 0, -0.869421213186067
1980-07, 0, -0.869421213186067
1980-08, 0, -0.869421213186067
1980-09, 0, -0.869421213186067
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, 31, 1.58435732155357
1981-01, 31, 1.58435732155357
1981-02, 28, 1.3468948827078
1981-03, 13, 0.159582688478941
1981-04, 4, -0.552804628058372
1981-05, 0, -0.869421213186067
1981-06, -99.9, -99.9
1981-07, 0, -0.869421213186067
1981-08, 0, -0.869421213186067
1981-09, 0, -0.869421213186067
1981-10, 1, -0.790267066904143
1981-11, -99.9, -99.9
1981-12, 31, 1.58435732155357
1982-01, 31, 1.58435732155357
1982-02, 28, 1.3468948827078
1982-03, 31, 1.58435732155357
1982-04, 15, 0.317890981042788
1982-05, 1, -0.790267066904143
1982-06, 0, -0.869421213186067
1982-07, 0, -0.869421213186067
1982-08, 0, -0.869421213186067
1982-09, 0, -0.869421213186067
1982-10, 1, -0.790267066904143
1982-11, 22, 0.871970005016254
1982-12, 28, 1.3468948827078
1983-01, 31, 1.58435732155357
1983-02, 28, 1.3468948827078
1983-03, 21, 0.79281585873433
1983-04, 7, -0.315342189212601
1983-05, 0, -0.869421213186067
1983-06, 0, -0.869421213186067
1983-07, 0, -0.869421213186067
1983-08, 0, -0.869421213186067
1983-09, 0, -0.869421213186067
1983-10, 5, -0.473650481776448
1983-11, 25, 1.10943244386203
1983-12, 31, 1.58435732155357
1984-01, 31, 1.58435732155357
1984-02, 29, 1.42604902898972
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 0, -0.869421213186067
1984-06, 0, -0.869421213186067
1984-07, 0, -0.869421213186067
1984-08, 0, -0.869421213186067
1984-09, 0, -0.869421213186067
1984-10, 0, -0.869421213186067
1984-11, 17, 0.476199273606636
1984-12, 29, 1.42604902898972
1985-01, 31, 1.58435732155357
1985-02, 28, 1.3468948827078
1985-03, 22, 0.871970005016254
1985-04, 2, -0.71111292062222
1985-05, 0, -0.869421213186067
1985-06, 0, -0.869421213186067
1985-07, 0, -0.869421213186067
1985-08, 0, -0.869421213186067
1985-09, 0, -0.869421213186067
1985-10, 1, -0.790267066904143
1985-11, 17, 0.476199273606636
1985-12, 31, 1.58435732155357
1986-01, 31, 1.58435732155357
1986-02, 28, 1.3468948827078
1986-03, 25, 1.10943244386203
1986-04, 2, -0.71111292062222
1986-05, 0, -0.869421213186067
1986-06, 0, -0.869421213186067
1986-07, 0, -0.869421213186067
1986-08, 0, -0.869421213186067
1986-09, 0, -0.869421213186067
1986-10, 0, -0.869421213186067
1986-11, 28, 1.3468948827078
1986-12, 31, 1.58435732155357
1987-01, 31, 1.58435732155357
1987-02, 28, 1.3468948827078
1987-03, 29, 1.42604902898972
1987-04, 18, 0.555353419888559
1987-05, 5, -0.473650481776448
1987-06, 0, -0.869421213186067
1987-07, 0, -0.869421213186067
1987-08, 0, -0.869421213186067
1987-09, 0, -0.869421213186067
1987-10, 1, -0.790267066904143
1987-11, 22, 0.871970005016254
1987-12, 31, 1.58435732155357
1988-01, 30, 1.50520317527164
1988-02, 28, 1.3468948827078
1988-03, 20, 0.713661712452407
1988-04, 5, -0.473650481776448
1988-05, 0, -0.869421213186067
1988-06, 0, -0.869421213186067
1988-07, 0, -0.869421213186067
1988-08, 0, -0.869421213186067
1988-09, 0, -0.869421213186067
1988-10, 1, -0.790267066904143
1988-11, 29, 1.42604902898972
1988-12, 30, 1.50520317527164
1989-01, 31, 1.58435732155357
1989-02, 25, 1.10943244386203
1989-03, 17, 0.476199273606636
1989-04, 2, -0.71111292062222
1989-05, 0, -0.869421213186067
1989-06, 0, -0.869421213186067
1989-07, 0, -0.869421213186067
1989-08, 0, -0.869421213186067
1989-09, 0, -0.869421213186067
1989-10, 1, -0.790267066904143
1989-11, 23, 0.951124151298178
1989-12, 28, 1.3468948827078
1990-01, 31, 1.58435732155357
1990-02, 24, 1.0302782975801
1990-03, 16, 0.397045127324712
1990-04, 7, -0.315342189212601
1990-05, 0, -0.869421213186067
1990-06, 0, -0.869421213186067
1990-07, 0, -0.869421213186067
1990-08, 0, -0.869421213186067
1990-09, 0, -0.869421213186067
1990-10, 2, -0.71111292062222
1990-11, 20, 0.713661712452407
1990-12, 31, 1.58435732155357
1991-01, 31, 1.58435732155357
1991-02, 28, 1.3468948827078
1991-03, 12, 0.0804285421970173
1991-04, 12, 0.0804285421970173
1991-05, 1, -0.790267066904143
1991-06, 0, -0.869421213186067
1991-07, 0, -0.869421213186067
1991-08, 0, -0.869421213186067
1991-09, 0, -0.869421213186067
1991-10, 10, -0.0778797503668301
1991-11, 28, 1.3468948827078
1991-12, 31, 1.58435732155357
1992-01, 31, 1.58435732155357
1992-02, 26, 1.18858659014395
1992-03, 24, 1.0302782975801
1992-04, 5, -0.473650481776448
1992-05, 0, -0.869421213186067
1992-06, 0, -0.869421213186067
1992-07, 0, -0.869421213186067
1992-08, 0, -0.869421213186067
1992-09, 0, -0.869421213186067
1992-10, 5, -0.473650481776448
1992-11, 17, 0.476199273606636
1992-12, 27, 1.26774073642587
1993-01, 31, 1.58435732155357
1993-02, 28, 1.3468948827078
1993-03, 23, 0.951124151298178
1993-04, 7, -0.315342189212601
1993-05, 0, -0.869421213186067
1993-06, 1, -0.790267066904143
1993-07, 0, -0.869421213186067
1993-08, 0, -0.869421213186067
1993-09, 0, -0.869421213186067
1993-10, 4, -0.552804628058372
1993-11, 19, 0.634507566170483
1993-12, 30, 1.50520317527164
1994-01, 28, 1.3468948827078
1994-02, 28, 1.3468948827078
1994-03, 11, 0.00127439591509362
1994-04, 11, 0.00127439591509362
1994-05, 0, -0.869421213186067
1994-06, 0, -0.869421213186067
1994-07, 0, -0.869421213186067
1994-08, 0, -0.869421213186067
1994-09, 0, -0.869421213186067
1994-10, 2, -0.71111292062222
1994-11, 18, 0.555353419888559
1994-12, 31, 1.58435732155357
1995-01, 31, 1.58435732155357
1995-02, 27, 1.26774073642587
1995-03, 27, 1.26774073642587
1995-04, 9, -0.157033896648754
1995-05, 0, -0.869421213186067
1995-06, 0, -0.869421213186067
1995-07, 0, -0.869421213186067
1995-08, 0, -0.869421213186067
1995-09, 0, -0.869421213186067
1995-10, 4, -0.552804628058372
1995-11, 23, 0.951124151298178
1995-12, 31, 1.58435732155357
1996-01, 31, 1.58435732155357
1996-02, 29, 1.42604902898972
1996-03, 25, 1.10943244386203
1996-04, 4, -0.552804628058372
1996-05, 0, -0.869421213186067
1996-06, 0, -0.869421213186067
1996-07, 0, -0.869421213186067
1996-08, 0, -0.869421213186067
1996-09, 0, -0.869421213186067
1996-10, 1, -0.790267066904143
1996-11, 11, 0.00127439591509362
1996-12, 31, 1.58435732155357
1997-01, 31, 1.58435732155357
1997-02, 25, 1.10943244386203
1997-03, 17, 0.476199273606636
1997-04, 12, 0.0804285421970173
1997-05, 0, -0.869421213186067
1997-06, 0, -0.869421213186067
1997-07, 0, -0.869421213186067
1997-08, 0, -0.869421213186067
1997-09, 0, -0.869421213186067
1997-10, 6, -0.394496335494525
1997-11, 18, 0.555353419888559
1997-12, 30, 1.50520317527164
1998-01, 31, 1.58435732155357
1998-02, 24, 1.0302782975801
1998-03, 23, 0.951124151298178
1998-04, 6, -0.394496335494525
1998-05, 0, -0.869421213186067
1998-06, 0, -0.869421213186067
1998-07, 0, -0.869421213186067
1998-08, 0, -0.869421213186067
1998-09, 0, -0.869421213186067
1998-10, 0, -0.869421213186067
1998-11, 22, 0.871970005016254
1998-12, 31, 1.58435732155357
1999-01, 30, 1.50520317527164
1999-02, 28, 1.3468948827078
1999-03, 17, 0.476199273606636
1999-04, 1, -0.790267066904143
1999-05, 0, -0.869421213186067
1999-06, 0, -0.869421213186067
1999-07, 0, -0.869421213186067
1999-08, 0, -0.869421213186067
1999-09, 0, -0.869421213186067
1999-10, 2, -0.71111292062222
1999-11, 22, 0.871970005016254
1999-12, 31, 1.58435732155357
2000-01, 31, 1.58435732155357
2000-02, 29, 1.42604902898972
2000-03, 19, 0.634507566170483
2000-04, 5, -0.473650481776448
2000-05, 0, -0.869421213186067
2000-06, 0, -0.869421213186067
2000-07, 0, -0.869421213186067
2000-08, 0, -0.869421213186067
2000-09, 0, -0.869421213186067
2000-10, 0, -0.869421213186067
2000-11, 16, 0.397045127324712
2000-12, 30, 1.50520317527164
2001-01, 31, 1.58435732155357
2001-02, 28, 1.3468948827078
2001-03, 9, -0.157033896648754
2001-04, 8, -0.236188042930677
2001-05, 0, -0.869421213186067
2001-06, -99.9, -99.9
2001-07, 0, -0.869421213186067
2001-08, 0, -0.869421213186067
2001-09, -99.9, -99.9
2001-10, -99.9, -99.9
2001-11, -99.9, -99.9
2001-12, 31, 1.58435732155357
2002-01, 31, 1.58435732155357
2002-02, 27, 1.26774073642587
2002-03, 14, 0.238736834760865
2002-04, 7, -0.315342189212601
2002-05, 0, -0.869421213186067
2002-06, 0, -0.869421213186067
2002-07, 0, -0.869421213186067
2002-08, 0, -0.869421213186067
2002-09, 0, -0.869421213186067
2002-10, 0, -0.869421213186067
2002-11, 9, -0.157033896648754
2002-12, 30, 1.50520317527164
2003-01, 31, 1.58435732155357
2003-02, 28, 1.3468948827078
2003-03, 23, 0.951124151298178
2003-04, 9, -0.157033896648754
2003-05, 0, -0.869421213186067
2003-06, 0, -0.869421213186067
2003-07, 0, -0.869421213186067
2003-08, 0, -0.869421213186067
2003-09, 0, -0.869421213186067
2003-10, 8, -0.236188042930677
2003-11, 12, 0.0804285421970173
2003-12, 26, 1.18858659014395
2004-01, 31, 1.58435732155357
2004-02, 28, 1.3468948827078
2004-03, 21, 0.79281585873433
2004-04, 4, -0.552804628058372
2004-05, 0, -0.869421213186067
2004-06, 0, -0.869421213186067
2004-07, 0, -0.869421213186067
2004-08, 0, -0.869421213186067
2004-09, 0, -0.869421213186067
2004-10, 0, -0.869421213186067
2004-11, 21, 0.79281585873433
2004-12, 29, 1.42604902898972
2005-01, 31, 1.58435732155357
2005-02, 28, 1.3468948827078
2005-03, 13, 0.159582688478941
2005-04, 5, -0.473650481776448
2005-05, 0, -0.869421213186067
2005-06, 0, -0.869421213186067
2005-07, 0, -0.869421213186067
2005-08, 0, -0.869421213186067
2005-09, 0, -0.869421213186067
2005-10, 0, -0.869421213186067
2005-11, 18, 0.555353419888559
2005-12, 31, 1.58435732155357
2006-01, 31, 1.58435732155357
2006-02, 27, 1.26774073642587
2006-03, 22, 0.871970005016254
2006-04, 2, -0.71111292062222
2006-05, 0, -0.869421213186067
2006-06, 0, -0.869421213186067
2006-07, 0, -0.869421213186067
2006-08, 0, -0.869421213186067
2006-09, 0, -0.869421213186067
2006-10, 0, -0.869421213186067
2006-11, 6, -0.394496335494525
2006-12, 26, 1.18858659014395
2007-01, 30, 1.50520317527164
2007-02, 22, 0.871970005016254
2007-03, 12, 0.0804285421970173
2007-04, 0, -0.869421213186067
2007-05, 0, -0.869421213186067
2007-06, 0, -0.869421213186067
2007-07, 0, -0.869421213186067
2007-08, 0, -0.869421213186067
2007-09, 0, -0.869421213186067
2007-10, 1, -0.790267066904143
2007-11, 19, 0.634507566170483
2007-12, 30, 1.50520317527164
2008-01, 30, 1.50520317527164
2008-02, 29, 1.42604902898972
2008-03, 16, 0.397045127324712
2008-04, 0, -0.869421213186067
2008-05, 0, -0.869421213186067
2008-06, 0, -0.869421213186067
2008-07, 0, -0.869421213186067
2008-08, 0, -0.869421213186067
2008-09, 0, -0.869421213186067
2008-10, 0, -0.869421213186067
2008-11, 11, 0.00127439591509362
2008-12, 28, 1.3468948827078
2009-01, 31, 1.58435732155357
2009-02, 24, 1.0302782975801
2009-03, 15, 0.317890981042788
2009-04, 0, -0.869421213186067
2009-05, 0, -0.869421213186067
2009-06, 0, -0.869421213186067
2009-07, 0, -0.869421213186067
2009-08, 0, -0.869421213186067
2009-09, 0, -0.869421213186067
2009-10, 3, -0.631958774340296
2009-11, 13, 0.159582688478941
2009-12, 27, 1.26774073642587
2010-01, 31, 1.58435732155357
2010-02, 26, 1.18858659014395
2010-03, 16, 0.397045127324712
2010-04, 2, -0.71111292062222
2010-05, 0, -0.869421213186067
2010-06, 0, -0.869421213186067
2010-07, 0, -0.869421213186067
2010-08, 0, -0.869421213186067
2010-09, 0, -0.869421213186067
2010-10, 2, -0.71111292062222
2010-11, 10, -0.0778797503668301
2010-12, 31, 1.58435732155357
2011-01, 31, 1.58435732155357
2011-02, 27, 1.26774073642587
2011-03, 18, 0.555353419888559
2011-04, 0, -0.869421213186067
2011-05, 0, -0.869421213186067
2011-06, 0, -0.869421213186067
2011-07, 0, -0.869421213186067
2011-08, 0, -0.869421213186067
2011-09, 0, -0.869421213186067
2011-10, 3, -0.631958774340296
2011-11, 18, 0.555353419888559
2011-12, 29, 1.42604902898972
2012-01, 31, 1.58435732155357
2012-02, 27, 1.26774073642587
2012-03, 8, -0.236188042930677
2012-04, 3, -0.631958774340296
2012-05, 0, -0.869421213186067
2012-06, 0, -0.869421213186067
2012-07, 0, -0.869421213186067
