"Description: ","Heatwave definitions and aspects"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, HWM, HWA, HWN, HWD, HWF
1971, NA, NA, 0, NA, 0
1972, NA, NA, 0, NA, 0
1973, 22.6208333333333, 31, 2, 4, 7
1974, NA, NA, 0, NA, 0
1975, 18.5458333333333, 21.1, 2, 4, 7
1976, NA, NA, 0, NA, 0
1977, NA, NA, 0, NA, 0
1978, NA, NA, 0, NA, 0
1979, NA, NA, 0, NA, 0
1980, NA, NA, 0, NA, 0
1981, 18.5, 20, 1, 4, 4
1982, NA, NA, 0, NA, 0
1983, NA, NA, 0, NA, 0
1984, NA, NA, 0, NA, 0
1985, NA, NA, 0, NA, 0
1986, 17.3333333333333, 18.5, 2, 3, 6
1987, NA, NA, 0, NA, 0
1988, NA, NA, 0, NA, 0
1989, NA, NA, 0, NA, 0
1990, NA, NA, 0, NA, 0
1991, NA, NA, 0, NA, 0
1992, NA, NA, 0, NA, 0
1993, NA, NA, 0, NA, 0
1994, NA, NA, 0, NA, 0
1995, NA, NA, 0, NA, 0
1996, NA, NA, 0, NA, 0
1997, 20.12, 20.5, 1, 5, 5
1998, NA, NA, 0, NA, 0
1999, NA, NA, 0, NA, 0
2000, NA, NA, 0, NA, 0
2001, NA, NA, 0, NA, 0
2002, NA, NA, 0, NA, 0
2003, 21.8416666666667, 23.4, 3, 8, 14
2004, NA, NA, 0, NA, 0
2005, 20.50625, 24.8, 4, 7, 18
2006, 21.31, 24.3, 4, 7, 23
2007, 20.7841964285714, 25.2, 4, 8, 24
2008, 22.2764444444444, 24.1, 5, 9, 24
2009, 21.5071428571429, 24.8, 7, 9, 36
2010, 20.8826666666667, 24.7, 5, 6, 22
2011, 21.2765584415584, 25.4, 5, 11, 35
2012, 21.6830833333333, 25.3, 10, 8, 48
2013, 19.9713333333333, 25.2, 5, 7, 25
2014, 21.3333333333333, 21.9, 1, 3, 3
2015, 20.13625, 25.6, 9, 16, 57
2016, 20.9315476190476, 24.9, 4, 7, 18
2017, 21.6324702380952, 26.3, 8, 7, 41
2018, 19.98125, 25.4, 8, 14, 49
