"Description: ","Monthly percentage of days when TN > 90th percentile"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tn90p, normalised (all years)
1971-01, 9.67741935483871, -0.0511231435542542
1971-02, 3.57142857142857, -0.48785414131119
1971-03, 3.15717227179135, -0.517483823615856
1971-04, 3.33333333333333, -0.504883903487876
1971-05, 0, -0.743300573961473
1971-06, 0, -0.743300573961473
1971-07, 3.2258064516129, -0.512574763825734
1971-08, 9.67741935483871, -0.0511231435542542
1971-09, 0, -0.743300573961473
1971-10, 0, -0.743300573961473
1971-11, 10, -0.0280505625406802
1971-12, 5.21619766643789, -0.370212029912192
1972-01, 12.5600549073439, 0.155057367630878
1972-02, 40.5722670579604, 2.15863087369589
1972-03, 12.9032258064516, 0.179602666581484
1972-04, 3.33333333333333, -0.504883903487876
1972-05, 0, -0.743300573961473
1972-06, 0, -0.743300573961473
1972-07, 0, -0.743300573961473
1972-08, 0, -0.743300573961473
1972-09, 0, -0.743300573961473
1972-10, 0, -0.743300573961473
1972-11, 0, -0.743300573961473
1972-12, 22.5806451612903, 0.871780096988703
1973-01, 19.3548387096774, 0.641054286852963
1973-02, 0, -0.743300573961473
1973-03, 0, -0.743300573961473
1973-04, 0, -0.743300573961473
1973-05, 0, -0.743300573961473
1973-06, 6.66666666666667, -0.266467233014278
1973-07, 12.7659574468085, 0.16978454700124
1973-08, 0, -0.743300573961473
1973-09, 22.6950354609929, 0.879961863305574
1973-10, 6.45161290322581, -0.281848953689994
1973-11, 0, -0.743300573961473
1973-12, 6.45161290322581, -0.281848953689994
1974-01, 3.0885380919698, -0.522392883405978
1974-02, 9.87841945288754, -0.0367466113117536
1974-03, 12.5600549073439, 0.155057367630878
1974-04, 0, -0.743300573961473
1974-05, 5.69663692518874, -0.335848611381337
1974-06, 3.33333333333333, -0.504883903487876
1974-07, 6.45161290322581, -0.281848953689994
1974-08, 6.45161290322581, -0.281848953689994
1974-09, 6.24113475177305, -0.296903403713035
1974-10, 0, -0.743300573961473
1974-11, 0, -0.743300573961473
1974-12, 0, -0.743300573961473
1975-01, 9.60878517501716, -0.0560322033443763
1975-02, 0, -0.743300573961473
1975-03, 6.45161290322581, -0.281848953689994
1975-04, 3.33333333333333, -0.504883903487876
1975-05, 15.7858613589568, 0.385783177766617
1975-06, 0, -0.743300573961473
1975-07, 5.97117364447495, -0.316212372220848
1975-08, 6.45161290322581, -0.281848953689994
1975-09, 28.8652482269504, 1.32128633843756
1975-10, 6.45161290322581, -0.281848953689994
1975-11, 0, -0.743300573961473
1975-12, 0, -0.743300573961473
1976-01, 12.7659574468085, 0.16978454700124
1976-02, 34.1892883345561, 1.70208831321453
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 0, -0.743300573961473
1976-07, 0, -0.743300573961473
1976-08, 0, -0.743300573961473
1976-09, 3.33333333333333, -0.504883903487876
1976-10, 9.67741935483871, -0.0511231435542542
1976-11, 3.33333333333333, -0.504883903487876
1976-12, 9.67741935483871, -0.0511231435542542
1977-01, 25.8064516129032, 1.10250590712444
1977-02, 24.1641337386018, 0.985039119289377
1977-03, 16.1290322580645, 0.410328476717224
1977-04, 0, -0.743300573961473
1977-05, 6.45161290322581, -0.281848953689994
1977-06, 0, -0.743300573961473
1977-07, 0, -0.743300573961473
1977-08, 0, -0.743300573961473
1977-09, 0, -0.743300573961473
1977-10, 8.71654083733699, -0.119849980615964
1977-11, 0, -0.743300573961473
1977-12, 0, -0.743300573961473
1978-01, 18.7371310912835, 0.596872748741869
1978-02, 3.57142857142857, -0.48785414131119
1978-03, -99.9, -99.9
1978-04, 3.33333333333333, -0.504883903487876
1978-05, 0, -0.743300573961473
1978-06, 3.19148936170213, -0.515029293720794
1978-07, 0, -0.743300573961473
1978-08, 0, -0.743300573961473
1978-09, 0, -0.743300573961473
1978-10, 3.2258064516129, -0.512574763825734
1978-11, 0, -0.743300573961473
1978-12, 3.2258064516129, -0.512574763825734
1979-01, 5.83390528483185, -0.326030491801093
1979-02, 31.6869300911854, 1.52310713699955
1979-03, 15.2367879203844, 0.346510699445641
1979-04, 0, -0.743300573961473
1979-05, 0, -0.743300573961473
1979-06, 0, -0.743300573961473
1979-07, 0, -0.743300573961473
1979-08, 0, -0.743300573961473
1979-09, 3.26241134751773, -0.509956598604335
1979-10, 17.6389842141386, 0.518327792099909
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, 5.55936856554564, -0.345666730961581
1980-02, 2.56786500366838, -0.559634026641387
1980-03, 3.2258064516129, -0.512574763825734
1980-04, 0, -0.743300573961473
1980-05, 0, -0.743300573961473
1980-06, 0, -0.743300573961473
1980-07, 0, -0.743300573961473
1980-08, 3.2258064516129, -0.512574763825734
1980-09, 6.66666666666667, -0.266467233014278
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, 3.2258064516129, -0.512574763825734
1981-01, 0, -0.743300573961473
1981-02, 2.73556231003039, -0.54763947661232
1981-03, 14.824982841455, 0.317056340704902
1981-04, 10, -0.0280505625406802
1981-05, 0, -0.743300573961473
1981-06, -99.9, -99.9
1981-07, 0, -0.743300573961473
1981-08, 0, -0.743300573961473
1981-09, 16.6666666666667, 0.448782778406517
1981-10, 0, -0.743300573961473
1981-11, -99.9, -99.9
1981-12, 0, -0.743300573961473
1982-01, 0, -0.743300573961473
1982-02, 0, -0.743300573961473
1982-03, 0, -0.743300573961473
1982-04, 0, -0.743300573961473
1982-05, 0, -0.743300573961473
1982-06, 0, -0.743300573961473
1982-07, 0, -0.743300573961473
1982-08, 0, -0.743300573961473
1982-09, 3.33333333333333, -0.504883903487876
1982-10, 3.2258064516129, -0.512574763825734
1982-11, 10, -0.0280505625406802
1982-12, 6.45161290322581, -0.281848953689994
1983-01, 0, -0.743300573961473
1983-02, 0, -0.743300573961473
1983-03, 3.2258064516129, -0.512574763825734
1983-04, 3.33333333333333, -0.504883903487876
1983-05, 0, -0.743300573961473
1983-06, 0, -0.743300573961473
1983-07, 6.45161290322581, -0.281848953689994
1983-08, 3.2258064516129, -0.512574763825734
1983-09, 0, -0.743300573961473
1983-10, 0, -0.743300573961473
1983-11, 0, -0.743300573961473
1983-12, 3.15717227179135, -0.517483823615856
1984-01, 0, -0.743300573961473
1984-02, 0, -0.743300573961473
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 0, -0.743300573961473
1984-06, 0, -0.743300573961473
1984-07, 3.2258064516129, -0.512574763825734
1984-08, 0, -0.743300573961473
1984-09, 0, -0.743300573961473
1984-10, 6.45161290322581, -0.281848953689994
1984-11, 0, -0.743300573961473
1984-12, 34.6602608098833, 1.7357746200502
1985-01, 0, -0.743300573961473
1985-02, 0, -0.743300573961473
1985-03, 16.1290322580645, 0.410328476717224
1985-04, 3.33333333333333, -0.504883903487876
1985-05, 5.62800274536719, -0.340757671171459
1985-06, 5.88652482269504, -0.322266879295332
1985-07, 6.45161290322581, -0.281848953689994
1985-08, 0, -0.743300573961473
1985-09, 3.33333333333333, -0.504883903487876
1985-10, 3.2258064516129, -0.512574763825734
1985-11, 0, -0.743300573961473
1985-12, 21.5511324639671, 0.798144200136876
1986-01, 9.54015099519561, -0.0609412631344982
1986-02, 3.57142857142857, -0.48785414131119
1986-03, 0, -0.743300573961473
1986-04, 10, -0.0280505625406802
1986-05, 22.3747426218257, 0.85705291761834
1986-06, 0, -0.743300573961473
1986-07, 0, -0.743300573961473
1986-08, 3.2258064516129, -0.512574763825734
1986-09, 3.33333333333333, -0.504883903487876
