"Description: ","Annual number of days when TN < 2 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tnlt2, normalised (all years)
1971, 89, 0.34416806318023
1972, 38, -1.44157739614945
1973, 124, 1.56967965291628
1974, 93, 0.484226530578636
1975, 80, 0.0290365115338159
1976, -99.9, -99.9
1977, 61, -0.636241208608614
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 92, 0.449211913729035
1983, 112, 1.14950425072107
1984, -99.9, -99.9
1985, 78, -0.0409927221653872
1986, 104, 0.869387315924253
1987, 110, 1.07947501702186
1988, 108, 1.00944578332266
1989, 103, 0.834372699074652
1990, 110, 1.07947501702186
1991, 113, 1.18451886757067
1992, 104, 0.869387315924253
1993, 131, 1.8147819708635
1994, 74, -0.181051189563793
1995, 99, 0.694314231676245
1996, 87, 0.274138829481027
1997, 96, 0.589270381127441
1998, 107, 0.974431166473058
1999, 95, 0.554255764277839
2000, 81, 0.0640511283834174
2001, -99.9, -99.9
2002, 60, -0.671255825458215
2003, 86, 0.239124212631425
2004, 93, 0.484226530578636
2005, 88, 0.309153446330628
2006, 64, -0.531197358059809
2007, 30, -1.72169433094626
2008, 40, -1.37154816245025
2009, 48, -1.09143122765343
2010, 72, -0.251080423262997
2011, 63, -0.566211974909411
2012, 74, -0.181051189563793
2013, 62, -0.601226591759012
2014, 11, -2.38697205108869
2015, 40, -1.37154816245025
2016, 36, -1.51160662984865
2017, 50, -1.02140199395423
2018, 40, -1.37154816245025
