"Description: ","Monthly number of days when TN < 2 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tnlt2, normalised (all years)
1971-01, 20, 1.41134269423933
1971-02, 19, 1.30579356112314
1971-03, 17, 1.09469529489076
1971-04, 0, -0.699639968084453
1971-05, 0, -0.699639968084453
1971-06, 0, -0.699639968084453
1971-07, 0, -0.699639968084453
1971-08, 0, -0.699639968084453
1971-09, 0, -0.699639968084453
1971-10, 1, -0.594090834968264
1971-11, 11, 0.461400496193626
1971-12, 21, 1.51689182735552
1972-01, 13, 0.672498762426004
1972-02, 3, -0.382992568735886
1972-03, 2, -0.488541701852075
1972-04, 0, -0.699639968084453
1972-05, 0, -0.699639968084453
1972-06, 0, -0.699639968084453
1972-07, 0, -0.699639968084453
1972-08, 0, -0.699639968084453
1972-09, 0, -0.699639968084453
1972-10, 1, -0.594090834968264
1972-11, 5, -0.171894302503508
1972-12, 14, 0.778047895542193
1973-01, 20, 1.41134269423933
1973-02, 24, 1.83353922670408
1973-03, 20, 1.41134269423933
1973-04, 8, 0.144753096845059
1973-05, 0, -0.699639968084453
1973-06, 1, -0.594090834968264
1973-07, 0, -0.699639968084453
1973-08, 0, -0.699639968084453
1973-09, 0, -0.699639968084453
1973-10, 6, -0.0663451693873189
1973-11, 18, 1.20024442800695
1973-12, 27, 2.15018662605265
1974-01, 24, 1.83353922670408
1974-02, 9, 0.250302229961248
1974-03, 13, 0.672498762426004
1974-04, 1, -0.594090834968264
1974-05, 0, -0.699639968084453
1974-06, 0, -0.699639968084453
1974-07, 0, -0.699639968084453
1974-08, 0, -0.699639968084453
1974-09, 0, -0.699639968084453
1974-10, 8, 0.144753096845059
1974-11, 8, 0.144753096845059
1974-12, 30, 2.46683402540122
1975-01, 23, 1.72799009358789
1975-02, 19, 1.30579356112314
1975-03, 9, 0.250302229961248
1975-04, 1, -0.594090834968264
1975-05, 0, -0.699639968084453
1975-06, 0, -0.699639968084453
1975-07, 0, -0.699639968084453
1975-08, 0, -0.699639968084453
1975-09, 0, -0.699639968084453
1975-10, 0, -0.699639968084453
1975-11, 7, 0.0392039637288702
1975-12, 21, 1.51689182735552
1976-01, 20, 1.41134269423933
1976-02, 3, -0.382992568735886
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 0, -0.699639968084453
1976-07, 0, -0.699639968084453
1976-08, 0, -0.699639968084453
1976-09, 0, -0.699639968084453
1976-10, 0, -0.699639968084453
1976-11, 6, -0.0663451693873189
1976-12, 16, 0.989146161774571
1977-01, 13, 0.672498762426004
1977-02, 5, -0.171894302503508
1977-03, 6, -0.0663451693873189
1977-04, 3, -0.382992568735886
1977-05, 0, -0.699639968084453
1977-06, 0, -0.699639968084453
1977-07, 0, -0.699639968084453
