"Description: ","Monthly mean daily minimum temperature"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tnm, normalised (all years)
1971-01, -0.22258064516129, -1.30825310591175
1971-02, 0.496428571428571, -1.20355364276255
1971-03, 1.47741935483871, -1.06070539268797
1971-04, 8.04666666666667, -0.104115892897094
1971-05, 11.4129032258065, 0.386063026153116
1971-06, 13.8166666666667, 0.736090169044806
1971-07, 17.4677419354839, 1.26774624763516
1971-08, 19.0483870967742, 1.4979139506326
1971-09, 12.85, 0.595327743878337
1971-10, 7.55806451612903, -0.175264331156985
1971-11, 4.07, -0.683183386771549
1971-12, 0.27741935483871, -1.23544495496358
1972-01, 2.29354838709677, -0.94186370114031
1972-02, 4.64827586206897, -0.598976994261146
1972-03, 5.96451612903226, -0.407310954178897
1972-04, 8.66333333333333, -0.0143191733943502
1972-05, 6.9741935483871, -0.260285462264203
1972-06, 11.2933333333333, 0.368651700593025
1972-07, 12.5645161290323, 0.553756638336968
1972-08, 16.8516129032258, 1.17802781646676
1972-09, 12.6933333333333, 0.572514523247905
1972-10, 8.83870967741935, 0.0112184812715565
1972-11, 5.11666666666667, -0.530771657453377
1972-12, 3.06129032258064, -0.830067959684408
1973-01, 1.16129032258065, -1.10673893328746
1973-02, -0.271428571428571, -1.3153661602901
1973-03, 0.564516129032258, -1.19363898441915
1973-04, 4, -0.693376527904293
1973-05, 11.5806451612903, 0.410488986471202
1973-06, 16.04, 1.05984374692767
1973-07, 19.0967741935484, 1.50495990072436
1973-08, 18.2645161290323, 1.38376955914612
1973-09, 16.1533333333333, 1.07634692780925
1973-10, 9.5258064516129, 0.111270972574527
1973-11, 1.41666666666667, -1.06955197446984
1973-12, -2.91935483870968, -1.70094739102576
1974-01, 0.480645161290323, -1.20585196457819
1974-02, 3.17857142857143, -0.812989918747716
1974-03, 3.76129032258065, -0.728136548356967
1974-04, 6.58666666666667, -0.316715693665754
1974-05, 11.4290322580645, 0.388411676183693
1974-06, 14.98, 0.905490466917546
1974-07, 19.0129032258065, 1.49274692056532
1974-08, 19.5806451612903, 1.57541940164194
1974-09, 14.9633333333333, 0.903063528552602
1974-10, 5.09354838709677, -0.534138055830551
1974-11, 3.9, -0.707938158093927
1974-12, -2.54838709677419, -1.64692844032228
1975-01, -1.03548387096774, -1.42662506745329
1975-02, -0.4, -1.3340882562482
1975-03, 3.70322580645161, -0.736591688467079
1975-04, 6.41, -0.342441240334108
1975-05, 12.3935483870968, 0.528860948012752
1975-06, 14.9933333333333, 0.907432017609492
1975-07, 18.6096774193548, 1.43403066980065
1975-08, 18.6, 1.4326214797823
1975-09, 16.9666666666667, 1.19478152001828
1975-10, 8.60322580645161, -0.0230718091750014
1975-11, 4.37666666666667, -0.63852772085667
1975-12, -0.938709677419355, -1.41253316726978
1976-01, 1.41935483870968, -1.06916053279808
1976-02, 3.96551724137931, -0.698397779693822
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 13.3666666666667, 0.670562833191451
1976-07, 16.9032258064516, 1.18554349656464
1976-08, 14.1935483870968, 0.790970291426168
1976-09, 11.5333333333333, 0.403599613048148
1976-10, 10.4193548387097, 0.241386184269005
1976-11, 5.9, -0.416705554301242
1976-12, 1.38709677419355, -1.07385783285925
1977-01, 1.46666666666667, -1.06227115937503
1977-02, 4, -0.693376527904293
1977-03, 5.74193548387097, -0.439722324600986
1977-04, 5.33333333333333, -0.49922145870917
1977-05, 10.8387096774194, 0.302451085064248
1977-06, 13.6333333333333, 0.709393847030467
1977-07, 16.4193548387097, 1.11508399564706
1977-08, 15.6774193548387, 1.00704609424009
1977-09, 10.9, 0.311375955180469
1977-10, 11, 0.325937585370103
1977-11, 4.88333333333333, -0.564748794562524
1977-12, -0.67741935483871, -1.37448503677428
1978-01, 0.612903225806452, -1.18659303432739
1978-02, 1.21428571428571, -1.09902194032982
1978-03, -99.9, -99.9
1978-04, 7.7, -0.154596210887826
1978-05, 11.3870967741935, 0.382305186104164
1978-06, 13.6666666666667, 0.714247723760354
1978-07, 15.2666666666667, 0.947233806794502
1978-08, 15.1666666666667, 0.932672176604868
1978-09, 12.7333333333333, 0.578339175323759
1978-10, 8.61290322580645, -0.0216626191566494
1978-11, 0.733333333333333, -1.16905644743234
1978-12, 0.321428571428571, -1.22903649559441
1979-01, -3.38333333333333, -1.76851022357229
1979-02, 3.28571428571429, -0.797388172115965
1979-03, 4.63333333333333, -0.60115287003661
1979-04, 5.61666666666667, -0.457963506505206
1979-05, 9.83333333333333, 0.15605189982437
1979-06, 15.8, 1.02489583447255
1979-07, 16.4689655172414, 1.12230811918941
1979-08, 15.8709677419355, 1.03522989460713
1979-09, 13.2666666666667, 0.656001203001817
1979-10, 10.4285714285714, 0.242728270000761
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, -0.790322580645161, -1.39092558698838
1980-02, 1, -1.13022543359332
1980-03, 4.70967741935484, -0.590035926558501
1980-04, 5.7, -0.445828814680511
1980-05, 11.0645161290323, 0.335332185492454
1980-06, 14.5666666666667, 0.845302395467062
1980-07, 15.7166666666667, 1.01276114264786
1980-08, 17.9838709677419, 1.34290304861391
1980-09, 14.3666666666667, 0.816179135087794
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, -0.629032258064516, -1.36743908668252
1981-01, -2.82258064516129, -1.68685549084224
1981-02, -0.357142857142857, -1.3278475575955
1981-03, 5.66129032258065, -0.451465574753917
1981-04, 8, -0.110911320318924
1981-05, 11.0333333333333, 0.330791462099977
1981-06, -99.9, -99.9
1981-07, 15.7741935483871, 1.02113799442361
1981-08, 16.3870967741935, 1.11038669558588
1981-09, 15.2, 0.937526053334741
1981-10, 10.4741935483871, 0.249371594372995
1981-11, -99.9, -99.9
1981-12, -0.580645161290323, -1.36039313659076
1982-01, -0.935483870967742, -1.41206343726366
1982-02, -1.94642857142857, -1.55927346596647
1982-03, 1.58064516129032, -1.04567403249222
1982-04, 5.12333333333333, -0.529800882107402
1982-05, 10.0322580645161, 0.185018583534929
1982-06, 15.0166666666667, 0.910829731320416
1982-07, 18.2258064516129, 1.37813279907271
1982-08, 16.5806451612903, 1.13857049595291
1982-09, 15.2068965517241, 0.938530303692641
1982-10, 9.74193548387097, 0.142742882984383
1982-11, 4.96666666666667, -0.552614102737828
1982-12, 1.53225806451613, -1.05271998258398
1983-01, -2.48387096774194, -1.63753384019993
1983-02, -2.03571428571429, -1.57227492149293
1983-03, 3.06451612903226, -0.82959822967829
1983-04, 7.6, -0.169157841077461
1983-05, 10.8870967741935, 0.309497035155993
1983-06, 13.7, 0.719101600490227
1983-07, 18.4516129032258, 1.41101389950091
1983-08, 16.3709677419355, 1.1080380455553
1983-09, 13.55, 0.697259155205776
1983-10, 7.80645161290323, -0.139095120685957
1983-11, 1.25, -1.09382135811923
1983-12, -1.06451612903226, -1.43085263750835
1984-01, -1.83870967741935, -1.54358783897648
1984-02, -0.724137931034483, -1.38128802306977
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 10.3225806451613, 0.227294284085486
1984-06, 14.15, 0.784628936343582
1984-07, 16.4516129032258, 1.11978129570823
1984-08, 16.0967741935484, 1.06811099503533
1984-09, 14.0833333333333, 0.774921182883821
1984-10, 10.9516129032258, 0.318891635278344
1984-11, 5.93333333333333, -0.411851677571365
1984-12, 2.88709677419355, -0.855433380014738
1985-01, -5.54838709677419, -2.0837773460113
1985-02, -0.767857142857143, -1.38765425301721
1985-03, 4.70967741935484, -0.590035926558501
1985-04, 7.08333333333333, -0.244392930390571
1985-05, 12.3387096774194, 0.520875537908762
1985-06, 15.25, 0.944806868429558
1985-07, 18.5161290322581, 1.42040849962326
1985-08, 16.0387096774194, 1.05965585492523
1985-09, 14.0833333333333, 0.774921182883821
1985-10, 9.75806451612903, 0.145091533014968
1985-11, 4.91666666666667, -0.559894917832645
1985-12, 2.70967741935484, -0.881268530351186
1986-01, 0.145161290322581, -1.25470388521439
1986-02, 0.375, -1.22123562227853
1986-03, 3.43548387096774, -0.775579278974809
1986-04, 9.33333333333333, 0.0832437488761991
1986-05, 14.0967741935484, 0.776878391242649
1986-06, 14.9666666666667, 0.903548916225599
1986-07, 17.5322580645161, 1.2771408477575
1986-08, 17.9193548387097, 1.33350844849157
1986-09, 13.4833333333333, 0.687551401746015
1986-10, 9.25806451612903, 0.0722833820667971
1986-11, 1.81666666666667, -1.01130545371131
1986-12, -5.29032258064516, -2.04619894552192
1987-01, -5.90322580645161, -2.1354476466842
1987-02, -2.55357142857143, -1.64768336354639
1987-03, -3.75806451612903, -1.82307719261624
1987-04, 3.4, -0.780746309042098
1987-05, 5.90322580645161, -0.416235824295126
1987-06, 11.5, 0.398745736318274
1987-07, 15.8709677419355, 1.03522989460713
1987-08, 15.6612903225806, 1.0046974442095
1987-09, 15.2833333333333, 0.949660745159431
1987-10, 11, 0.325937585370103
1987-11, 5.13333333333333, -0.528344719088439
1987-12, 1.45161290322581, -1.06446323273691
1988-01, 1.58387096774194, -1.0452043024861
1988-02, -0.931034482758621, -1.41141553380695
1988-03, 0.662068965517241, -1.1794337011307
1988-04, 6.15, -0.380301478827157
1988-05, 10.6967741935484, 0.281782964795085
1988-06, 12.95, 0.609889374067971
1988-07, 16.2290322580645, 1.08736992528614
1988-08, 15.9516129032258, 1.04697314476006
1988-09, 11.5033333333333, 0.399231123991257
1988-10, 10.6225806451613, 0.270979174654388
1988-11, -0.08, -1.28749103964137
1988-12, -1.68, -1.52047712267552
1989-01, -3.41290322580645, -1.77281608196169
1989-02, -0.107142857142857, -1.29144348212141
1989-03, 3.03666666666667, -0.833653565397769
1989-04, 6.51333333333333, -0.327394222471486
1989-05, 9.61290322580645, 0.123953682739693
1989-06, 12.5333333333333, 0.54921591494449
1989-07, 16.8612903225806, 1.17943700648511
1989-08, 16.3354838709677, 1.102871015488
1989-09, 13.2366666666667, 0.651632713944927
1989-10, 6.61612903225806, -0.312425492943217
1989-11, 3.12666666666667, -0.820548098227098
1989-12, -0.348387096774194, -1.32657257615032
1990-01, -3.40322580645161, -1.77140689194334
1990-02, 0.785714285714286, -1.16142892685682
1990-03, 1.65, -1.0355748373607
1990-04, 5.38, -0.49242603128734
1990-05, 9.26129032258065, 0.0727531120729155
1990-06, 12.0266666666667, 0.475436988650353
1990-07, 15.2806451612903, 0.949269303487669
1990-08, 14.7645161290323, 0.874112502508921
1990-09, 12.0433333333333, 0.477863927015282
1990-10, 11.3548387096774, 0.377607886042996
1990-11, 3.43666666666667, -0.775407044639232
1990-12, -1.98064516129032, -1.56425595924564
1991-01, -1.87096774193548, -1.54828513903766
1991-02, -5.48214285714286, -2.07413110481425
1991-03, 5.01666666666667, -0.545333287643011
1991-04, 3.49333333333333, -0.76715545419844
1991-05, 6.90645161290323, -0.270149792392665
1991-06, 11.8766666666667, 0.453594543365902
1991-07, 15.8322580645161, 1.02959313453371
1991-08, 16.5645161290323, 1.13622184592234
1991-09, 13.6866666666667, 0.717160049798281
1991-10, 7.95483870967742, -0.117487540404565
1991-11, 2.28333333333333, -0.943351179493014
1991-12, -3.15483870967742, -1.73523768147232
1992-01, -0.406451612903226, -1.33502771626043
1992-02, -1.09655172413793, -1.43551754239669
1992-03, 2.06129032258064, -0.975684261580751
1992-04, 6.36333333333333, -0.349236667755938
1992-05, 10.0032258064516, 0.180791013479876
1992-06, 13.2433333333333, 0.652603489290893
1992-07, 16.4, 1.11226561561035
1992-08, 18.1612903225806, 1.36873819895035
1992-09, 11.7133333333333, 0.429810547389489
1992-10, 9.27741935483871, 0.0751017621035008
1992-11, 3.13333333333333, -0.819577322881123
1992-12, -0.119354838709677, -1.293221745716
1993-01, -2.73870967741935, -1.67464251068319
1993-02, -5.01785714285714, -2.00652353607666
