"Description: ","Annual coldest daily TN"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tnn, normalised (all years)
1971, -9.1, -0.0859238444446412
1972, -1.9, 0.9934258951323
1973, -22, -2.01975879451999
1974, -6.4, 0.318832307896712
1975, -7.1, 0.213895527660065
1976, -99.9, -99.9
1977, -5, 0.528705868370006
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, -6, 0.378796182317653
1983, -7, 0.2288864962653
1984, -99.9, -99.9
1985, -20, -1.71993942241529
1986, -11.5, -0.445707090970288
1987, -13.5, -0.745526463074994
1988, -8.8, -0.0409509386289355
1989, -7.6, 0.138940684633888
1990, -9.7, -0.175869656076053
1991, -17.7, -1.37514714449488
1992, -7.3, 0.183913590449594
1993, -30, -3.21903628293882
1994, -5.7, 0.423769088133359
1995, -6.6, 0.288850370686241
1996, -11.4, -0.430716122365053
1997, -4.7, 0.573678774185712
1998, -30, -3.21903628293882
1999, -5.9, 0.393787150922888
2000, -7.7, 0.123949716028653
2001, -99.9, -99.9
2002, -8.8, -0.0409509386289355
2003, -6.5, 0.303841339291476
2004, -5.2, 0.498723931159535
2005, -5.7, 0.423769088133359
2006, -5.9, 0.393787150922888
2007, -4, 0.678615554422359
2008, -2.5, 0.903480083500888
2009, -9.6, -0.160878687470818
2010, -5.9, 0.393787150922888
2011, -2.7, 0.873498146290417
2012, -9.8, -0.190860624681288
2013, -1.8, 1.00841686373754
2014, -1.8, 1.00841686373754
2015, -2.7, 0.873498146290417
2016, -2.7, 0.873498146290417
2017, -4.3, 0.633642648606653
2018, -7.1, 0.213895527660065
