"Description: ","Monthly coldest daily TN"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tnn, normalised (all years)
1971-01, -9.1, -1.61184152193055
1971-02, -2.9, -0.796290113573966
1971-03, -5.8, -1.17775770780527
1971-04, 4, 0.111339679597068
1971-05, 8, 0.637501878536798
1971-06, 8.5, 0.703272153404264
1971-07, 11.6, 1.11104785758255
1971-08, 15.8, 1.66351816646927
1971-09, 7.8, 0.611193768589811
1971-10, 0.6, -0.335898189501703
1971-11, -2.3, -0.717365783733007
1971-12, -5, -1.07252526801732
1972-01, -1, -0.546363069077594
1972-02, 0, -0.414822519342662
1972-03, 1.2, -0.256973859660743
1972-04, 4, 0.111339679597068
1972-05, 3.2, 0.0061072398091219
1972-06, 6.4, 0.427036998960906
1972-07, 8.4, 0.690118098430771
1972-08, 14, 1.42674517694639
1972-09, 6.3, 0.413882943987412
1972-10, 1.1, -0.270127914634236
1972-11, -1.9, -0.664749563839034
1972-12, -1.8, -0.65159550886554
1973-01, -2.3, -0.717365783733007
1973-02, -4.6, -1.01990904812335
1973-03, -22, -3.30871461351118
1973-04, -1.9, -0.664749563839034
1973-05, 6, 0.374420779066933
1973-06, 1.9, -0.16489547484629
1973-07, 12.8, 1.26889651726447
1973-08, 15.2, 1.58459383662831
1973-09, 9.7, 0.861120813086183
1973-10, -0.6, -0.493746849183621
1973-11, -5.3, -1.1119874329378
1973-12, -9.6, -1.67761179679801
1974-01, -3.2, -0.835752278494446
1974-02, -2, -0.677903618812527
1974-03, -2.3, -0.717365783733007
1974-04, 1, -0.28328196960773
1974-05, 7.4, 0.558577548695838
1974-06, 8.4, 0.690118098430771
1974-07, 14.3, 1.46620734186687
1974-08, 14.9, 1.54513167170783
1974-09, 6.8, 0.479653218854879
1974-10, -0.8, -0.520054959130608
1974-11, -0.8, -0.520054959130608
1974-12, -6.4, -1.25668203764623
1975-01, -7.1, -1.34876042246068
1975-02, -5.3, -1.1119874329378
1975-03, -3, -0.809444168547459
1975-04, 1.6, -0.20435763976677
1975-05, 6.7, 0.466499163881386
1975-06, 7.6, 0.584885658642825
1975-07, 13.3, 1.33466679213194
1975-08, 15, 1.55828572668133
1975-09, 12.9, 1.28205057223797
1975-10, 3, -0.0202008701378646
1975-11, -5.7, -1.16460365283178
1975-12, -6.6, -1.28299014759322
1976-01, -3, -0.809444168547459
1976-02, -4, -0.940984718282392
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 6, 0.374420779066933
1976-07, 13, 1.29520462721146
1976-08, 10, 0.900582978006663
1976-09, 8, 0.637501878536798
1976-10, 3, -0.0202008701378646
1976-11, -1, -0.546363069077594
1976-12, -6, -1.20406581775226
1977-01, -5, -1.07252526801732
1977-02, -2, -0.677903618812527
1977-03, -1, -0.546363069077594
1977-04, 1, -0.28328196960773
1977-05, 6, 0.374420779066933
1977-06, 6, 0.374420779066933
1977-07, 13, 1.29520462721146
1977-08, 12, 1.16366407747653
1977-09, 3, -0.0202008701378646
1977-10, 4, 0.111339679597068
1977-11, -3, -0.809444168547459
1977-12, -5, -1.07252526801732
1978-01, -6, -1.20406581775226
1978-02, -2, -0.677903618812527
1978-03, -99.9, -99.9
1978-04, 2, -0.151741419872797
1978-05, 7, 0.505961328801865
1978-06, 10, 0.900582978006663
1978-07, 10, 0.900582978006663
1978-08, 10, 0.900582978006663
1978-09, 7, 0.505961328801865
1978-10, 1, -0.28328196960773
1978-11, -4, -0.940984718282392
1978-12, -5, -1.07252526801732
