"Description: ","Annual warmest daily TN"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tnx, normalised (all years)
1971, 23, -0.182523301901544
1972, 20.8, -1.01401834389746
1973, 31, 2.84109503262908
1974, 31.9, 3.18125209526377
1975, 22.9, -0.220318531083177
1976, -99.9, -99.9
1977, 20, -1.31638017735053
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 21, -0.938427885534199
1983, 25, 0.573381281731111
1984, -99.9, -99.9
1985, 24, 0.195428989914784
1986, 22, -0.560475593717872
1987, 21, -0.938427885534199
1988, 23.5, 0.00645284400661973
1989, 20.6, -1.08960880226073
1990, 19.9, -1.35417540653216
1991, 20.3, -1.20299448980563
1992, 21.5, -0.749451739626036
1993, 23, -0.182523301901544
1994, 21.5, -0.749451739626036
1995, 22, -0.560475593717872
1996, 18.8, -1.76992292753012
1997, 21.5, -0.749451739626036
1998, 23, -0.182523301901544
1999, 24.8, 0.497790823367846
2000, 22.1, -0.522680364536238
2001, -99.9, -99.9
2002, 21.8, -0.636066052081137
2003, 23.4, -0.0313423851750136
2004, 22.3, -0.447089906172973
2005, 24.9, 0.535586052549478
2006, 24.3, 0.308814677459682
2007, 25.2, 0.648971740094376
2008, 24.1, 0.233224219096417
2009, 24.8, 0.497790823367846
2010, 24.9, 0.535586052549478
2011, 25.4, 0.724562198457642
2012, 25.5, 0.762357427639275
2013, 25.6, 0.800152656820908
2014, 23.3, -0.0691376143566455
2015, 25.6, 0.800152656820908
2016, 24.9, 0.535586052549478
2017, 26.3, 1.06471926109234
2018, 25.4, 0.724562198457642
