"Description: ","Monthly warmest daily TN"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tnx, normalised (all years)
1971-01, 5, -1.40374279003296
1971-02, 5.5, -1.32682086091595
1971-03, 9.3, -0.742214199626604
1971-04, 12.5, -0.249913853277685
1971-05, 14.1, -0.0037636801032256
1971-06, 17.8, 0.565458595362712
1971-07, 23, 1.36544665817971
1971-08, 22.7, 1.31929350070949
1971-09, 19.1, 0.765455611066961
1971-10, 16, 0.288539650541445
1971-11, 13.6, -0.0806856092202442
1971-12, 5.8, -1.28066770344573
1972-01, 6.1, -1.23451454597552
1972-02, 9.4, -0.7268298138032
1972-03, 9.6, -0.696061042156393
1972-04, 12, -0.326835782394704
1972-05, 13, -0.172991924160666
1972-06, 14.7, 0.0885426348371967
1972-07, 18.3, 0.642380524479731
1972-08, 20.8, 1.02699017006482
1972-09, 18.7, 0.703918067773345
1972-10, 14.7, 0.0885426348371967
1972-11, 9.9, -0.649907884686182
1972-12, 9, -0.788367357096815
1973-01, 6.7, -1.1422082310351
1973-02, 4.8, -1.43451156167977
1973-03, 10, -0.634523498862778
1973-04, 11, -0.480679640628741
1973-05, 15.8, 0.257770878894638
1973-06, 21.1, 1.07314332753504
1973-07, 31, 2.596197524052
1973-08, 21.8, 1.18083402829886
1973-09, 20.2, 0.934683855124401
1973-10, 17, 0.442383508775482
1973-11, 7, -1.09605507356489
1973-12, 8, -0.942211215330852
1974-01, 3.9, -1.5729710340904
1974-02, 7.9, -0.957595601154256
1974-03, 11, -0.480679640628741
1974-04, 12.3, -0.280682624924492
1974-05, 17.3, 0.488536666245694
1974-06, 21.2, 1.08852771335844
1974-07, 30.9, 2.5808131382286
1974-08, 31.9, 2.73465699646264
1974-09, 19.7, 0.857761926007383
1974-10, 12.5, -0.249913853277685
1974-11, 8.2, -0.911442443684045
1974-12, 2.9, -1.72681489232444
1975-01, 5.4, -1.34220524673935
1975-02, 4.7, -1.44989594750318
1975-03, 9, -0.788367357096815
1975-04, 11.9, -0.342220168218107
1975-05, 17.6, 0.534689823715905
1975-06, 19.6, 0.842377540183979
1975-07, 22.9, 1.3500622723563
1975-08, 22.2, 1.24237157159248
1975-09, 21.1, 1.07314332753504
1975-10, 17.1, 0.457767894598886
1975-11, 11.2, -0.449910868981933
1975-12, 5.3, -1.35758963256275
1976-01, 6, -1.24989893179893
1976-02, 8, -0.942211215330852
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 19, 0.750071225243557
1976-07, 21, 1.05775894171163
1976-08, 20, 0.903915083477594
1976-09, 18, 0.59622736700952
1976-10, 18, 0.59622736700952
1976-11, 13, -0.172991924160666
1976-12, 8, -0.942211215330852
1977-01, 6, -1.24989893179893
1977-02, 12, -0.326835782394704
1977-03, 12, -0.326835782394704
1977-04, 12, -0.326835782394704
1977-05, 18, 0.59622736700952
1977-06, 16, 0.288539650541445
1977-07, 20, 0.903915083477594
1977-08, 19, 0.750071225243557
1977-09, 18, 0.59622736700952
1977-10, 17, 0.442383508775482
1977-11, 11, -0.480679640628741
1977-12, 5, -1.40374279003296
1978-01, 10, -0.634523498862778
1978-02, 8, -0.942211215330852
1978-03, -99.9, -99.9
1978-04, 11, -0.480679640628741
1978-05, 16, 0.288539650541445
1978-06, 19, 0.750071225243557
1978-07, 19, 0.750071225243557
1978-08, 19, 0.750071225243557
1978-09, 17, 0.442383508775482
1978-10, 17, 0.442383508775482
1978-11, 8, -0.942211215330852
1978-12, 5, -1.40374279003296
1979-01, 5, -1.40374279003296
1979-02, 8, -0.942211215330852
1979-03, 10, -0.634523498862778
1979-04, 11, -0.480679640628741
1979-05, 15, 0.134695792307408
1979-06, 19, 0.750071225243557
1979-07, 21, 1.05775894171163
1979-08, 21, 1.05775894171163
1979-09, 18, 0.59622736700952
1979-10, 17, 0.442383508775482
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, 5, -1.40374279003296
1980-02, 5, -1.40374279003296
1980-03, 9, -0.788367357096815
1980-04, 10, -0.634523498862778
1980-05, 15, 0.134695792307408
1980-06, 18, 0.59622736700952
1980-07, 19, 0.750071225243557
1980-08, 22, 1.21160279994567
1980-09, 18, 0.59622736700952
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, 5, -1.40374279003296
1981-01, 1, -2.01911822296911
1981-02, 5, -1.40374279003296
1981-03, 13, -0.172991924160666
1981-04, 12.5, -0.249913853277685
1981-05, 16.5, 0.365461579658464
1981-06, -99.9, -99.9
1981-07, 19.5, 0.826993154360575
1981-08, 22, 1.21160279994567
1981-09, 20, 0.903915083477594
1981-10, 16, 0.288539650541445
1981-11, -99.9, -99.9
1981-12, 3, -1.71143050650104
1982-01, 3, -1.71143050650104
1982-02, 4.5, -1.48066471914998
1982-03, 7, -1.09605507356489
1982-04, 9, -0.788367357096815
1982-05, 16, 0.288539650541445
1982-06, 19, 0.750071225243557
1982-07, 21, 1.05775894171163
1982-08, 19, 0.750071225243557
1982-09, 19, 0.750071225243557
1982-10, 15, 0.134695792307408
1982-11, 11, -0.480679640628741
1982-12, 10.5, -0.557601569745759
1983-01, 1, -2.01911822296911
1983-02, 3.5, -1.63450857738402
1983-03, 9, -0.788367357096815
1983-04, 12.5, -0.249913853277685
1983-05, 15, 0.134695792307408
1983-06, 18, 0.59622736700952
1983-07, 25, 1.67313437464778
1983-08, 23, 1.36544665817971
1983-09, 19, 0.750071225243557
1983-10, 14.5, 0.0577738631903893
1983-11, 11, -0.480679640628741
1983-12, 4.5, -1.48066471914998
1984-01, 2.5, -1.78835243561806
1984-02, 4.5, -1.48066471914998
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 14, -0.0191480659266293
1984-06, 19.5, 0.826993154360575
1984-07, 23, 1.36544665817971
1984-08, 19, 0.750071225243557
1984-09, 19, 0.750071225243557
1984-10, 17, 0.442383508775482
1984-11, 11.5, -0.403757711511722
1984-12, 8, -0.942211215330852
