"Description: ","Annual number of days when TN > 20 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tr, normalised (all years)
1971, 13, -0.417938068688534
1972, 2, -0.982279592576344
1973, 18, -0.161419194194074
1974, 23, 0.095099680300385
1975, 19, -0.110115419295182
1976, -99.9, -99.9
1977, 0, -1.08488714237413
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 2, -0.982279592576344
1983, 9, -0.623153168284101
1984, -99.9, -99.9
1985, 5, -0.828368267879669
1986, 8, -0.674456943182993
1987, 2, -0.982279592576344
1988, 3, -0.930975817677452
1989, 5, -0.828368267879669
1990, 0, -1.08488714237413
1991, 1, -1.03358336747524
1992, 7, -0.725760718081885
1993, 12, -0.469241843587426
1994, 9, -0.623153168284101
1995, 4, -0.87967204277856
1996, 0, -1.08488714237413
1997, 9, -0.623153168284101
1998, 12, -0.469241843587426
1999, 9, -0.623153168284101
2000, 9, -0.623153168284101
2001, -99.9, -99.9
2002, 8, -0.674456943182993
2003, 41, 1.01856762848044
2004, 12, -0.469241843587426
2005, 28, 0.351618554794844
2006, 46, 1.2750865029749
2007, 39, 0.915960078682655
2008, 51, 1.53160537746936
2009, 51, 1.53160537746936
2010, 41, 1.01856762848044
2011, 55, 1.73682047706492
2012, 60, 1.99333935155938
2013, 37, 0.813352528884871
2014, 23, 0.095099680300385
2015, 55, 1.73682047706492
2016, 40, 0.967263853581547
2017, 52, 1.58290915236825
2018, 47, 1.32639027787379
