"Description: ","Heatwave definitions and aspects"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, HWM, HWA, HWN, HWD, HWF
1971, NA, NA, 0, NA, 0
1972, NA, NA, 0, NA, 0
1973, 32.36, 34, 1, 5, 5
1974, 35.9208333333333, 38.4, 4, 4, 13
1975, 32.9208333333333, 36.8, 2, 4, 7
1976, 28.6666666666667, 30, 1, 3, 3
1977, NA, NA, 0, NA, 0
1978, NA, NA, 0, NA, 0
1979, NA, NA, 0, NA, 0
1980, NA, NA, 0, NA, 0
1981, NA, NA, 0, NA, 0
1982, NA, NA, 0, NA, 0
1983, NA, NA, 0, NA, 0
1984, NA, NA, 0, NA, 0
1985, 31.6666666666667, 33.5, 1, 6, 6
1986, 30.375, 31, 1, 4, 4
1987, NA, NA, 0, NA, 0
1988, 35.2266666666667, 37.2, 2, 5, 8
1989, NA, NA, 0, NA, 0
1990, 30.9153333333333, 35.6, 5, 5, 20
1991, 33.265, 36.1, 5, 8, 22
1992, 33.4027777777778, 37.9, 6, 4, 19
1993, 34.23125, 37.5, 4, 4, 14
1994, 34.1512564102564, 38.5, 5, 13, 31
1995, 32.37, 36.5, 2, 5, 8
1996, 34.1089743589744, 40.1, 2, 13, 16
1997, 30.2746031746032, 33.2, 3, 8, 18
1998, 33.1666666666667, 36.4, 3, 3, 9
1999, 32.9325396825397, 37.7, 3, 7, 14
2000, 32.73, 39.6, 4, 10, 21
2001, 34.005, 36.6, 2, 5, 9
2002, 34.1866666666667, 35.5, 2, 5, 8
2003, 35.8897222222222, 38.3, 6, 10, 28
2004, 33.1666666666667, 35.3, 1, 3, 3
2005, 28.6333333333333, 32.5, 2, 4, 7
2006, 35.9666666666667, 36.4, 1, 3, 3
2007, 33.75, 37.2, 2, 5, 10
2008, 32.885, 35.4, 2, 5, 9
2009, 31.5666666666667, 35.1, 1, 9, 9
2010, 34.9, 35.3, 1, 5, 5
2011, 33.1125, 36.6, 2, 8, 13
2012, 34.985, 36.9, 2, 5, 9
2013, NA, NA, 0, NA, 0
2014, 32.7, 34, 1, 5, 5
2015, 33.7097222222222, 37.1, 3, 8, 14
2016, NA, NA, 0, NA, 0
2017, 37.7666666666667, 39.4, 1, 3, 3
2018, 29.7, 30.4, 1, 4, 4
