"Description: ","Monthly percentage of days when TX > 90th percentile"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tx90p, normalised (all years)
1971-01, 0, -0.893526068088465
1971-02, 0, -0.893526068088465
1971-03, 0, -0.893526068088465
1971-04, 0, -0.893526068088465
1971-05, 0, -0.893526068088465
1971-06, 0, -0.893526068088465
1971-07, 0, -0.893526068088465
1971-08, 0, -0.893526068088465
1971-09, 0, -0.893526068088465
1971-10, 0, -0.893526068088465
1971-11, 10, -0.0261925887134307
1971-12, 0, -0.893526068088465
1972-01, 0, -0.893526068088465
1972-02, 0, -0.893526068088465
1972-03, 6.45161290322581, -0.333956081394894
1972-04, 0, -0.893526068088465
1972-05, 0, -0.893526068088465
1972-06, 0, -0.893526068088465
1972-07, 0, -0.893526068088465
1972-08, 0, -0.893526068088465
1972-09, 0, -0.893526068088465
1972-10, 0, -0.893526068088465
1972-11, 13.3333333333333, 0.262918571078244
1972-12, 3.2258064516129, -0.61374107474168
1973-01, 3.2258064516129, -0.61374107474168
1973-02, 0, -0.893526068088465
1973-03, 0, -0.893526068088465
1973-04, 5.74468085106383, -0.395270665043232
1973-05, 3.0885380919698, -0.625646819139415
1973-06, 10, -0.0261925887134307
1973-07, 19.3548387096774, 0.785183891992245
1973-08, 6.0398078242965, -0.369673314588101
1973-09, 16.6666666666667, 0.552029730869928
1973-10, 6.45161290322581, -0.333956081394894
1973-11, 0, -0.893526068088465
1973-12, 18.3939601921757, 0.701843681208097
1974-01, 9.67741935483871, -0.0541710880481092
1974-02, 10.7142857142857, 0.035759802670499
1974-03, 0, -0.893526068088465
1974-04, 0, -0.893526068088465
1974-05, 6.45161290322581, -0.333956081394894
1974-06, 3.33333333333333, -0.604414908296787
1974-07, 19.3548387096774, 0.785183891992245
1974-08, 28.8263555250515, 1.606680255436
1974-09, 0, -0.893526068088465
1974-10, 0, -0.893526068088465
1974-11, 3.33333333333333, -0.604414908296787
1974-12, 0, -0.893526068088465
1975-01, 3.2258064516129, -0.61374107474168
1975-02, 0, -0.893526068088465
1975-03, 0, -0.893526068088465
1975-04, 0, -0.893526068088465
1975-05, 12.9032258064516, 0.225613905298675
1975-06, 3.33333333333333, -0.604414908296787
1975-07, 22.3061084420041, 1.04115739654356
1975-08, 0, -0.893526068088465
1975-09, 12.8368794326241, 0.219859462173103
1975-10, 6.45161290322581, -0.333956081394894
1975-11, 0, -0.893526068088465
1975-12, 3.2258064516129, -0.61374107474168
1976-01, 3.2258064516129, -0.61374107474168
1976-02, 26.7057960381511, 1.42275703163649
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 0, -0.893526068088465
1976-07, 0, -0.893526068088465
1976-08, 0, -0.893526068088465
1976-09, 0, -0.893526068088465
1976-10, 0, -0.893526068088465
1976-11, 0, -0.893526068088465
1976-12, 9.67741935483871, -0.0541710880481092
1977-01, 9.2656142759094, -0.0898883212413162
1977-02, 16.7173252279635, 0.556423517492897
1977-03, 12.9032258064516, 0.225613905298675
1977-04, 2.76595744680851, -0.653625318474094
1977-05, 0, -0.893526068088465
1977-06, 0, -0.893526068088465
1977-07, 0, -0.893526068088465
