"Description: ","Value of 95th percentile of TX"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, tx95t, normalised (all years)
NA, 11.375, -1.60903871361433
NA, 11.375, -1.60903871361433
NA, 11.3, -1.6182916765804
NA, 12, -1.53193068889702
NA, 12.165, -1.51157417037165
NA, 12.2, -1.50725612098748
NA, 12.17, -1.51095730617391
NA, 12.17, -1.51095730617391
NA, 12.24, -1.50232120740558
NA, 12.25, -1.5010874790101
NA, 12.95, -1.41472649132672
NA, 13.27, -1.37524718267146
NA, 13.3, -1.37154599748503
NA, 12.71, -1.44433597281816
NA, 12.76, -1.43816733084078
NA, 12.965, -1.4128758987335
NA, 13, -1.40855784934933
NA, 12.965, -1.4128758987335
NA, 13.07, -1.399921750581
NA, 12.6, -1.45790698516841
NA, 12.14, -1.51465849136034
NA, 11.97, -1.53563187408345
NA, 11.77, -1.56030644199299
NA, 12, -1.53193068889702
NA, 13.265, -1.3758640468692
NA, 13.895, -1.29813915795415
NA, 13.895, -1.29813915795415
NA, 13.895, -1.29813915795415
NA, 13.765, -1.31417762709535
NA, 13.065, -1.40053861477873
NA, 13.065, -1.40053861477873
NA, 13.63, -1.33083296043429
NA, 14.36, -1.24077078756448
NA, 14.8, -1.1864867381635
NA, 15.065, -1.15379293568336
NA, 15.6, -1.08778846652535
NA, 15.495, -1.10074261467785
NA, 15.03, -1.15811098506753
NA, 15.03, -1.15811098506753
NA, 14.765, -1.19080478754767
NA, 14.665, -1.20314207150243
NA, 14.895, -1.17476631840647
NA, 15.1, -1.14947488629919
NA, 15.1, -1.14947488629919
NA, 15.665, -1.07976923195475
NA, 15.865, -1.05509466404521
NA, 16.3, -1.00142747884197
NA, 15.765, -1.06743194799998
NA, 15.665, -1.07976923195475
NA, 15.665, -1.07976923195475
NA, 15.665, -1.07976923195475
NA, 15.7, -1.07545118257058
NA, 15.7, -1.07545118257058
NA, 16.295, -1.0020443430397
NA, 16.93, -0.923702589926922
NA, 18.065, -0.783674417040297
NA, 18.1, -0.779356367656128
NA, 18.1, -0.779356367656128
NA, 18.1, -0.779356367656128
NA, 18.28, -0.757149256537544
NA, 18.7, -0.705332663927516
NA, 18.8, -0.692995379972747
NA, 18.95, -0.674489454040594
NA, 18.8, -0.692995379972747
NA, 18.185, -0.768869676294575
NA, 18.09, -0.780590096051605
NA, 18, -0.791693651610897
NA, 18.2, -0.76701908370136
NA, 18.5, -0.730007231837053
NA, 18.895, -0.681274960215717
NA, 19.21, -0.642412515758195
NA, 19.91, -0.556051528074814
NA, 19.9, -0.557285256470291
NA, 20.24, -0.515338491024077
NA, 20.7, -0.458586984832141
NA, 21.43, -0.368524811962329
NA, 21.83, -0.319175676143255
NA, 22.01, -0.296968565024671
NA, 22.11, -0.284631281069902
NA, 22.11, -0.284631281069902
NA, 21.92, -0.308072120583962
NA, 21.8, -0.322876861329685
NA, 21.52, -0.357421256403038
NA, 21.305, -0.38394641690579
NA, 21.3, -0.384563281103529
NA, 21.4, -0.37222599714876
NA, 21.395, -0.372842861346499
NA, 21.5, -0.359888713193991
NA, 23, -0.17482945387246
NA, 23.005, -0.174212589674722
NA, 23.11, -0.161258441522215
NA, 23, -0.17482945387246
NA, 22.6, -0.224178589691535
NA, 22.19, -0.274761453906087
NA, 22.1, -0.285865009465379
NA, 22.48, -0.238983330437258
NA, 22.6, -0.224178589691535
NA, 22.59, -0.225412318087012
NA, 22.89, -0.188400466222706
NA, 22.98, -0.177296910663414
NA, 22.98, -0.177296910663414
NA, 23.07, -0.166193355104122
NA, 23.295, -0.138434466205892
NA, 23.4, -0.125480318053386
NA, 23.4, -0.125480318053386
NA, 23.39, -0.126714046448862
NA, 23.385, -0.127330910646601
NA, 23.4, -0.125480318053386
NA, 24, -0.051456614324773
NA, 25.56, 0.141005015369619
NA, 26.14, 0.212561262307278
NA, 26.16, 0.215028719098232
NA, 26.18, 0.217496175889185
NA, 26, 0.195289064770602
NA, 25.11, 0.0854872375731598
NA, 24.415, -0.00025688591248287
NA, 24.2, -0.0267820464152356
NA, 24.3, -0.0144447624604667
NA, 25.2, 0.0965907931324517
NA, 25.01, 0.0731499536183914
NA, 25.105, 0.0848703733754215
NA, 25.7, 0.158277212906295
NA, 25.5, 0.133602644996758
NA, 26.07, 0.20392516353894
NA, 26.8, 0.293987336408752
NA, 27.5, 0.380348324092133
NA, 27.88, 0.427230003120254
NA, 28, 0.442034743865976
NA, 28.23, 0.470410496961944
NA, 28.265, 0.474728546346114
NA, 28.3, 0.479046595730283
NA, 28.3, 0.479046595730283
NA, 28.365, 0.487065830300882
NA, 28.465, 0.499403114255651
NA, 28.465, 0.499403114255651
NA, 28.865, 0.548752250074726
NA, 29.165, 0.585764101939032
NA, 29.8, 0.664105855051814
NA, 30, 0.688780422961351
NA, 29.8, 0.664105855051814
NA, 29.93, 0.680144324193013
NA, 29.8, 0.664105855051814
NA, 30.33, 0.729493460012087
NA, 30.165, 0.709136941486719
NA, 30.665, 0.770823361260563
NA, 30.63, 0.766505311876394
NA, 30.83, 0.791179879785931
NA, 30.465, 0.746148793351025
NA, 30.71, 0.776375139040209
NA, 31, 0.812153262509038
NA, 31.075, 0.821406225475115
NA, 31.085, 0.822639953870592
NA, 30.995, 0.8115363983113
NA, 30.995, 0.8115363983113
NA, 31.1, 0.824490546463807
NA, 31.7, 0.898514250192419
NA, 31.7, 0.898514250192419
NA, 31.79, 0.909617805751711
NA, 31.98, 0.933058645265772
NA, 32.64, 1.01448471936725
NA, 33.04, 1.06383385518632
NA, 34, 1.1822717811521
NA, 33.91, 1.17116822559281
NA, 33.88, 1.16746704040638
NA, 33.3, 1.09591079346872
NA, 32.95, 1.05273029962703
NA, 32.64, 1.01448471936725
NA, 32.765, 1.02990632431071
NA, 33, 1.05889894160441
NA, 33.265, 1.09159274408455
NA, 33.5, 1.12058536137826
NA, 34.065, 1.1902910157227
NA, 34.465, 1.23964015154178
NA, 34.83, 1.28467123797668
NA, 34.565, 1.25197743549654
NA, 34.5, 1.24395820092594
NA, 34.4, 1.23162091697117
NA, 34.07, 1.19090787992044
NA, 33.94, 1.17486941077924
NA, 33.67, 1.14155874410136
NA, 34.075, 1.19152474411818
NA, 34.34, 1.22421854659831
NA, 34.87, 1.28960615155859
NA, 34.81, 1.28220378118573
NA, 34.84, 1.28590496637216
NA, 34.465, 1.23964015154178
NA, 34.565, 1.25197743549654
NA, 34.4, 1.23162091697117
NA, 34.3, 1.21928363301641
NA, 34.3, 1.21928363301641
NA, 34.3, 1.21928363301641
NA, 34.3, 1.21928363301641
NA, 34.43, 1.23532210215761
NA, 34.6, 1.25629548488071
NA, 35, 1.30564462069979
NA, 35.2, 1.33031918860933
NA, 35.2, 1.33031918860933
NA, 35.365, 1.35067570713469
NA, 35.63, 1.38336950961483
NA, 35.8, 1.40434289233794
NA, 35.8, 1.40434289233794
NA, 35.65, 1.38583696640578
NA, 35.8, 1.40434289233794
NA, 35.775, 1.40125857134924
NA, 35.65, 1.38583696640578
NA, 35.7, 1.39200560838317
NA, 35.67, 1.38830442319674
NA, 35.34, 1.347591386146
NA, 35, 1.30564462069979
NA, 35.21, 1.3315529170048
NA, 35.165, 1.32600113922516
NA, 35.265, 1.33833842317992
NA, 35.63, 1.38336950961483
NA, 36.36, 1.47343168248464
NA, 36.565, 1.49872311459192
NA, 37.2, 1.5770648677047
NA, 37.2, 1.5770648677047
NA, 36.9, 1.54005301584039
NA, 36.88, 1.53758555904944
NA, 36.78, 1.52524827509467
NA, 36.44, 1.48330150964846
NA, 36.4, 1.47836659606655
NA, 35.975, 1.42593313925878
NA, 35.64, 1.38460323801031
NA, 35.7, 1.39200560838317
NA, 35.67, 1.38830442319674
NA, 35.6, 1.3796683244284
NA, 35.395, 1.35437689232112
NA, 35.565, 1.37535027504423
NA, 35.465, 1.36301299108946
NA, 35.565, 1.37535027504423
NA, 35.695, 1.39138874418543
NA, 35.865, 1.41236212690854
NA, 35.695, 1.39138874418543
NA, 35.5, 1.36733104047363
NA, 35.43, 1.35869494170529
NA, 35.06, 1.31304699107265
NA, 34.93, 1.29700852193145
NA, 34.8, 1.28097005279025
NA, 34.57, 1.25259429969428
NA, 34.01, 1.18350550954758
NA, 33.8, 1.15759721324256
NA, 33.5, 1.12058536137826
NA, 32.38, 0.982407781084847
NA, 32.225, 0.963284990954955
NA, 31.475, 0.87075536129419
NA, 31.3, 0.849165114373345
NA, 31.465, 0.869521632898713
NA, 31.5, 0.873839682282882
NA, 31.5, 0.873839682282882
NA, 31.4, 0.861502398328113
NA, 31.77, 0.907150348960757
NA, 31.36, 0.856567484746206
NA, 31.76, 0.905916620565281
NA, 31.48, 0.871372225491928
NA, 31.48, 0.871372225491928
NA, 31.3, 0.849165114373345
NA, 31.165, 0.832509781034407
NA, 30.665, 0.770823361260563
NA, 30.5, 0.750466842735195
NA, 30.5, 0.750466842735195
NA, 30.4, 0.738129558780426
NA, 30.295, 0.725175410627919
NA, 29.93, 0.680144324193013
NA, 29.7, 0.651768571097045
NA, 29.895, 0.675826274808844
NA, 29.7, 0.651768571097045
NA, 29.43, 0.618457904419169
NA, 28.995, 0.564790719215925
NA, 28, 0.442034743865976
NA, 27.8, 0.417360175956439
NA, 27.8, 0.417360175956439
NA, 27.765, 0.41304212657227
NA, 27.65, 0.398854250024286
NA, 27.78, 0.414892719165485
NA, 27.74, 0.409957805583577
NA, 27.5, 0.380348324092133
NA, 27.48, 0.377880867301179
NA, 27.27, 0.351972570996164
NA, 27.13, 0.334700373459488
NA, 27, 0.318661904318289
NA, 27, 0.318661904318289
NA, 26.565, 0.264994719115045
NA, 26.4, 0.244638200589676
NA, 25.9, 0.182951780815833
NA, 25.57, 0.142238743765096
NA, 25.3, 0.108928077087221
NA, 25.1, 0.0842535091776832
NA, 25.075, 0.0811691881889908
NA, 25.075, 0.0811691881889908
NA, 25.075, 0.0811691881889908
NA, 24.875, 0.0564946202794534
NA, 23.98, -0.0539240711157267
NA, 23.37, -0.129181503239816
NA, 23.09, -0.163725898313168
NA, 23.09, -0.163725898313168
NA, 22.19, -0.274761453906087
NA, 21.925, -0.307455256386224
NA, 21.5, -0.359888713193991
NA, 22, -0.298202293420148
NA, 22, -0.298202293420148
NA, 21.8, -0.322876861329685
NA, 21.8, -0.322876861329685
NA, 21.575, -0.350635750227915
NA, 21.26, -0.389498194685436
NA, 21.07, -0.412939034199497
NA, 21.4, -0.37222599714876
NA, 21.42, -0.369758540357806
NA, 21.4, -0.37222599714876
NA, 21.24, -0.39196565147639
NA, 20.93, -0.430211231736173
NA, 20.72, -0.456119528041188
NA, 20.21, -0.519039676210508
NA, 20, -0.544947972515522
NA, 19.79, -0.570856268820537
NA, 19.98, -0.547415429306476
NA, 19.98, -0.547415429306476
NA, 19.98, -0.547415429306476
NA, 19.395, -0.619588540441873
NA, 19.3, -0.631308960198903
NA, 18.115, -0.777505775062913
NA, 17.41, -0.864483626944032
NA, 16.9, -0.927403775113353
NA, 16.5, -0.976752910932428
NA, 16.5, -0.976752910932428
NA, 16.5, -0.976752910932428
NA, 16.245, -1.00821298501709
NA, 16.5, -0.976752910932428
NA, 16.17, -1.01746594798316
NA, 16.14, -1.0211671331696
NA, 15.59, -1.08902219492082
NA, 15.59, -1.08902219492082
NA, 15.4, -1.11246303443488
NA, 15, -1.16181217025396
NA, 14.78, -1.18895419495445
NA, 14.77, -1.19018792334993
NA, 14.98, -1.16427962704491
NA, 14.09, -1.27408145424235
NA, 13.955, -1.29073678758129
NA, 13.68, -1.32466431845691
NA, 14.085, -1.27469831844009
NA, 14.42, -1.23336841719162
NA, 14.4, -1.23583587398257
NA, 14.1, -1.27284772584688
NA, 14.1, -1.27284772584688
NA, 12.965, -1.4128758987335
NA, 12.865, -1.42521318268827
NA, 12.965, -1.4128758987335
NA, 13.17, -1.38758446662623
NA, 13.2, -1.3838832814398
NA, 13.41, -1.35797498513478
NA, 13.17, -1.38758446662623
NA, 13, -1.40855784934933
NA, 12.66, -1.45050461479555
NA, 12.66, -1.45050461479555
NA, 12, -1.53193068889702
NA, 12, -1.53193068889702
NA, 12.5, -1.47024426912318
NA, 12.78, -1.43569987404982
NA, 12.78, -1.43569987404982
NA, 13.12, -1.39375310860361
NA, 13.275, -1.37463031847372
NA, 12.66, -1.45050461479555
NA, 12, -1.53193068889702
NA, 12, -1.53193068889702
