"Description: ","Monthly number of days when TX >= 35 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, txge35, normalised (all years)
1971-01, 0, -0.276849808698464
1971-02, 0, -0.276849808698464
1971-03, 0, -0.276849808698464
1971-04, 0, -0.276849808698464
1971-05, 0, -0.276849808698464
1971-06, 0, -0.276849808698464
1971-07, 0, -0.276849808698464
1971-08, 0, -0.276849808698464
1971-09, 0, -0.276849808698464
1971-10, 0, -0.276849808698464
1971-11, 0, -0.276849808698464
1971-12, 0, -0.276849808698464
1972-01, 0, -0.276849808698464
1972-02, 0, -0.276849808698464
1972-03, 0, -0.276849808698464
1972-04, 0, -0.276849808698464
1972-05, 0, -0.276849808698464
1972-06, 0, -0.276849808698464
1972-07, 0, -0.276849808698464
1972-08, 0, -0.276849808698464
1972-09, 0, -0.276849808698464
1972-10, 0, -0.276849808698464
1972-11, 0, -0.276849808698464
1972-12, 0, -0.276849808698464
1973-01, 0, -0.276849808698464
1973-02, 0, -0.276849808698464
1973-03, 0, -0.276849808698464
1973-04, 0, -0.276849808698464
1973-05, 0, -0.276849808698464
1973-06, 0, -0.276849808698464
1973-07, 5, 2.96078707545303
1973-08, 0, -0.276849808698464
1973-09, 0, -0.276849808698464
1973-10, 0, -0.276849808698464
1973-11, 0, -0.276849808698464
1973-12, 0, -0.276849808698464
1974-01, 0, -0.276849808698464
1974-02, 0, -0.276849808698464
1974-03, 0, -0.276849808698464
1974-04, 0, -0.276849808698464
1974-05, 0, -0.276849808698464
1974-06, 0, -0.276849808698464
1974-07, 4, 2.31325969862273
1974-08, 9, 5.55089658277422
1974-09, 0, -0.276849808698464
1974-10, 0, -0.276849808698464
1974-11, 0, -0.276849808698464
1974-12, 0, -0.276849808698464
1975-01, 0, -0.276849808698464
1975-02, 0, -0.276849808698464
1975-03, 0, -0.276849808698464
1975-04, 0, -0.276849808698464
1975-05, 0, -0.276849808698464
1975-06, 0, -0.276849808698464
1975-07, 3, 1.66573232179243
1975-08, 0, -0.276849808698464
1975-09, 0, -0.276849808698464
1975-10, 0, -0.276849808698464
1975-11, 0, -0.276849808698464
1975-12, 0, -0.276849808698464
1976-01, 0, -0.276849808698464
1976-02, 0, -0.276849808698464
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 0, -0.276849808698464
1976-07, 0, -0.276849808698464
1976-08, 0, -0.276849808698464
1976-09, 0, -0.276849808698464
1976-10, 0, -0.276849808698464
1976-11, 0, -0.276849808698464
1976-12, 0, -0.276849808698464
1977-01, 0, -0.276849808698464
1977-02, 0, -0.276849808698464
1977-03, 0, -0.276849808698464
1977-04, 0, -0.276849808698464
1977-05, 0, -0.276849808698464
1977-06, 0, -0.276849808698464
1977-07, 0, -0.276849808698464
1977-08, 0, -0.276849808698464
1977-09, 0, -0.276849808698464
1977-10, 0, -0.276849808698464
1977-11, 0, -0.276849808698464
1977-12, 0, -0.276849808698464
1978-01, 0, -0.276849808698464
1978-02, 0, -0.276849808698464
1978-03, -99.9, -99.9
1978-04, 0, -0.276849808698464
1978-05, 0, -0.276849808698464
1978-06, 0, -0.276849808698464
1978-07, 0, -0.276849808698464
1978-08, 0, -0.276849808698464
1978-09, 0, -0.276849808698464
1978-10, 0, -0.276849808698464
1978-11, 0, -0.276849808698464
1978-12, -99.9, -99.9
1979-01, 0, -0.276849808698464
1979-02, 0, -0.276849808698464
1979-03, 0, -0.276849808698464
1979-04, 0, -0.276849808698464
1979-05, 0, -0.276849808698464
1979-06, 0, -0.276849808698464
1979-07, 0, -0.276849808698464
1979-08, 1, 0.370677568131835
1979-09, 0, -0.276849808698464
1979-10, 0, -0.276849808698464
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, 0, -0.276849808698464
1980-02, 0, -0.276849808698464
1980-03, 0, -0.276849808698464
1980-04, 0, -0.276849808698464
1980-05, 0, -0.276849808698464
1980-06, 0, -0.276849808698464
1980-07, 0, -0.276849808698464
1980-08, 0, -0.276849808698464
1980-09, 0, -0.276849808698464
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, 0, -0.276849808698464
1981-01, 0, -0.276849808698464
1981-02, 0, -0.276849808698464
1981-03, 0, -0.276849808698464
1981-04, 0, -0.276849808698464
1981-05, 0, -0.276849808698464
1981-06, -99.9, -99.9
1981-07, 0, -0.276849808698464
1981-08, 0, -0.276849808698464
1981-09, 0, -0.276849808698464
1981-10, 0, -0.276849808698464
1981-11, -99.9, -99.9
1981-12, 0, -0.276849808698464
1982-01, 0, -0.276849808698464
1982-02, 0, -0.276849808698464
1982-03, 0, -0.276849808698464
1982-04, 0, -0.276849808698464
1982-05, 0, -0.276849808698464
1982-06, 0, -0.276849808698464
1982-07, 0, -0.276849808698464
1982-08, 0, -0.276849808698464
1982-09, 0, -0.276849808698464
1982-10, 0, -0.276849808698464
1982-11, 0, -0.276849808698464
1982-12, 0, -0.276849808698464
1983-01, 0, -0.276849808698464
1983-02, 0, -0.276849808698464
1983-03, 0, -0.276849808698464
1983-04, 0, -0.276849808698464
1983-05, 0, -0.276849808698464
1983-06, 0, -0.276849808698464
1983-07, 3, 1.66573232179243
1983-08, 0, -0.276849808698464
1983-09, 0, -0.276849808698464
1983-10, 0, -0.276849808698464
1983-11, 0, -0.276849808698464
1983-12, 0, -0.276849808698464
1984-01, 0, -0.276849808698464
1984-02, 0, -0.276849808698464
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 0, -0.276849808698464
1984-06, 0, -0.276849808698464
1984-07, 2, 1.01820494496213
1984-08, 0, -0.276849808698464
1984-09, 0, -0.276849808698464
1984-10, 0, -0.276849808698464
