"Description: ","Annual coldest daily TX"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, txn, normalised (all years)
1971, -1.6, -0.568212179917977
1972, -0.3, -0.0331289786877972
1973, -0.3, -0.0331289786877972
1974, 0.6, 0.337313237548481
1975, -2.8, -1.06213513489968
1976, -99.9, -99.9
1977, 0, 0.0903517600576288
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, -2.5, -0.938654396154255
1983, -1.5, -0.527051933669502
1984, -99.9, -99.9
1985, -8, -3.2024679398204
1986, -1.5, -0.527051933669502
1987, -4.5, -1.76185932112376
1988, 1.8, 0.831236192530185
1989, -2.6, -0.97981464240273
1990, -0.1, 0.0491915138091535
1991, -3.7, -1.43257735113596
1992, -1, -0.321250702427125
1993, 1.3, 0.625434961287809
1994, 2.1, 0.954716931275611
1995, 1.3, 0.625434961287809
1996, -2.6, -0.97981464240273
1997, 0.4, 0.25499274505153
1998, 0.1, 0.131512006306104
1999, 0.8, 0.419633730045432
2000, -0.9, -0.280090456178649
2001, -99.9, -99.9
2002, 0.7, 0.378473483796956
2003, 1.1, 0.543114468790858
2004, 1.1, 0.543114468790858
2005, 1, 0.501954222542382
2006, -0.2, 0.00803126756067811
2007, 2, 0.913556685027136
2008, 2.4, 1.07819767002104
2009, -5, -1.96766055236614
2010, -1.1, -0.3624109486756
2011, 2.2, 0.995877177524087
2012, -1.4, -0.485891687421026
2013, 1.7, 0.79007594628171
2014, 4.1, 1.77792185624512
2015, 4, 1.73676160999664
2016, 2.5, 1.11935791626951
2017, 1.6, 0.748915700033235
2018, -0.2, 0.00803126756067811
