"Description: ","Monthly coldest daily TX"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, txn, normalised (all years)
1971-01, -1.5, -1.59768802111627
1971-02, 3, -1.06358954446334
1971-03, -1.6, -1.609556876153
1971-04, 10.1, -0.220900836855381
1971-05, 16.3, 0.514968175421992
1971-06, 19.8, 0.930378101707606
1971-07, 21.3, 1.10841092725858
1971-08, 21.5, 1.13214863733205
1971-09, 15.3, 0.396279625054674
1971-10, 12, 0.00460740884252381
1971-11, 2.8, -1.0873272545368
1971-12, 1.6, -1.22975351497759
1972-01, 3.1, -1.05172068942661
1972-02, 4.3, -0.909294428985826
1972-03, 7.8, -0.493884502700213
1972-04, 9.3, -0.315851677149235
1972-05, 8.3, -0.434540227516553
1972-06, 12.9, 0.11142710417311
1972-07, 10.4, -0.185294271745185
1972-08, 18, 0.716738711046433
1972-09, 15.7, 0.443755045201601
1972-10, 10.3, -0.197163126781917
1972-11, 6, -0.707523893361385
1972-12, -0.3, -1.45526176067549
1973-01, -0.3, -1.45526176067549
1973-02, 4, -0.944900994096022
1973-03, 6.2, -0.683786183287922
1973-04, 6.3, -0.67191732825119
1973-05, 14.1, 0.253853364613892
1973-06, 19, 0.835427261413751
1973-07, 21.9, 1.17962405747897
1973-08, 24.3, 1.46447657836054
1973-09, 15.4, 0.408148480091406
1973-10, 10.1, -0.220900836855381
1973-11, 4.9, -0.838081298765435
1973-12, -0.3, -1.45526176067549
1974-01, 1.1, -1.28909779016124
1974-02, 7.3, -0.553228777883872
1974-03, 3.4, -1.01611412431641
1974-04, 10.5, -0.173425416708453
1974-05, 14.8, 0.336935349871015
1974-06, 22.2, 1.21523062258917
1974-07, 25.4, 1.59503398376459
1974-08, 17.8, 0.693001000972969
1974-09, 19.4, 0.882902681560678
1974-10, 7, -0.588835342994067
1974-11, 4.2, -0.921163284022558
1974-12, 0.6, -1.3484420653449
1975-01, -2.8, -1.75198313659379
1975-02, 5.1, -0.814343588691972
1975-03, 7.6, -0.517622212773676
1975-04, 10.2, -0.209031981818649
1975-05, 15.5, 0.420017335128137
1975-06, 18.7, 0.799820696303555
1975-07, 23.6, 1.38139459310341
1975-08, 20.4, 1.001591231928
1975-09, 22, 1.19149291251571
1975-10, 12.7, 0.0876893940996464
1975-11, 3.1, -1.05172068942661
1975-12, -2.7, -1.74011428155705
1976-01, 2, -1.18227809483066
1976-02, 4, -0.944900994096022
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 15, 0.360673059944478
1976-07, 22, 1.19149291251571
1976-08, 17, 0.598050160679115
1976-09, 16, 0.479361610311796
1976-10, 11, -0.114081141524794
1976-11, 6, -0.707523893361385
1976-12, 0, -1.41965519556529
1977-01, 0, -1.41965519556529
1977-02, 6, -0.707523893361385
1977-03, 8, -0.470146792626749
1977-04, 8, -0.470146792626749
1977-05, 13, 0.123295959209842
1977-06, 20, 0.954115811781069
1977-07, 23, 1.31018146288302
1977-08, 22, 1.19149291251571
1977-09, 14, 0.24198450957716
1977-10, 15, 0.360673059944478
1977-11, 6, -0.707523893361385
1977-12, 0, -1.41965519556529
1978-01, 4, -0.944900994096022
1978-02, 3, -1.06358954446334
1978-03, -99.9, -99.9
1978-04, 9, -0.351458242259431
1978-05, 13, 0.123295959209842
1978-06, 17, 0.598050160679115
1978-07, 20, 0.954115811781069
1978-08, 20, 0.954115811781069
1978-09, 19, 0.835427261413751
1978-10, 12, 0.00460740884252381
1978-11, 7, -0.588835342994067
1978-12, -99.9, -99.9
1979-01, -4, -1.89440939703457
1979-02, 6, -0.707523893361385
1979-03, 10, -0.232769691892113
1979-04, 7, -0.588835342994067
1979-05, 15, 0.360673059944478
1979-06, 20, 0.954115811781069
1979-07, 18, 0.716738711046433
1979-08, 20, 0.954115811781069
1979-09, 15, 0.360673059944478
1979-10, 7, -0.588835342994067
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, -4, -1.89440939703457
1980-02, 3, -1.06358954446334
1980-03, 10, -0.232769691892113
1980-04, 10, -0.232769691892113
1980-05, 12, 0.00460740884252381
1980-06, 18.5, 0.776082986230092
1980-07, 22, 1.19149291251571
1980-08, 23.5, 1.36952573806668
