"Description: ","Monthly warmest daily TX"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, txx, normalised (all years)
1971-01, 11.3, -1.66852430238392
1971-02, 12.8, -1.48265242413908
1971-03, 18, -0.838296579556964
1971-04, 21.7, -0.37981261321969
1971-05, 26.3, 0.190194480064488
1971-06, 30, 0.648678446401762
1971-07, 32.6, 0.970856368692819
1971-08, 34.3, 1.18151116403697
1971-09, 29.1, 0.537155319454858
1971-10, 21.4, -0.416986988868659
1971-11, 22, -0.342638237570722
1971-12, 10.4, -1.78004742933082
1972-01, 10.5, -1.76765597078117
1972-02, 14.5, -1.27199762879493
1972-03, 21.8, -0.367421154670034
1972-04, 19.4, -0.664816159861779
1972-05, 20.5, -0.528510115815563
1972-06, 23.6, -0.144374900776225
1972-07, 27.7, 0.363674899759673
1972-08, 32.6, 0.970856368692819
1972-09, 24.3, -0.0576346909286329
1972-10, 19, -0.714381994060403
1972-11, 19.8, -0.615250325663155
1972-12, 14.6, -1.25960617024527
1973-01, 10.6, -1.75526451223151
1973-02, 14.6, -1.25960617024527
1973-03, 18, -0.838296579556964
1973-04, 22, -0.342638237570722
1973-05, 28.8, 0.499980943805889
1973-06, 34.8, 1.24346845678525
1973-07, 36.3, 1.42934033503009
1973-08, 34.9, 1.25585991533491
1973-09, 34, 1.144336788388
1973-10, 27, 0.27693468991208
1973-11, 16.8, -0.986994082152836
1973-12, 14.1, -1.32156346299355
1974-01, 17.4, -0.9126453308549
1974-02, 15.6, -1.13569158474871
1974-03, 17.5, -0.900253872305244
1974-04, 20, -0.590467408563843
1974-05, 30.6, 0.723027197699698
1974-06, 31.1, 0.784984490447978
1974-07, 37.3, 1.55325492052665
1974-08, 38.4, 1.68956096457287
1974-09, 30, 0.648678446401762
1974-10, 22.2, -0.31785532047141
1974-11, 15.9, -1.09851720909974
1974-12, 12.3, -1.54460971688736
1975-01, 11.9, -1.59417555108598
1975-02, 13.1, -1.44547804849011
1975-03, 16.9, -0.974602623603181
1975-04, 22, -0.342638237570722
1975-05, 31.4, 0.822158866096946
1975-06, 34.9, 1.25585991533491
1975-07, 36.8, 1.49129762777837
1975-08, 33.3, 1.05759657854041
1975-09, 30.4, 0.698244280600386
1975-10, 28.6, 0.475198026706577
1975-11, 18.3, -0.801122203907996
1975-12, 15.1, -1.19764887749699
1976-01, 12, -1.58178409253633
1976-02, 20, -0.590467408563843
1976-03, -99.9, -99.9
1976-04, -99.9, -99.9
1976-05, -99.9, -99.9
1976-06, 32, 0.896507617394883
1976-07, 33, 1.02042220289144
1976-08, 28, 0.400849275408641
1976-09, 25, 0.0291055189189594
1976-10, 25, 0.0291055189189594
1976-11, 18, -0.838296579556964
1976-12, 15, -1.21004033604665
1977-01, 12, -1.58178409253633
1977-02, 19, -0.714381994060403
1977-03, 26, 0.15302010441552
1977-04, 24, -0.0948090665776011
1977-05, 25, 0.0291055189189594
1977-06, 31, 0.772593031898322
1977-07, 33, 1.02042220289144
1977-08, 30, 0.648678446401762
1977-09, 29, 0.524763860905201
1977-10, 23, -0.218723652074162
1977-11, 18, -0.838296579556964
1977-12, 10, -1.82961326352945
1978-01, 13, -1.45786950703977
1978-02, 15, -1.21004033604665
1978-03, -99.9, -99.9
1978-04, 21, -0.466552823067283
1978-05, 24, -0.0948090665776011
1978-06, 30, 0.648678446401762
1978-07, 31, 0.772593031898322
1978-08, 33, 1.02042220289144
1978-09, 27, 0.27693468991208
1978-10, 22, -0.342638237570722
1978-11, 15, -1.21004033604665
1978-12, -99.9, -99.9
1979-01, 19, -0.714381994060403
1979-02, 14, -1.33395492154321
1979-03, 19, -0.714381994060403
1979-04, 19, -0.714381994060403
1979-05, 28, 0.400849275408641
1979-06, 32, 0.896507617394883
1979-07, 32.5, 0.958464910143163
1979-08, 35, 1.26825137388456
1979-09, 29, 0.524763860905201
1979-10, 26, 0.15302010441552
1979-11, -99.9, -99.9
1979-12, -99.9, -99.9
1980-01, 13, -1.45786950703977
1980-02, 15, -1.21004033604665
1980-03, 16, -1.08612575055008
1980-04, 21, -0.466552823067283
1980-05, 23, -0.218723652074162
1980-06, 28, 0.400849275408641
1980-07, 32, 0.896507617394883
1980-08, 33.5, 1.08237949563972
1980-09, 28, 0.400849275408641
1980-10, -99.9, -99.9
1980-11, -99.9, -99.9
1980-12, 11, -1.70569867803289
1981-01, 11, -1.70569867803289
1981-02, 14.5, -1.27199762879493
1981-03, 20, -0.590467408563843
1981-04, 24, -0.0948090665776011
1981-05, 25.5, 0.0910628116672396
1981-06, -99.9, -99.9
1981-07, 30.5, 0.710635739150042
1981-08, 33, 1.02042220289144
1981-09, 30, 0.648678446401762
1981-10, 25.5, 0.0910628116672396
1981-11, -99.9, -99.9
1981-12, 15, -1.21004033604665
1982-01, 13, -1.45786950703977
1982-02, 12, -1.58178409253633
1982-03, 15, -1.21004033604665
1982-04, 20, -0.590467408563843
1982-05, 27, 0.27693468991208
1982-06, 34, 1.144336788388
1982-07, 33, 1.02042220289144
1982-08, 32.5, 0.958464910143163
1982-09, 28.5, 0.462806568156921
1982-10, 22, -0.342638237570722
1982-11, 16.5, -1.0241684578018
1982-12, 15, -1.21004033604665
1983-01, 14, -1.33395492154321
1983-02, 11.5, -1.64374138528461
1983-03, 19, -0.714381994060403
1983-04, 21.5, -0.404595530319002
1983-05, 27, 0.27693468991208
1983-06, 30, 0.648678446401762
1983-07, 36.5, 1.4541232521294
1983-08, 34.5, 1.20629408113628
1983-09, 28.5, 0.462806568156921
1983-10, 25, 0.0291055189189594
1983-11, 18, -0.838296579556964
1983-12, 15, -1.21004033604665
1984-01, 12, -1.58178409253633
1984-02, 13, -1.45786950703977
1984-03, -99.9, -99.9
1984-04, -99.9, -99.9
1984-05, 27.5, 0.338891982660361
1984-06, 31, 0.772593031898322
1984-07, 35.5, 1.33020866663284
1984-08, 31.5, 0.834550324646603
1984-09, 30.5, 0.710635739150042
1984-10, 23.5, -0.156766359325881
1984-11, 17.5, -0.900253872305244
1984-12, 14.5, -1.27199762879493
1985-01, 10.5, -1.76765597078117
1985-02, 13.5, -1.39591221429149
1985-03, 20, -0.590467408563843
1985-04, 24.5, -0.0328517738293209
1985-05, 30.5, 0.710635739150042
1985-06, 32, 0.896507617394883
1985-07, 36.5, 1.4541232521294
1985-08, 36, 1.39216595938112
1985-09, 33.5, 1.08237949563972
1985-10, 28, 0.400849275408641
1985-11, 18.5, -0.776339286808684
1985-12, 17, -0.962211165053524
1986-01, 14, -1.33395492154321
1986-02, 9.5, -1.89157055627773
1986-03, 21, -0.466552823067283
1986-04, 23, -0.218723652074162
1986-05, 31.5, 0.834550324646603
1986-06, 34.5, 1.20629408113628
1986-07, 34, 1.144336788388
1986-08, 35, 1.26825137388456
1986-09, 31, 0.772593031898322
1986-10, 28, 0.400849275408641
1986-11, 16, -1.08612575055008
1986-12, 8.5, -2.01548514177429
1987-01, 4.5, -2.51114348376053
1987-02, 9.5, -1.89157055627773
1987-03, 16.5, -1.0241684578018
1987-04, 21, -0.466552823067283
1987-05, 24.5, -0.0328517738293209
1987-06, 29, 0.524763860905201
1987-07, 32.5, 0.958464910143163
1987-08, 30, 0.648678446401762
1987-09, 30.5, 0.710635739150042
1987-10, 24.5, -0.0328517738293209
1987-11, 19, -0.714381994060403
1987-12, 10.5, -1.76765597078117
1988-01, 18.7, -0.751556369709372
1988-02, 20.3, -0.553293032914875
1988-03, 20.6, -0.516118657265907
1988-04, 25.9, 0.140628645865864
1988-05, 27.2, 0.301717607011392
1988-06, 30.5, 0.710635739150042
1988-07, 38.8, 1.73912679877149
1988-08, 37.2, 1.540863461977
1988-09, 31.4, 0.822158866096946
1988-10, 28, 0.400849275408641
1988-11, 15.4, -1.16047450184802
1988-12, 13.1, -1.44547804849011
1989-01, 13.8, -1.35873783864252
1989-02, 15.3, -1.17286596039768
1989-03, 23.8, -0.119591983676913
1989-04, 23.7, -0.131983442226569
1989-05, 28.9, 0.512372402355545
1989-06, 32.4, 0.946073451593507
1989-07, 33.7, 1.10716241273904
1989-08, 34.5, 1.20629408113628
1989-09, 29.3, 0.56193823655417
1989-10, 23.4, -0.169157817875538
1989-11, 23.7, -0.131983442226569
1989-12, 23.2, -0.19394073497485
1990-01, 16.6, -1.01177699925215
1990-02, 21.7, -0.37981261321969
1990-03, 24.6, -0.0204603152796647
1990-04, 24, -0.0948090665776011
1990-05, 29.8, 0.62389552930245
1990-06, 33.7, 1.10716241273904
1990-07, 35.6, 1.3426001251825
1990-08, 34.7, 1.2310769982356
1990-09, 34.6, 1.21868553968594
1990-10, 27, 0.27693468991208
1990-11, 24.4, -0.0452432323789771
1990-12, 15, -1.21004033604665
1991-01, 11.7, -1.6189584681853
1991-02, 18.1, -0.825905121007308
1991-03, 21.8, -0.367421154670034
1991-04, 23.3, -0.181549276425193
1991-05, 28.3, 0.438023651057609
1991-06, 35.5, 1.33020866663284
1991-07, 36.1, 1.40455741793078
1991-08, 36.9, 1.50368908632803
1991-09, 32.3, 0.93368199304385
1991-10, 27.5, 0.338891982660361
1991-11, 21.1, -0.454161364517626
1991-12, 13.1, -1.44547804849011
1992-01, 13.3, -1.4206951313908
1992-02, 29.3, 0.56193823655417
1992-03, 18.9, -0.72677345261006
1992-04, 23.5, -0.156766359325881
1992-05, 31.5, 0.834550324646603
1992-06, 30.2, 0.673461363501074
1992-07, 36.1, 1.40455741793078
1992-08, 37.9, 1.62760367182459
1992-09, 31.1, 0.784984490447978
1992-10, 25.2, 0.0538884360182714
1992-11, 23.4, -0.169157817875538
1992-12, 20.9, -0.478944281616939
1993-01, 14.5, -1.27199762879493
1993-02, 15.7, -1.12330012619905
1993-03, 22.4, -0.293072403372098
1993-04, 28.1, 0.413240733958297
1993-05, 30.7, 0.735418656249354
1993-06, 34.4, 1.19390262258663
1993-07, 36.9, 1.50368908632803
1993-08, 38.5, 1.70195242312253
1993-09, 31.4, 0.822158866096946
1993-10, 29.8, 0.62389552930245
1993-11, 21.9, -0.355029696120378
1993-12, 17.7, -0.875470955205932
1994-01, 15.7, -1.12330012619905
1994-02, 16.6, -1.01177699925215
1994-03, 23.3, -0.181549276425193
1994-04, 26.4, 0.202585938614144
1994-05, 30.9, 0.760201573348666
1994-06, 34.1, 1.15672824693766
1994-07, 38.3, 1.67716950602321
1994-08, 38.5, 1.70195242312253
1994-09, 33.2, 1.04520511999076
1994-10, 28.7, 0.487589485256233
1994-11, 20, -0.590467408563843
1994-12, 14.8, -1.23482325314596
1995-01, 14.7, -1.24721471169561
1995-02, 18, -0.838296579556964
1995-03, 20.6, -0.516118657265907
1995-04, 23.5, -0.156766359325881
1995-05, 31.3, 0.80976740754729
1995-06, 34.1, 1.15672824693766
1995-07, 36.5, 1.4541232521294
1995-08, 34, 1.144336788388
1995-09, 29.2, 0.549546778004513
1995-10, 27.5, 0.338891982660361
1995-11, 17.6, -0.887862413755588
1995-12, 15.5, -1.14808304329837
1996-01, 13.3, -1.4206951313908
1996-02, 13.5, -1.39591221429149
1996-03, 19.1, -0.701990535510747
1996-04, 26.4, 0.202585938614144
1996-05, 31.4, 0.822158866096946
1996-06, 40.1, 1.90021575991702
1996-07, 35.5, 1.33020866663284
1996-08, 35.1, 1.28064283243422
1996-09, 30.3, 0.68585282205073
1996-10, 26.1, 0.165411562965176
1996-11, 23.8, -0.119591983676913
1996-12, 12.3, -1.54460971688736
1997-01, 12.5, -1.51982679978805
1997-02, 20, -0.590467408563843
1997-03, 26.6, 0.227368855713456
1997-04, 26.3, 0.190194480064488
1997-05, 33.8, 1.11955387128869
1997-06, 33.1, 1.0328136614411
1997-07, 34.4, 1.19390262258663
1997-08, 35.7, 1.35499158373216
1997-09, 33.2, 1.04520511999076
1997-10, 28.9, 0.512372402355545
1997-11, 21.9, -0.355029696120378
1997-12, 13.4, -1.40830367284114
1998-01, 12.2, -1.55700117543701
1998-02, 19.6, -0.640033242762467
1998-03, 19.4, -0.664816159861779
1998-04, 22.7, -0.25589802772313
1998-05, 28.2, 0.425632192507953
1998-06, 33.5, 1.08237949563972
1998-07, 35.9, 1.37977450083147
1998-08, 36.4, 1.44173179357975
1998-09, 31.8, 0.871724700295571
1998-10, 24.7, -0.00806885673000887
1998-11, 21.6, -0.392204071769346
1998-12, 9.8, -1.85439618062876
1999-01, 13.4, -1.40830367284114
1999-02, 14.4, -1.28438908734458
1999-03, 20.7, -0.503727198716251
1999-04, 23.3, -0.181549276425193
1999-05, 33.5, 1.08237949563972
1999-06, 33, 1.02042220289144
1999-07, 36.2, 1.41694887648044
1999-08, 37.7, 1.60282075472528
1999-09, 31.1, 0.784984490447978
1999-10, 25.1, 0.0414969774686156
1999-11, 17.4, -0.9126453308549
1999-12, 16.6, -1.01177699925215
2000-01, 16.1, -1.07373429200043
2000-02, 13.8, -1.35873783864252
2000-03, 19.1, -0.701990535510747
2000-04, 30.2, 0.673461363501074
2000-05, 29.6, 0.599112612203138
2000-06, 36, 1.39216595938112
2000-07, 38.1, 1.6523865889239
2000-08, 39.6, 1.83825846716874
2000-09, 32.8, 0.995639285792131
2000-10, 26.7, 0.239760314263112
2000-11, 21.6, -0.392204071769346
2000-12, 17.6, -0.887862413755588
2001-01, 13.7, -1.37112929719217
2001-02, 15.8, -1.1109086676494
2001-03, 24.1, -0.0824176080279449
2001-04, 22.2, -0.31785532047141
2001-05, 35.1, 1.28064283243422
2001-06, -99.9, -99.9
2001-07, 34.1, 1.15672824693766
2001-08, 37.4, 1.56564637907631
2001-09, -99.9, -99.9
2001-10, -99.9, -99.9
2001-11, -99.9, -99.9
2001-12, 9.9, -1.8420047220791
2002-01, 13.2, -1.43308658994045
2002-02, 18.3, -0.801122203907996
2002-03, 23.2, -0.19394073497485
2002-04, 22, -0.342638237570722
2002-05, 28.8, 0.499980943805889
2002-06, 35.5, 1.33020866663284
2002-07, 34.6, 1.21868553968594
2002-08, 32.9, 1.00803074434179
2002-09, 29.2, 0.549546778004513
2002-10, 24.4, -0.0452432323789771
2002-11, 23.4, -0.169157817875538
2002-12, 13.6, -1.38352075574183
2003-01, 13.1, -1.44547804849011
2003-02, 14.5, -1.27199762879493
2003-03, 21.4, -0.416986988868659
2003-04, 25.5, 0.0910628116672396
2003-05, 30, 0.648678446401762
2003-06, 37.4, 1.56564637907631
2003-07, 35.9, 1.37977450083147
2003-08, 39.2, 1.78869263297012
2003-09, 32.4, 0.946073451593507
2003-10, 26.9, 0.264543231362424
2003-11, 19.8, -0.615250325663155
2003-12, 16.1, -1.07373429200043
2004-01, 13.4, -1.40830367284114
2004-02, 16.4, -1.03655991635146
2004-03, 22.9, -0.231115110623818
2004-04, 25.1, 0.0414969774686156
2004-05, 28.4, 0.450415109607265
2004-06, 35.3, 1.30542574953353
2004-07, 35.7, 1.35499158373216
2004-08, 34.7, 1.2310769982356
2004-09, 31.5, 0.834550324646603
2004-10, 27.7, 0.363674899759673
2004-11, 22.3, -0.305463861921754
2004-12, 14.2, -1.30917200444389
2005-01, 12.7, -1.49504388268873
2005-02, 17.4, -0.9126453308549
2005-03, 24.4, -0.0452432323789771
2005-04, 23.4, -0.169157817875538
2005-05, 32.5, 0.958464910143163
2005-06, 35.5, 1.33020866663284
2005-07, 36.8, 1.49129762777837
2005-08, 33.8, 1.11955387128869
2005-09, 32.3, 0.93368199304385
2005-10, 21.2, -0.441769905967971
2005-11, 17.5, -0.900253872305244
2005-12, 13.7, -1.37112929719217
2006-01, 9.5, -1.89157055627773
2006-02, 17.3, -0.925036789404556
2006-03, 20.5, -0.528510115815563
2006-04, 24.7, -0.00806885673000887
2006-05, 28.6, 0.475198026706577
2006-06, 34.8, 1.24346845678525
2006-07, 36.4, 1.44173179357975
2006-08, 32, 0.896507617394883
2006-09, 30.7, 0.735418656249354
2006-10, 27.5, 0.338891982660361
2006-11, 20.4, -0.540901574365219
2006-12, 17.1, -0.949819706503868
2007-01, 16.7, -0.999385540702493
2007-02, 17.2, -0.937428247954212
2007-03, 22, -0.342638237570722
2007-04, 27.4, 0.326500524110704
2007-05, 32.7, 0.983247827242475
2007-06, 33, 1.02042220289144
2007-07, 37.2, 1.540863461977
2007-08, 33.9, 1.13194532983835
2007-09, 28.7, 0.487589485256233
2007-10, 25.7, 0.115845728766552
2007-11, 17.1, -0.949819706503868
2007-12, 15.1, -1.19764887749699
2008-01, 14.9, -1.2224317945963
2008-02, 14.4, -1.28438908734458
2008-03, 25.6, 0.103454270216896
2008-04, 23.1, -0.206332193524505
2008-05, 28.4, 0.450415109607265
2008-06, 35.4, 1.31781720808319
2008-07, 33.7, 1.10716241273904
2008-08, 35.7, 1.35499158373216
2008-09, 33.8, 1.11955387128869
2008-10, 25.4, 0.0786713531175834
2008-11, 22.7, -0.25589802772313
2008-12, 14.4, -1.28438908734458
2009-01, 15.2, -1.18525741894733
2009-02, 17.3, -0.925036789404556
2009-03, 19.1, -0.701990535510747
2009-04, 23.6, -0.144374900776225
2009-05, 35.1, 1.28064283243422
2009-06, 33.8, 1.11955387128869
2009-07, 35.5, 1.33020866663284
2009-08, 35.1, 1.28064283243422
2009-09, 32.9, 1.00803074434179
2009-10, 27.8, 0.376066358309329
2009-11, 16.1, -1.07373429200043
2009-12, 18.6, -0.763947828259028
2010-01, 10.7, -1.74287305368186
2010-02, 16.3, -1.04895137490112
2010-03, 21.2, -0.441769905967971
2010-04, 25.2, 0.0538884360182714
2010-05, 29.2, 0.549546778004513
2010-06, 31.1, 0.784984490447978
2010-07, 35.3, 1.30542574953353
2010-08, 33.5, 1.08237949563972
2010-09, 27.7, 0.363674899759673
2010-10, 24.5, -0.0328517738293209
2010-11, 21.4, -0.416986988868659
2010-12, 12.9, -1.47026096558942
2011-01, 9.1, -1.94113639047635
2011-02, 15, -1.21004033604665
2011-03, 21.7, -0.37981261321969
2011-04, 30.8, 0.74781011479901
2011-05, 30.2, 0.673461363501074
2011-06, 32.1, 0.908899075944539
2011-07, 35.2, 1.29303429098388
2011-08, 37.1, 1.52847200342734
2011-09, 32.8, 0.995639285792131
2011-10, 28.6, 0.475198026706577
2011-11, 19.4, -0.664816159861779
2011-12, 16.8, -0.986994082152836
2012-01, 12.4, -1.5322182583377
2012-02, 18.6, -0.763947828259028
2012-03, 26.7, 0.239760314263112
2012-04, 25.2, 0.0538884360182714
2012-05, 30.2, 0.673461363501074
2012-06, 35.1, 1.28064283243422
2012-07, 36.9, 1.50368908632803
2012-08, 35.7, 1.35499158373216
2012-09, 31, 0.772593031898322
2012-10, 26.5, 0.2149773971638
2012-11, 21.5, -0.404595530319002
2012-12, 11.4, -1.65613284383426
2013-01, 12.2, -1.55700117543701
2013-02, 13.5, -1.39591221429149
2013-03, 16.4, -1.03655991635146
2013-04, 23.4, -0.169157817875538
2013-05, 25.6, 0.103454270216896
2013-06, 33.9, 1.13194532983835
2013-07, 36.2, 1.41694887648044
2013-08, 36.5, 1.4541232521294
2013-09, 30, 0.648678446401762
2013-10, 25.5, 0.0910628116672396
2013-11, 23.9, -0.107200525127257
2013-12, 15.2, -1.18525741894733
2014-01, 16.2, -1.06134283345077
2014-02, 16.7, -0.999385540702493
2014-03, 21, -0.466552823067283
2014-04, 24.4, -0.0452432323789771
2014-05, 27.2, 0.301717607011392
2014-06, 34, 1.144336788388
2014-07, 34.9, 1.25585991533491
2014-08, 33.2, 1.04520511999076
2014-09, 28.1, 0.413240733958297
2014-10, 27.6, 0.351283441210017
2014-11, 21.4, -0.416986988868659
2014-12, 15.9, -1.09851720909974
2015-01, 14.9, -1.2224317945963
2015-02, 13.5, -1.39591221429149
2015-03, 20.1, -0.578075950014187
2015-04, 24.3, -0.0576346909286329
2015-05, 29.6, 0.599112612203138
2015-06, 31.7, 0.859333241745915
2015-07, 37.1, 1.52847200342734
2015-08, 35.6, 1.3426001251825
2015-09, 34.4, 1.19390262258663
2015-10, 22.8, -0.243506569173474
2015-11, 21.4, -0.416986988868659
2015-12, 13.8, -1.35873783864252
2016-01, 17.8, -0.863079496656276
2016-02, 17.5, -0.900253872305244
2016-03, 21.3, -0.429378447418314
2016-04, 24.1, -0.0824176080279449
2016-05, 27.5, 0.338891982660361
2016-06, 33.7, 1.10716241273904
2016-07, 35.8, 1.36738304228181
2016-08, 35.2, 1.29303429098388
2016-09, 31.3, 0.80976740754729
2016-10, 26.4, 0.202585938614144
2016-11, 21.2, -0.441769905967971
2016-12, 13.4, -1.40830367284114
2017-01, 10.9, -1.71809013658254
2017-02, 17.7, -0.875470955205932
2017-03, 23.4, -0.169157817875538
2017-04, 24.3, -0.0576346909286329
2017-05, 29.5, 0.586721153653482
2017-06, 35.6, 1.3426001251825
2017-07, 36.2, 1.41694887648044
2017-08, 39.4, 1.81347555006943
2017-09, 33.5, 1.08237949563972
2017-10, 25.1, 0.0414969774686156
2017-11, 18.3, -0.801122203907996
2017-12, 18, -0.838296579556964
2018-01, 15.8, -1.1109086676494
2018-02, 14.8, -1.23482325314596
2018-03, 19.5, -0.652424701312123
2018-04, 27.7, 0.363674899759673
2018-05, 28.5, 0.462806568156921
2018-06, 32.1, 0.908899075944539
2018-07, 34.2, 1.16911970548732
2018-08, 34.7, 1.2310769982356
2018-09, 30.4, 0.698244280600386
2018-10, 25.4, 0.0786713531175834
2018-11, 20.6, -0.516118657265907
2018-12, 15.9, -1.09851720909974
