year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 5.32, 7.75, 7.49, 9.06, 10.5, 11.41, 11.35, 11.11, 8.4, 10.19, 8.14, 5.76, 8.87
1972, 4.23, 5.28, 8.97, 7.04, 7.12, 7.41, 7.07, 10.15, 7.21, 7.55, 7.5, 3.39, 6.91
1973, 4.53, 9.41, 10.26, 10.97, 10.44, 11.67, 12.3, 12.29, 9.1, 9.3, 8.01, 8.51, 9.73
1974, 5.09, 7.65, 8.21, 9.48, 10.75, 11.27, 12.36, 12.27, 10.62, 9.24, 6.48, 7.89, 9.28
1975, 6.05, 8.68, 8.57, 10.89, 11.12, 11.87, 12.92, 10.65, 9.59, 10.15, 6.17, 5.99, 9.39
1976, 4.9, 7.83, -99.9, -99.9, -99.9, 13.24, 12, 10.43, 11.17, 7.94, 6.62, 5.35, -99.9
1977, 5.43, 6.96, 9.77, 11.37, 10.55, 12.77, 12.26, 10.52, 11.67, 8.35, 7.28, 6.68, 9.47
1978, 7.61, 6.25, -99.9, 7.23, 8.06, 10.73, 11.24, 10.69, 11.3, 9.55, 9.8, -99.9, 9.25
1979, 7.02, 5.38, 9.66, 9.7, 12.83, 11.9, 10.94, 10.94, 10.5, 8.62, -99.9, -99.9, -99.9
1980, 5.23, 7.74, 8.44, 9.68, 7.9, 10.18, 11.88, 10.68, 10.83, -99.9, -99.9, 6.02, 8.86
1981, 7.76, 8.05, 8.82, 9.5, 10.67, -99.9, 11.1, 11.65, 9.41, 9.63, -99.9, 7.65, -99.9
1982, 4.58, 7.3, 9.74, 10.43, 11.81, 11.85, 9.92, 10.98, 10.72, 8, 6.11, 6.4, 8.99
1983, 7.52, 8.34, 9.73, 9.98, 10.81, 11.13, 12.08, 10.9, 11.58, 11.48, 9.5, 7.69, 10.06
1984, 7.56, 7.57, -99.9, -99.9, 10.39, 11.4, 12.4, 10.87, 10.2, 8.76, 5.71, 5.08, -99.9
1985, 6.9, 8.14, 7.78, 11.6, 10.68, 10.52, 12.69, 14.45, 13.98, 11.31, 5.67, 5.34, 9.92
