year, gsl
1970, -99.9
1971, 300
1972, 295
1973, 250
1974, 304
1975, 267
1976, -99.9
1977, 310
1978, 275
1979, -99.9
1980, 305
1981, -99.9
1982, 263
1983, 253
1984, -99.9
1985, 273
1986, 242
1987, 259
1988, 324
1989, 277
1990, 303
1991, 326
1992, 302
1993, 308
1994, 340
1995, 296
1996, 328
1997, 319
1998, 281
1999, 264
2000, 299
2001, -99.9
2002, 306
2003, 291
2004, 330
2005, 259
2006, 316
2007, 349
2008, 349
2009, 323
2010, 288
2011, 317
2012, 334
2013, 339
2014, 361
2015, 352
2016, 340
2017, 319
2018, 344
2019, -99.9
