year, prcptot
1970, -99.9
1971, 540.8
1972, 903.6
1973, 745.2
1974, 473.4
1975, 621.8
1976, 693.3
1977, 488
1978, 584.4
1979, 647.1
1980, 630.4
1981, 655.5
1982, 668.2
1983, 287.6
1984, 585.4
1985, 374.6
1986, 516.4
1987, 562.9
1988, 411.7
1989, 381.2
1990, 424.6
1991, 689.6
1992, 546.3
1993, 586.7
1994, 671.4
1995, 683.1
1996, 947.8
1997, 700.1
1998, 581.3
1999, 1034.3
2000, 551.3
2001, 704.6
2002, 809.3
2003, 415.8
2004, 634.2
2005, 767.2
2006, 441.2
2007, 623.8
2008, 531.2
2009, 482.2
2010, 859.4
2011, 374.2
2012, 523.2
2013, 764.2
2014, 734
2015, 768.8
2016, 627.4
2017, 577.4
2018, 777.2
2019, -99.9
