year, r95p
1970, -99.9
1971, 54.8
1972, 225.2
1973, 213.4
1974, 51.4
1975, 179.2
1976, 145.2
1977, 91
1978, 102.7
1979, 289.4
1980, 174.4
1981, 275.9
1982, 181.8
1983, 0
1984, 92.6
1985, 33
1986, 42.8
1987, 104.8
1988, 75.1
1989, 77.2
1990, 79
1991, 142
1992, 159.7
1993, 139
1994, 229.6
1995, 123.2
1996, 364.2
1997, 232.7
1998, 139.4
1999, 408.6
2000, 119
2001, 265.6
2002, 191.9
2003, 0
2004, 123
2005, 379.6
2006, 31.2
2007, 252.6
2008, 36
2009, 60.2
2010, 89.6
2011, 35
2012, 111.4
2013, 106
2014, 118.4
2015, 291.6
2016, 152.8
2017, 212.6
2018, 241.4
2019, -99.9
