year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 14, 15.4, 11.2, 9.6, 19, 16.6, 26, 8.8, 54.8, 18.2, 26.2, 10.8, 54.8
1972, 58, 21.8, 8.8, 49.2, 12.2, 6.8, 18.8, 27.8, 62.2, 10.4, 22.4, 19.8, 62.2
1973, 30.4, 19, 77.2, 28, 13.6, 18.2, 16.6, 9.2, 40, 18.8, 18.8, 6.6, 77.2
1974, 10.2, 8.2, 15.6, 15.4, 12.8, 23.2, 51.4, 15, 7, 15.8, 15, 10, 51.4
1975, 2.2, 11.8, 10.2, 12.4, 21, 24, 14.4, 46.6, 11.8, 34.2, 41.6, 2.4, 46.6
1976, 9, 19.2, 22.6, 13.2, 13.8, 9.2, 25.4, 73.8, 71.4, 24.8, 11.5, 12.6, 73.8
1977, 10.6, 13.4, 31.4, 8.4, 5.2, 14, 30.4, 19.6, 8.6, 29.2, 21.8, 11.8, 31.4
1978, 29.4, 7.4, 15.2, 19.8, 14.6, 15.4, 22.8, 8.2, 12, 44, 25, 23.6, 44
1979, 12.4, 16, 12.6, 4.2, 0, 12.4, 70.8, 49.6, 53, 4.8, 35.8, 13.4, 70.8
1980, 7.2, 3.8, 9.4, 26.8, 27.8, 8.6, 2, 10.2, 10.6, 21.8, 54.4, 12.4, 54.4
1981, 60.2, 10.8, 10.8, 9.2, 24.6, 70.1, 16.6, 20.4, 51, 7, 3.4, 20, 70.1
1982, 5.8, 3.8, 26.2, 15.2, 25.6, 5, 36.2, 52.2, 23.6, 20.8, 66, 16.6, 66
1983, 9.8, 10, 17, 17, 7.6, 12, 2.4, 16.6, 3, 19.2, 1, 8, 19.2
1984, 6.4, 15.4, 31.2, 9.4, 23.6, 5.8, 12, 26.4, 28, 33.4, 13.2, 21.4, 33.4
1985, 7, 7.6, 15, 11.2, 12.2, 6.6, 1.6, 12, 1.2, 33, 17.4, 19.4, 33
1986, 20, 11, 23.8, 26, 14, 10, 42.8, 4.4, 12.6, 20.2, 13, 0, 42.8
1987, 25.4, 13.6, 6, 7.2, 14.6, 13.6, 8.4, 4, 6, 34.8, 42.2, 20, 42.2
1988, 4, 24.6, 12.6, 8.1, 25.4, 47.4, 0.5, 27.7, 22.4, 5.4, 10.3, 18, 47.4
1989, 0.6, 3.6, 7, 7.8, 25.8, 6, 50.2, 27, 21.85, 1.8, 19.1, 0.2, 50.2
1990, 0.9, 10.2, 45.7, 16.2, 4.4, 7.4, 8.1, 9.8, 14.8, 33.3, 16.9, 7.2, 45.7
1991, 14.6, 7.1, 12.6, 41, 20.7, 19.6, 21.4, 27.3, 16.2, 20.6, 40.1, 21.1, 41
1992, 6.4, 12.4, 17.5, 14.3, 4.3, 43.1, 15.7, 28.2, 9.4, 30.9, 10.4, 26.9, 43.1
1993, 0.8, 0.7, 24.8, 18.6, 8.1, 26.2, 34.9, 38.9, 19, 28.7, 13.9, 12.8, 38.9
1994, 26.1, 10.4, 9.2, 63.6, 6.7, 45.7, 12.3, 10.6, 63.9, 11.5, 11.2, 7.7, 63.9
1995, 4.6, 17.4, 17.9, 7.6, 18.8, 52.6, 25.7, 25, 15.5, 12.1, 21, 35.2, 52.6
1996, 16.4, 21.6, 26.4, 28.2, 60.4, 13.2, 9.6, 7.8, 69.4, 89.8, 10.6, 41.2, 89.8
1997, 14.2, 12.6, 28, 37.2, 15.6, 21.6, 10.2, 26.3, 30.8, 15.8, 33.4, 48.4, 48.4
1998, 6.8, 7, 20, 12.2, 31.6, 22, 15, 2.8, 31.4, 25.8, 21.8, 40, 40
1999, 18.6, 20, 6.8, 12.8, 23.4, 41.2, 2.4, 97.4, 60.8, 20.6, 57.8, 24, 97.4
2000, 22.6, 9.4, 15.4, 14.2, 4.6, 9.8, 16, 21.4, 7.2, 41.6, 44.8, 32.6, 44.8
2001, 41, 9, 36.8, 50.2, 17.6, 3.6, 16.4, 109.6, 28, 11.6, 12.8, 10.8, 109.6
2002, 7.8, 22.6, 0.2, 28.6, 23.4, 6, 25.6, 46.4, 19.2, 16.6, 14.6, 30.8, 46.4
2003, 21.2, 13, 18.4, 9, 26.8, 1.4, 13.4, 9, 14.6, 22, 23, 4.8, 26.8
2004, 21.6, 24.4, 33, 21, 7.6, 9.2, 9.8, 8.2, 28, 33.4, 17.4, 28.6, 33.4
2005, 1.8, 29.2, 5, 42.4, 15.8, 10.6, 5.2, 40.2, 92.2, 49, 27.4, 12.2, 92.2
2006, 3.4, 15.2, 19, 15, 21.6, 6, 6.8, 22.8, 31.2, 6.2, 8.4, 2.8, 31.2
2007, 10.4, 9.4, 47.8, 6.6, 30.4, 10.6, 5, 12.8, 107.4, 40, 5.6, 26, 107.4
2008, 8.4, 14.4, 36, 13.4, 21.8, 13, 24.6, 2.8, 22.2, 8, 18.4, 15.4, 36
