year, sdii
1970, -99.9
1971, 7.6
1972, 9.3
1973, 10.8
1974, 5.9
1975, 9.1
1976, 8.4
1977, 6.7
1978, 7.4
1979, 9.1
1980, 7.9
1981, 11.3
1982, 9.4
1983, 5.4
1984, 7.1
1985, 6
1986, 7.7
1987, 8.2
1988, 7.9
1989, 7.3
1990, 6.6
1991, 8.7
1992, 9
1993, 9.6
1994, 9.5
1995, 8.5
1996, 10.9
1997, 9.1
1998, 8.1
1999, 12.2
2000, 8.8
2001, 8.4
2002, 9.6
2003, 6.8
2004, 6.8
2005, 10.2
2006, 7.7
2007, 9.6
2008, 6.9
2009, 5.8
2010, 8
2011, 6.8
2012, 7.7
2013, 8.3
2014, 7.6
2015, 10.7
2016, 9.4
2017, 9.6
2018, 9.8
2019, -99.9
