year, su
1970, -99.9
1971, 82
1972, 28
1973, 104
1974, 107
1975, 115
1976, -99.9
1977, 79
1978, 56
1979, -99.9
1980, 89
1981, -99.9
1982, 100
1983, 80
1984, -99.9
1985, 128
1986, 116
1987, 80
1988, 118
1989, 102
1990, 124
1991, 123
1992, 135
1993, 134
1994, 124
1995, 119
1996, 128
1997, 146
1998, 106
1999, 121
2000, 132
2001, -99.9
2002, 100
2003, 133
2004, 113
2005, 99
2006, 108
2007, 112
2008, 101
2009, 127
2010, 97
2011, 140
2012, 122
2013, 101
2014, 89
2015, 105
2016, 100
2017, 117
2018, 127
2019, -99.9
