year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 5.1, 8.25, 8.96, 17.11, 21.92, 25.23, 28.81, 30.16, 21.25, 17.75, 12.21, 6.04, 16.95
1972, 6.52, 9.93, 14.94, 15.71, 14.09, 18.7, 19.64, 27, 19.9, 16.39, 12.62, 6.45, 15.17
1973, 5.69, 9.14, 10.83, 14.97, 22.02, 27.71, 31.39, 30.55, 25.26, 18.83, 9.43, 5.59, 17.67
1974, 5.57, 10.83, 11.97, 16.06, 22.18, 26.25, 31.38, 31.85, 25.59, 14.33, 10.38, 5.35, 17.68
1975, 5.01, 8.28, 12.27, 17.3, 23.51, 26.86, 31.53, 29.25, 26.56, 18.76, 10.55, 5.05, 17.96
1976, 6.33, 11.79, -99.9, -99.9, -99.9, 26.66, 28.9, 24.47, 22.7, 18.35, 12.38, 6.74, -99.9
1977, 6.9, 10.96, 15.52, 16.7, 21.39, 26.4, 28.68, 26.19, 22.57, 19.35, 12.17, 6, 17.8
1978, 8.23, 7.46, -99.9, 14.93, 19.45, 24.4, 26.59, 25.93, 24.03, 18.16, 10.53, -99.9, 16.75
1979, 3.63, 8.66, 14.4, 15.32, 22.84, 27.7, 27.1, 26.81, 23.77, 19.05, -99.9, -99.9, -99.9
1980, 4.44, 8.74, 13.15, 15.38, 18.97, 24.75, 27.56, 28.66, 25.2, -99.9, -99.9, 5.39, 16.93
1981, 4.94, 7.7, 14.48, 17.5, 21.7, -99.9, 27, 28.03, 24.61, 20.15, -99.9, 7.06, -99.9
1982, 3.65, 5.36, 11.32, 15.55, 21.84, 26.87, 28.15, 27.56, 25.93, 17.74, 11.08, 7.94, 16.95
1983, 5.03, 6.3, 12.79, 17.58, 21.69, 24.83, 30.53, 27.27, 25.13, 19.29, 10.41, 6.63, 17.38
1984, 5.73, 6.84, -99.9, -99.9, 20.71, 25.55, 28.85, 26.97, 24.28, 19.71, 11.64, 7.97, -99.9
1985, 1.35, 7.38, 12.49, 18.68, 23.02, 25.77, 31.21, 30.48, 28.07, 21.06, 10.58, 8.05, 18.24
1986, 7.52, 5.7, 12, 18.05, 26, 26.5, 28.29, 30.73, 25.68, 21.45, 8.77, 4, 17.97
1987, 0.11, 4.93, 8.05, 15.48, 18.29, 23.13, 27.97, 26.35, 26.08, 18.24, 11.45, 5.92, 15.55
1988, 9.5, 11.92, 15.35, 17.97, 23.52, 26.61, 32.16, 31.88, 26.07, 22.39, 9.61, 7.38, 19.62
1989, 4.93, 11.22, 16.57, 18.64, 23.83, 27.27, 28.78, 29.2, 24.06, 18.42, 11.65, 7.28, 18.53
1990, 7.53, 12.88, 17.44, 18, 24.96, 27.94, 30.49, 31.11, 26.9, 21.24, 13.88, 7.19, 20.01
1991, 6.74, 5.64, 16.24, 17.09, 19.97, 28.26, 32.31, 31.69, 28.69, 19.75, 12.05, 6.81, 18.86
1992, 5.14, 12.03, 14.16, 18.76, 24.74, 27.11, 30.95, 33.92, 27.85, 19.61, 14.37, 9.52, 19.87
1993, 7.91, 10.82, 14.34, 20.4, 26.1, 29.81, 30.5, 32.28, 25.97, 20.35, 11.44, 9.39, 20.02
1994, 10.26, 9.08, 18.57, 17.75, 24.28, 28.17, 33.48, 33.98, 26.7, 19.46, 13.32, 7.85, 20.32
1995, 8.05, 12.09, 13.67, 18.02, 24.17, 26.93, 33.07, 29.67, 25.75, 21.87, 12.07, 6.92, 19.4
1996, 6.74, 8.56, 12.35, 19.82, 25.7, 31.03, 31.1, 31.61, 24.29, 20.6, 16.01, 6.98, 19.59
1997, 7.43, 12.27, 17.85, 17.82, 25.93, 28.3, 31.86, 31.18, 28.72, 20.79, 13.07, 7.18, 20.25
1998, 6.48, 13.04, 13.89, 18.44, 22.57, 28.36, 30.66, 31.85, 24.91, 20.29, 11.34, 5.53, 18.98
1999, 8.12, 9.66, 14.82, 18.13, 24.15, 27.2, 29.99, 30.76, 27.26, 19.14, 10.85, 7.22, 19
2000, 5.78, 10.43, 14.98, 19.74, 25.76, 29.53, 29.61, 31.89, 27.46, 20.14, 15.19, 8.68, 19.95
2001, 7.63, 11.29, 16.49, 16.89, 24.78, -99.9, 30.4, 32.53, -99.9, -99.9, -99.9, 5.14, -99.9
2002, 4.78, 10.63, 16.6, 17.11, 23.29, 28.91, 29.6, 28.9, 24.01, 20.35, 15.5, 8.26, 19.04
2003, 7.71, 8.76, 15.29, 17.4, 25.2, 32.51, 31.61, 34.6, 25.77, 18.7, 13.96, 9.99, 20.19
2004, 7.04, 10.47, 13.15, 17.92, 21.39, 27.47, 29.64, 30.46, 26.2, 20.82, 14.17, 9.58, 19.07
2005, 6.29, 7.69, 13.24, 16.8, 23.31, 27.52, 29.76, 26.92, 25.27, 17.99, 11.53, 7.08, 17.84
2006, 4.78, 9.84, 11.78, 18.62, 22.79, 27.33, 31.25, 26.99, 25.83, 21.74, 15.28, 9.82, 18.88
2007, 9.42, 11.81, 15.35, 20.79, 24.99, 27.77, 31.38, 28.72, 23.93, 18.57, 12.5, 7.81, 19.46
2008, 8.87, 10.4, 14.4, 18.37, 22.37, 27.24, 30.61, 30.47, 24.26, 21.41, 14.26, 8.28, 19.27
2009, 6.15, 10.33, 14.62, 18.33, 26.2, 26.39, 30.16, 30.89, 26.25, 19.78, 12.81, 7.55, 19.17
2010, 4.62, 8.81, 12.95, 17.93, 22.63, 26.62, 30.87, 28.66, 24.01, 18, 13.71, 6.02, 17.95
2011, 5.5, 10.58, 12.89, 20.72, 23.99, 26.99, 28.84, 31.15, 28.69, 20.04, 12.91, 10.22, 19.42
2012, 7.54, 5.53, 17.43, 17.6, 22.78, 29.38, 32.17, 31.67, 25.09, 20.8, 15.12, 6.07, 19.31
2013, 7.09, 7.85, 12.07, 17.89, 21.32, 26.65, 30.44, 30.09, 26.07, 19.36, 14.93, 9.72, 18.68
2014, 10.31, 12.75, 15.7, 19.48, 22.31, 27.35, 27.72, 28.4, 23.65, 21.96, 15.61, 9.34, 19.58
2015, 9.62, 10.32, 13.51, 18.59, 22.68, 27.79, 32.47, 30.18, 25.66, 18.22, 13.92, 8.34, 19.32
2016, 9.03, 12.07, 14.27, 18.74, 21.88, 26.53, 30.56, 28.94, 26.44, 18.41, 13.42, 7.71, 19.01
2017, 6.2, 11.26, 17.06, 19.51, 22.82, 29.8, 30.57, 31.23, 24.31, 21.27, 13.7, 9.9, 19.85
2018, 10.05, 7.73, 11.55, 20.71, 24, 28.07, 30.7, 31.34, 26.79, 21.15, 14.71, 7.36, 19.58
2019, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
