year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, -0.22, 0.5, 1.48, 8.05, 11.41, 13.82, 17.47, 19.05, 12.85, 7.56, 4.07, 0.28, 8.07
1972, 2.29, 4.65, 5.96, 8.66, 6.97, 11.29, 12.56, 16.85, 12.69, 8.84, 5.12, 3.06, 8.25
1973, 1.16, -0.27, 0.56, 4, 11.58, 16.04, 19.1, 18.26, 16.15, 9.53, 1.42, -2.92, 7.93
1974, 0.48, 3.18, 3.76, 6.59, 11.43, 14.98, 19.01, 19.58, 14.96, 5.09, 3.9, -2.55, 8.39
1975, -1.04, -0.4, 3.7, 6.41, 12.39, 14.99, 18.61, 18.6, 16.97, 8.6, 4.38, -0.94, 8.57
1976, 1.42, 3.97, -99.9, -99.9, -99.9, 13.37, 16.9, 14.19, 11.53, 10.42, 5.9, 1.39, -99.9
1977, 1.47, 4, 5.74, 5.33, 10.84, 13.63, 16.42, 15.68, 10.9, 11, 4.88, -0.68, 8.32
1978, 0.61, 1.21, -99.9, 7.7, 11.39, 13.67, 15.27, 15.17, 12.73, 8.61, 0.73, 0.32, 7.77
1979, -3.38, 3.29, 4.63, 5.62, 9.83, 15.8, 16.47, 15.87, 13.27, 10.43, -99.9, -99.9, -99.9
1980, -0.79, 1, 4.71, 5.7, 11.06, 14.57, 15.72, 17.98, 14.37, -99.9, -99.9, -0.63, 8.24
1981, -2.82, -0.36, 5.66, 8, 11.03, -99.9, 15.77, 16.39, 15.2, 10.47, -99.9, -0.58, -99.9
1982, -0.94, -1.95, 1.58, 5.12, 10.03, 15.02, 18.23, 16.58, 15.21, 9.74, 4.97, 1.53, 7.96
1983, -2.48, -2.04, 3.06, 7.6, 10.89, 13.7, 18.45, 16.37, 13.55, 7.81, 1.25, -1.06, 7.32
1984, -1.84, -0.72, -99.9, -99.9, 10.32, 14.15, 16.45, 16.1, 14.08, 10.95, 5.93, 2.89, -99.9
1985, -5.55, -0.77, 4.71, 7.08, 12.34, 15.25, 18.52, 16.04, 14.08, 9.76, 4.92, 2.71, 8.31
1986, 0.15, 0.38, 3.44, 9.33, 14.1, 14.97, 17.53, 17.92, 13.48, 9.26, 1.82, -5.29, 8.13
1987, -5.9, -2.55, -3.76, 3.4, 5.9, 11.5, 15.87, 15.66, 15.28, 11, 5.13, 1.45, 6.12
1988, 1.58, -0.93, 0.66, 6.15, 10.7, 12.95, 16.23, 15.95, 11.5, 10.62, -0.08, -1.68, 7.07
1989, -3.41, -0.11, 3.04, 6.51, 9.61, 12.53, 16.86, 16.34, 13.24, 6.62, 3.13, -0.35, 7.05
1990, -3.4, 0.79, 1.65, 5.38, 9.26, 12.03, 15.28, 14.76, 12.04, 11.35, 3.44, -1.98, 6.76
1991, -1.87, -5.48, 5.02, 3.49, 6.91, 11.88, 15.83, 16.56, 13.69, 7.95, 2.28, -3.15, 6.17
1992, -0.41, -1.1, 2.06, 6.36, 10, 13.24, 16.4, 18.16, 11.71, 9.28, 3.13, -0.12, 7.43
1993, -2.74, -5.02, -0.57, 4.58, 10.48, 13.12, 16.25, 18.09, 12.02, 9.94, 3.77, 0.06, 6.76
1994, 0.28, -0.6, 3.31, 5.85, 10.66, 13.95, 17.69, 18.29, 14.26, 7.89, 7.58, 1.54, 8.44
1995, -1.84, 0.99, 1.42, 5.66, 10.44, 12.25, 17.33, 16.31, 10.83, 8.08, 2.45, 1.37, 7.15
1996, 1.42, -1.26, 0.76, 6.74, 10.25, 12.94, 14.21, 14.86, 9.94, 8.42, 5.69, 0.67, 7.08
1997, 0.68, 0.19, 2.15, 3.37, 10.41, 15.59, 15.58, 17.33, 13.35, 9.14, 5.26, 0.75, 7.86
1998, 0.02, -0.2, 1.65, 6.38, 10.32, 14.89, 17.45, 17.66, 12.94, 8.56, 1.98, -1.78, 7.54
1999, -0.47, -1.54, 3.97, 7.81, 13.3, 14.85, 16.9, 18.22, 15.19, 10.5, 3.5, -0.85, 8.51
2000, -2.97, -0.15, 3.74, 9.03, 12.9, 15.68, 15.97, 17.36, 12.98, 11.42, 6.21, 2.23, 8.72
2001, 1.63, 0.32, 6.59, 5.89, 13.19, -99.9, 17.72, 18.46, -99.9, -99.9, -99.9, -3.46, -99.9
2002, -3.79, 2.74, 3.69, 7.25, 12.16, 16.79, 17.64, 17.04, 13.22, 9.38, 8.12, 3.31, 8.99
