year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 6.18, 0, 33.36, 0, 6.04, 13.33, 9.2, 0, 6.67, 29.03, 13.26, 3.02, 10.11
1972, 0, 0, 0, 10, 63.14, 39.93, 76.32, 8.58, 15.82, 12.77, 3.33, 0, 19.34
1973, 0, 3.57, 35.21, 44.61, 6.45, 6.67, 6.45, 0, 0, 19.35, 32.41, 41.52, 16.41
1974, 0, 0, 9.54, 6.31, 3.16, 9.15, 0, 0, 6.67, 48.39, 22.77, 22.24, 10.77
1975, 14.76, 17.02, 12.9, 16.67, 0, 16.31, 3.23, 0, 0, 3.23, 16.17, 29.03, 10.71
1976, 0, 0, 9.09, -99.9, 42.06, 16.67, 6.45, 57.17, 46.67, 3.23, 0, 3.23, -99.9
1977, 3.33, 0, 0, 23.26, 14.28, 6.67, 9.27, 21.48, 48.87, 9.2, 6.67, 8.24, 12.61
1978, 2.75, 0, 0, 2.91, 5.22, 15.6, 26.24, 35.74, 6.67, 9.27, 39.57, 7.14, 12.66
1979, 39.65, 0, 0, 15.74, 26.31, 0, 23.11, 19.35, 6.38, 7.14, -99.9, 0, -99.9
1980, 15.24, 0, 0, 19.57, 3.23, 6.67, 23.33, 5.56, 6.45, 2.98, 7.68, 12.63, 8.67
1981, 12.9, 3.57, 0, 6.24, 5.89, 19.89, 24.5, 21.62, 0, 0, -99.9, 0, -99.9
1982, 6.45, 31.99, 19.35, 25.82, 3.23, 0, 0, 9.47, 0, 0, 0, 0, 7.85
1983, 9.68, 28.34, 0, 2.62, 0, 9.29, 0, 22.58, 3.26, 22.24, 33.33, 19.01, 12.4
1984, 3.23, 16.95, -99.9, 9.42, 6.31, 0, 8.99, 6.31, 0, 0, 0, 0, -99.9
1985, 38.37, 13.91, 5.97, 3.33, 0, 9.5, 0, 15.72, 10, 15.85, 0, 0, 9.39
1986, 3.23, 3.57, 3.09, 0, 3.09, 5.89, 3.09, 6.38, 9.08, 6.45, 29.15, 60.6, 11.2
1987, 56.49, 39.21, 73.99, 45.25, 74.19, 30, 16.13, 18.94, 0, 12.42, 2.77, 2.54, 31.05
1988, 3.23, 9.83, 24.14, 10, 12.7, 28.09, 16.13, 32.26, 29.5, 6.45, 43.26, 39.15, 21.28
1989, 28.83, 14.29, 3.33, 9.79, 19.08, 32.55, 12.35, 22.58, 12.62, 48.39, 26.24, 28.55, 21.62
1990, 44.89, 7.14, 22.27, 22.34, 28.07, 39.5, 34.59, 40.49, 23.12, 12.56, 22.7, 29.03, 27.39
1991, 41.39, 57.14, 6.67, 42.48, 67.67, 43.33, 22.58, 9.68, 12.91, 25.81, 35.53, 32.26, 32.92
1992, 0, 6.9, 15.72, 9.01, 12.49, 22.91, 6.45, 0, 22.62, 25.46, 22.41, 27.73, 14.33
1993, 25.81, 78.57, 44.54, 26.67, 9.06, 16.67, 22.58, 12.9, 32.41, 0, 16.6, 0, 23.38
1994, 9.4, 20.67, 3.23, 16.45, 12.9, 6.67, 0, 0, 3.33, 35.07, 0, 3.23, 9.18
1995, 12.7, 7.14, 16.13, 16.6, 12.42, 26.67, 0, 16.13, 32.91, 28.62, 35.74, 0, 17.05
1996, 0, 16.58, 38.16, 3.33, 12.49, 30, 38.16, 32.12, 40, 11.87, 8.94, 24.98, 21.48
1997, 0, 0, 9.54, 39.43, 6.45, 6.24, 28.55, 12.01, 29.72, 12.42, 3.33, 6.38, 12.87
1998, 9.68, 10.18, 22.44, 6.67, 5.9, 3.33, 12.56, 9.4, 20, 24.43, 20, 22.37, 13.96
1999, 9.27, 10.71, 3.23, 0, 0, 10, 3.23, 3.23, 0, 11.67, 15.96, 0, 5.56
2000, 16.13, 0, 6.11, 0, 0, 0, 28.41, 11.6, 3.33, 0, 0, 6.45, 6.11
2001, 0, 0, 0, 12.91, 0, 7.69, 3.23, 3.45, 37.73, 0, 8.07, 42.96, -99.9
2002, 44.96, 0, 12.9, 0, 0, 0, 3.16, 3.23, 16.38, 12.42, 3.19, 0, 8.12
2003, 6.45, 49.7, 21.48, 19.08, 11.94, 0, 3.09, 0, 12.27, 21.48, 0, 0, 11.86
2004, 5.97, 0, 9.68, 3.33, 12.9, 3.33, 15.65, 0, 0, 0, 6.67, 0, 4.85
2005, 0, 6.69, 9.68, 0, 0, 3.33, 0, 12.9, 0, 0, 0, 0, 2.7
2006, 6.45, 0, 0, 0, 3.23, 5.67, 0, 3.23, 0, 0, 3.05, 0, 1.81
2007, 0, 0, 0, 0, 0, 0, 0, 0, 3.12, 0, 0, 0, 0.26
2008, 0, 0, 0, 0, 0, 0, 0, 0, 3.33, 2.75, 0, 0, 0.51
2009, 3.23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.68, 1.1
2010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.76, 1.25
2011, 0, 0, 0, 0, 0, 0, 5.42, 0, 0, 3.23, 3.33, 0, 1.01
2012, 2.47, 40.5, 0, 0, 3.09, 0, 0, 0, 0, 0, 0, 0, 3.69
2013, 0, 0, 0, 0, 0, 2.41, 0, 0, 0, 0, 0, 0, 0.2
2014, 0, 0, 0, 0, 0, 0, 0, 3.23, 0, 0, 0, 0, 0.27
2015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2018, 0, 6.76, 5.35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.97
2019, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
