year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, -9.1, -2.9, -5.8, 4, 8, 8.5, 11.6, 15.8, 7.8, 0.6, -2.3, -5, -9.1
1972, -1, 0, 1.2, 4, 3.2, 6.4, 8.4, 14, 6.3, 1.1, -1.9, -1.8, -1.9
1973, -2.3, -4.6, -22, -1.9, 6, 1.9, 12.8, 15.2, 9.7, -0.6, -5.3, -9.6, -22
1974, -3.2, -2, -2.3, 1, 7.4, 8.4, 14.3, 14.9, 6.8, -0.8, -0.8, -6.4, -6.4
1975, -7.1, -5.3, -3, 1.6, 6.7, 7.6, 13.3, 15, 12.9, 3, -5.7, -6.6, -7.1
1976, -3, -4, -99.9, -99.9, -99.9, 6, 13, 10, 8, 3, -1, -6, -99.9
1977, -99.9, -2, -1, 1, 6, 6, 13, 12, 3, 4, -3, -5, -5
1978, -6, -2, -99.9, 2, 7, 10, 10, 10, 7, 1, -4, -5, -6
1979, -99.9, -2, -1, 1, 3, 11, 1.6, 11, 9, 4, -99.9, -99.9, -99.9
1980, -6.5, -2, -2, 2, 7, 9, 12, 12, 10, -99.9, -99.9, -5, -6.5
1981, -8.5, -4, 1, 0, 5.5, -99.9, 11, 11, 10, 3, -99.9, -4, -99.9
1982, -5, -6, -2, 1, 2.5, 11, 14, 12, 11, 5.5, -1, -3, -6
1983, -6.5, -7, -3, 2.5, 7.5, 9, 14.5, 11.5, 8.5, 1, -5, -7, -7
1984, -7, -6, -99.9, -99.9, 3.5, 11, 11, 11.5, 10, 6, 0, -2, -99.9
1985, -20, -15, -0.5, 2.5, 6.5, 10, 14, 7, 8, 2.5, -0.5, -1, -20
1986, -4.5, -4, -1, 4.5, 8, 9, 13, 10.5, 8.5, 2.5, -5, -11.5, -11.5
1987, -13.5, -11, -11, -4, 1, 7.5, 11.5, 10.5, 9.5, 5, -0.5, -3.5, -13.5
1988, -5.2, -6.4, -6.6, 0.1, 5.8, 8.3, 8.9, 10.5, 8, -0.2, -6.4, -8.8, -8.8
1989, -7.6, -6.7, -2.8, 1.2, 3.5, 7.9, 12.8, 10.4, 8.8, 2.9, -4.6, -5.6, -7.6
1990, -9.7, -4.6, -5.7, 0.7, 3.3, 1.9, 11.6, 9.2, 6.4, 2.7, -4.3, -6.1, -9.7
1991, -8.2, -17.7, -0.6, -2.2, 4, 7.3, 7.5, 11.7, 9.7, 0.1, -4.7, -6.8, -17.7
1992, -4.6, -4.9, -4.5, 0.2, 5.9, 8.6, 9.8, 13.7, 5.8, 1.9, -5.3, -7.3, -7.3
1993, -10.9, -8, -7.7, -0.7, 5.6, -30, 11.1, 8.7, 5.6, 3.7, -3.7, -4.9, -30
1994, -4.9, -5.7, -2.3, -1, 3.8, 8.1, 14.9, 13, 6.6, 3.4, -0.1, -4.3, -5.7
1995, -6.6, -5.5, -2.8, -2, 3.1, 8.1, 13.7, 9.2, 3.9, -0.8, -4.3, -1.6, -6.6
1996, -3.5, -6.1, -6, 1.2, 5.7, 7.1, 8.9, 11.1, 4.5, 2.2, -1.9, -11.4, -11.4
1997, -4.3, -3.1, -3.1, -2.7, 5.9, 10.3, 11.7, 12, 6.2, 1, -3, -4.7, -4.7
1998, -6.2, -4.7, -3.9, 1.6, 5.1, 10.6, 11.6, 9, 7.5, 3.6, -30, -5.7, -30
1999, -5.8, -5.9, -2, 3.7, 8.4, 10.7, 13.7, 14.4, 12.7, 5, -2.3, -4.8, -5.9
2000, -7.7, -4.2, -2.2, 2.5, 8.1, 10.1, 9.8, 12.7, 9.3, 5.5, -0.7, -6.7, -7.7
2001, -2, -3.7, -1.4, 0.8, 9.3, -99.9, 13.8, 13.2, -99.9, -99.9, -99.9, -7.3, -99.9
2002, -8.8, -1.4, -1, 2.7, 7.1, 12.3, 12.4, 14.2, 7.2, 3.9, 0, -1.4, -8.8
2003, -6.5, -6.3, -2.3, -3, 6.3, 14.3, 13.6, 16.3, 7.7, -1, 3.9, -4.5, -6.5
2004, -5.2, -3.6, -3.3, 2.8, 5.1, 10.7, 10.3, 14, 8, 7.4, -3.9, -4.5, -5.2
2005, -4.5, -5, -5.7, 3.4, 9.2, 10, 15.6, 12.7, 12.8, 8.6, -1.8, -3, -5.7
2006, -5.9, -3.2, -0.4, 3.7, 7.9, 7.4, 16.6, 14.1, 12.9, 7.3, 1.5, -2, -5.9
2007, 0.8, -0.2, 1.8, 5.7, 10.2, 12.8, 13.7, 15.3, 10, 6.7, 1.1, -4, -4
2008, -1.5, -2.5, 1.1, 5.5, 8.8, 10.4, 14.7, 15.7, 7.6, 7.5, -0.2, -1, -2.5
2009, -6.4, -2.9, 1.9, 7.2, 9.4, 13.7, 16, 18.3, 13.4, 5.1, 4.5, -9.6, -9.6
2010, -3.1, -4.6, -0.3, 5, 10.4, 11.8, 16.3, 15.2, 9.8, 4.3, 1.3, -5.9, -5.9
2011, -2.7, -2.4, -1.2, 5.7, 7.7, 14.2, 13.6, 15.7, 14.2, 4.3, -1.9, -1.1, -2.7
2012, -4.3, -9.8, 1.4, 3.4, 7.5, 14.7, 17.6, 16.5, 10.5, 2.6, 3.9, -3.1, -9.8
2013, -1.1, -0.7, 1.2, 5.3, 8.9, 12.4, 14.2, 16.3, 12.5, 10.4, 0.8, -1.8, -1.8
2014, 0.2, 3.3, 3.7, 6.5, 8, 11.5, 14.8, 14.1, 11, 5.2, 4.6, -1.8, -1.8
2015, -2.7, 0.1, 2.7, 3.3, 10.4, 13.8, 18, 16.3, 12.4, 6.3, 0.3, -1, -2.7
2016, -2.7, 1.7, 0.4, 6.9, 8.6, 14.8, 15.7, 14.7, 11.9, 6.8, 1.5, -2.7, -2.7
2017, -4.3, 1.4, 3.8, 3.8, 5.8, 13.8, 16, 16.7, 10.6, 8.2, 1.2, -1.9, -4.3
2018, 0.3, -4.9, -7.1, 7.9, 10.4, 14.5, 18.3, 13.4, 8.1, 8.9, 2, -2.8, -7.1
2019, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
