year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 5, 5.5, 9.3, 12.5, 14.1, 17.8, 23, 22.7, 19.1, 16, 13.6, 5.8, 23
1972, 6.1, 9.4, 9.6, 12, 13, 14.7, 18.3, 20.8, 18.7, 14.7, 9.9, 9, 20.8
1973, 6.7, 4.8, 10, 11, 15.8, 21.1, 31, 21.8, 20.2, 17, 7, 8, 31
1974, 3.9, 7.9, 11, 12.3, 17.3, 21.2, 30.9, 31.9, 19.7, 12.5, 8.2, 2.9, 31.9
1975, 5.4, 4.7, 9, 11.9, 17.6, 19.6, 22.9, 22.2, 21.1, 17.1, 11.2, 5.3, 22.9
1976, 6, 8, -99.9, -99.9, -99.9, 19, 21, 20, 18, 18, 13, 8, -99.9
1977, 6, 12, 12, 12, 18, 16, 20, 19, 18, 17, 11, 5, 20
1978, 10, 8, -99.9, 11, 16, 19, 19, 19, 17, 17, 8, 5, 19
1979, 5, 8, 10, 11, 15, 19, 21, 21, 18, 17, -99.9, -99.9, -99.9
1980, 5, 5, 9, 10, 15, 18, 19, 22, 18, -99.9, -99.9, 5, 22
1981, 1, 5, 13, 12.5, 16.5, -99.9, 19.5, 22, 20, 16, -99.9, 3, -99.9
1982, 3, 4.5, 7, 9, 16, 19, 21, 19, 19, 15, 11, 10.5, 21
1983, 1, 3.5, 9, 12.5, 15, 18, 25, 23, 19, 14.5, 11, 4.5, 25
1984, 2.5, 4.5, -99.9, -99.9, 14, 19.5, 23, 19, 19, 17, 11.5, 8, -99.9
1985, 1, 4.5, 9.5, 11.5, 17.5, 19, 24, 20, 19, 14.5, 11.5, 9, 24
1986, 5, 6, 10, 14, 18.5, 21, 20.5, 22, 19.5, 15, 9, 1, 22
1987, -1, 4.5, 6.5, 9, 12, 14.5, 21, 20.5, 19, 15.5, 10, 5.5, 21
1988, 7.4, 7.4, 6.8, 10.6, 13.4, 17.6, 20.1, 23.5, 15.8, 17.9, 6.8, 6.8, 23.5
1989, 1.3, 8.6, 9.5, 11.4, 14.3, 19.1, 20.6, 20.5, 15.9, 10.4, 11.1, 9.6, 20.6
1990, 4.9, 7.2, 8.4, 10.6, 18.2, 18.8, 19.9, 18.9, 17, 18, 12.3, 3.9, 19.9
1991, 6.5, 4.6, 11.8, 9.5, 10.5, 17.7, 20.3, 19.6, 17.7, 16.4, 7.3, 1.1, 20.3
1992, 5, 3.4, 7.6, 12.7, 16.9, 19.5, 20.9, 21.5, 16, 15.2, 9.7, 7.6, 21.5
