year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0.82
1972, 0, 0, 6.45, 0, 0, 0, 0, 0, 0, 0, 13.33, 3.23, 1.92
1973, 3.23, 0, 0, 5.74, 3.09, 10, 19.35, 6.04, 16.67, 6.45, 0, 18.39, 7.47
1974, 9.68, 10.71, 0, 0, 6.45, 3.33, 19.35, 28.83, 0, 0, 3.33, 0, 6.83
1975, 3.23, 0, 0, 0, 12.9, 3.33, 22.31, 0, 12.84, 6.45, 0, 3.23, 5.42
1976, 3.33, 26.71, 0, -99.9, 25.94, 0, 0, 0, 0, 0, 0, 9.68, -99.9
1977, 9.57, 16.72, 12.9, 2.77, 0, 0, 0, 0, 0, 0, 0, 0, 3.42
1978, 15.24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.81, 2.55
1979, 6.67, 3.57, 6.03, 0, 0, 9.5, 0, 0, 0, 3.57, -99.9, 8.33, -99.9
1980, 6.45, 0, 0, 0, 0, 0, 0, 0, 0, 12.06, 0, 3.16, 1.84
1981, 3.23, 7.14, 0, 9.5, 6.67, 5, 0, 0, 5.89, 0, -99.9, 12.7, -99.9
1982, 3.23, 0, 0, 0, 0, 3.33, 0, 0, 0, 0, 0, 15.37, 1.85
1983, 3.23, 0, 0, 0, 3.23, 0, 9.68, 0, 0, 0, 3.45, 9.68, 2.48
1984, 6.45, 0, -99.9, 47.62, 6.45, 0, 6.45, 0, 0, 6.45, 0, 15.58, -99.9
1985, 0, 0, 0, 10, 3.23, 3.33, 9.68, 9.4, 32.91, 25.6, 3.33, 6.38, 8.69
1986, 12.01, 0, 0, 5.67, 25.19, 3.33, 0, 6.45, 13.33, 16.13, 0, 0, 6.91
1987, 0, 0, 0, 0, 0, 0, 0, 0, 13.12, 3.23, 3.33, 0, 1.63
1988, 19.22, 23.26, 10.27, 6.67, 2.75, 0, 22.51, 22.58, 13.33, 27.59, 0, 3.33, 12.69
1989, 6.45, 6.61, 22.34, 6.67, 9.68, 0, 0, 0, 3.33, 3.23, 6.45, 19.35, 7.04
1990, 19.08, 50, 39.57, 3.33, 22.58, 10, 15.37, 9.68, 16.67, 14.48, 29.65, 6.45, 19.54
1991, 3.23, 14.29, 22.48, 13.26, 0, 16.67, 35.48, 3.23, 46.67, 6.45, 13.26, 5.7, 14.98
1992, 8.65, 13.79, 6.18, 3.33, 25.33, 0, 11.81, 48.04, 22.77, 3.23, 20, 25.26, 15.8
1993, 8.85, 21.43, 16.13, 22.34, 22.31, 26.67, 3.23, 28.35, 3.33, 11.94, 6.67, 34.75, 17.16
1994, 44.68, 7.14, 41.94, 13.33, 9.68, 13.12, 47.22, 49.9, 36.6, 12.77, 5.74, 6.45, 24.26
1995, 19.35, 27.66, 2.33, 16.67, 19.35, 6.6, 31.37, 0, 0, 24.71, 10, 6.45, 13.65
1996, 3.23, 0, 0, 25.74, 15.79, 56.67, 12.42, 6.04, 0, 9.61, 40, 6.31, 14.6
1997, 6.38, 24.92, 44.06, 16.67, 32.26, 18.37, 0, 15.99, 43.33, 28.96, 13.19, 8.72, 21.02
1998, 6.45, 39.21, 21.41, 6.67, 12.77, 12.91, 14.82, 31.64, 3.33, 12.56, 3.33, 0, 13.63
1999, 12.01, 10.49, 11.81, 15.53, 19.35, 13.33, 9.61, 9.68, 13.33, 6.45, 0, 18.87, 11.73
2000, 8.72, 0, 6.45, 20, 34.93, 28.09, 16.13, 35.14, 23.33, 6.45, 23.33, 12.77, 18.03
2001, 22.58, 20.29, 28.41, 0, 16.29, 0, 0, 27.59, 0, 40.11, 0, 0, -99.9
