year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, -1.5, 3, -1.6, 10.1, 16.3, 19.8, 21.3, 21.5, 15.3, 12, 2.8, 1.6, -1.6
1972, 3.1, 4.3, 7.8, 9.3, 8.3, 12.9, 10.4, 18, 15.7, 10.3, 6, -0.3, -0.3
1973, -0.3, 4, 6.2, 6.3, 14.1, 19, 21.9, 24.3, 15.4, 10.1, 4.9, -0.3, -0.3
1974, 1.1, 7.3, 3.4, 10.5, 14.8, 22.2, 25.4, 17.8, 19.4, 7, 4.2, 0.6, 0.6
1975, -2.8, 5.1, 7.6, 10.2, 15.5, 18.7, 23.6, 20.4, 22, 12.7, 3.1, -2.7, -2.8
1976, 2, 4, -99.9, -99.9, -99.9, 15, 22, 17, 16, 11, 6, 0, -99.9
1977, 0, 6, 8, 8, 13, 20, 23, 22, 14, 15, 6, 0, 0
1978, 4, 3, -99.9, 9, 13, 17, 20, 20, 19, 12, 7, -99.9, 3
1979, -4, 6, 10, 7, 15, 20, 18, 20, 15, 7, -99.9, -99.9, -99.9
1980, -4, 3, 10, 10, 12, 18.5, 22, 23.5, 20, -99.9, -99.9, 0, -4
1981, 2, 4, 3, 12, 14, -99.9, 20, 23, 18.5, 15, -99.9, 0, -99.9
1982, -2.5, -1.5, 5.5, 9, 13.5, 22.5, 24, 22, 20, 13, 7.5, 2, -2.5
1983, -1.5, 1.5, 2.5, 9.5, 16, 19, 23.5, 22.5, 21.5, 12.5, 4, -1, -1.5
1984, 1, 1, -99.9, -99.9, 12, 20, 23, 21, 16, 15.5, 4, -1, -99.9
1985, -8, 3, 7, 13, 15, 19, 26.5, 26.5, 22.5, 12, 2, 2, -8
1986, 4, 0, 1, 9, 20, 17.5, 20, 24, 19, 13, 4, -1.5, -1.5
1987, -4.5, -1, 0, 8.5, 10.5, 16, 23.5, 21, 16.5, 10.5, 6, 1, -4.5
1988, 4.3, 7.3, 8.9, 13.7, 18.2, 20.8, 27, 26.3, 14.4, 14, 4.7, 1.8, 1.8
1989, -2.6, 2.7, 9.7, 14.4, 14.1, 18.1, 19, 19.8, 16.8, 11.5, -0.5, -1.4, -2.6
1990, -0.1, 2.9, 8, 13.3, 20.7, 22.5, 23.3, 24.8, 18.5, 10.4, 6.9, 2, -0.1
1991, 3.1, -3.7, 10.2, 5.8, 11.2, 18.4, 27.2, 26.8, 23.2, 8.6, 5.7, 1.6, -3.7
1992, -1, 4.1, 6.7, 12.8, 18.5, 22.8, 24.4, 28, 22.6, 11.6, 9.3, 3.2, -1
1993, 1.3, 3.8, 5.7, 13.3, 20.5, 23.3, 25, 23.4, 19.8, 10.7, 3.2, 2.9, 1.3
1994, 4.6, 2.1, 12.2, 10.9, 19.5, 16.5, 25.3, 26, 14.5, 14.5, 5.8, 3.7, 2.1
1995, 3.1, 7.8, 7.6, 12.1, 14.1, 13.3, 27.7, 18.4, 20.2, 14.7, 6.2, 1.3, 1.3
1996, 0, 2.4, 3.7, 8.8, 16, 20.2, 26.1, 19.5, 16.4, 15.1, 5.1, -2.6, -2.6
1997, 0.5, 3.5, 11.2, 7.6, 15.4, 17.5, 29.2, 25.8, 22.1, 8.9, 6.2, 0.4, 0.4
1998, 2.6, 2.4, 7.4, 14, 16.5, 21.9, 22, 22.2, 18.9, 14, 3.2, 0.1, 0.1
1999, 3, 2.5, 8.1, 12.3, 19.2, 19.4, 25.5, 21.3, 23.1, 9.4, 3.2, 0.8, 0.8
2000, 1.4, 5.3, 10.5, 10.9, 21.1, 23.3, 22.6, 23, 22.1, 14.1, 9.5, -0.9, -0.9
