year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 11.3, 12.8, 18, 21.7, 26.3, 30, 32.6, 34.3, 29.1, 21.4, 22, 10.4, 34.3
1972, 10.5, 14.5, 21.8, 19.4, 20.5, 23.6, 27.7, 32.6, 24.3, 19, 19.8, 14.6, 32.6
1973, 10.6, 14.6, 18, 22, 28.8, 34.8, 36.3, 34.9, 34, 27, 16.8, 14.1, 36.3
1974, 17.4, 15.6, 17.5, 20, 30.6, 31.1, 37.3, 38.4, 30, 22.2, 15.9, 12.3, 38.4
1975, 11.9, 13.1, 16.9, 22, 31.4, 34.9, 36.8, 33.3, 30.4, 28.6, 18.3, 15.1, 36.8
1976, 12, 20, -99.9, -99.9, -99.9, 32, 33, 28, 25, 25, 18, 15, -99.9
1977, 12, 19, 26, 24, 25, 31, 33, 30, 29, 23, 18, 10, 33
1978, 13, 15, -99.9, 21, 24, 30, 31, 33, 27, 22, 15, -99.9, 33
1979, 19, 14, 19, 19, 28, 32, 32.5, 35, 29, 26, -99.9, -99.9, -99.9
1980, 13, 15, 16, 21, 23, 28, 32, 33.5, 28, -99.9, -99.9, 11, 33.5
1981, 11, 14.5, 20, 24, 25.5, -99.9, 30.5, 33, 30, 25.5, -99.9, 15, -99.9
1982, 13, 12, 15, 20, 27, 34, 33, 32.5, 28.5, 22, 16.5, 15, 34
1983, 14, 11.5, 19, 21.5, 27, 30, 36.5, 34.5, 28.5, 25, 18, 15, 36.5
1984, 12, 13, -99.9, -99.9, 27.5, 31, 35.5, 31.5, 30.5, 23.5, 17.5, 14.5, -99.9
1985, 10.5, 13.5, 20, 24.5, 30.5, 32, 36.5, 36, 33.5, 28, 18.5, 17, 36.5
1986, 14, 9.5, 21, 23, 31.5, 34.5, 34, 35, 31, 28, 16, 8.5, 35
1987, 4.5, 9.5, 16.5, 21, 24.5, 29, 32.5, 30, 30.5, 24.5, 19, 10.5, 32.5
1988, 18.7, 20.3, 20.6, 25.9, 27.2, 30.5, 38.8, 37.2, 31.4, 28, 15.4, 13.1, 38.8
1989, 13.8, 15.3, 23.8, 23.7, 28.9, 32.4, 33.7, 34.5, 29.3, 23.4, 23.7, 23.2, 34.5
1990, 16.6, 21.7, 24.6, 24, 29.8, 33.7, 35.6, 34.7, 34.6, 27, 24.4, 15, 35.6
1991, 11.7, 18.1, 21.8, 23.3, 28.3, 35.5, 36.1, 36.9, 32.3, 27.5, 21.1, 13.1, 36.9
1992, 13.3, 29.3, 18.9, 23.5, 31.5, 30.2, 36.1, 37.9, 31.1, 25.2, 23.4, 20.9, 37.9
1993, 14.5, 15.7, 22.4, 28.1, 30.7, 34.4, 36.9, 38.5, 31.4, 29.8, 21.9, 17.7, 38.5
1994, 15.7, 16.6, 23.3, 26.4, 30.9, 34.1, 38.3, 38.5, 33.2, 28.7, 20, 14.8, 38.5
1995, 14.7, 18, 20.6, 23.5, 31.3, 34.1, 36.5, 34, 29.2, 27.5, 17.6, 15.5, 36.5
1996, 13.3, 13.5, 19.1, 26.4, 31.4, 40.1, 35.5, 35.1, 30.3, 26.1, 23.8, 12.3, 40.1
1997, 12.5, 20, 26.6, 26.3, 33.8, 33.1, 34.4, 35.7, 33.2, 28.9, 21.9, 13.4, 35.7
1998, 12.2, 19.6, 19.4, 22.7, 28.2, 33.5, 35.9, 36.4, 31.8, 24.7, 21.6, 9.8, 36.4
1999, 13.4, 14.4, 20.7, 23.3, 33.5, 33, 36.2, 37.7, 31.1, 25.1, 17.4, 16.6, 37.7
2000, 16.1, 13.8, 19.1, 30.2, 29.6, 36, 38.1, 39.6, 32.8, 26.7, 21.6, 17.6, 39.6
2001, 13.7, 15.8, 24.1, 22.2, 35.1, -99.9, 34.1, 37.4, -99.9, -99.9, -99.9, 9.9, -99.9
2002, 13.2, 18.3, 23.2, 22, 28.8, 35.5, 34.6, 32.9, 29.2, 24.4, 23.4, 13.6, 35.5
2003, 13.1, 14.5, 21.4, 25.5, 30, 37.4, 35.9, 39.2, 32.4, 26.9, 19.8, 16.1, 39.2
2004, 13.4, 16.4, 22.9, 25.1, 28.4, 35.3, 35.7, 34.7, 31.5, 27.7, 22.3, 14.2, 35.7
2005, 12.7, 17.4, 24.4, 23.4, 32.5, 35.5, 36.8, 33.8, 32.3, 21.2, 17.5, 13.7, 36.8
2006, 9.5, 17.3, 20.5, 24.7, 28.6, 34.8, 36.4, 32, 30.7, 27.5, 20.4, 17.1, 36.4
2007, 16.7, 17.2, 22, 27.4, 32.7, 33, 37.2, 33.9, 28.7, 25.7, 17.1, 15.1, 37.2
2008, 14.9, 14.4, 25.6, 23.1, 28.4, 35.4, 33.7, 35.7, 33.8, 25.4, 22.7, 14.4, 35.7
2009, 15.2, 17.3, 19.1, 23.6, 35.1, 33.8, 35.5, 35.1, 32.9, 27.8, 16.1, 18.6, 35.5
2010, 10.7, 16.3, 21.2, 25.2, 29.2, 31.1, 35.3, 33.5, 27.7, 24.5, 21.4, 12.9, 35.3
2011, 9.1, 15, 21.7, 30.8, 30.2, 32.1, 35.2, 37.1, 32.8, 28.6, 19.4, 16.8, 37.1
2012, 12.4, 18.6, 26.7, 25.2, 30.2, 35.1, 36.9, 35.7, 31, 26.5, 21.5, 11.4, 36.9
2013, 12.2, 13.5, 16.4, 23.4, 25.6, 33.9, 36.2, 36.5, 30, 25.5, 23.9, 15.2, 36.5
2014, 16.2, 16.7, 21, 24.4, 27.2, 34, 34.9, 33.2, 28.1, 27.6, 21.4, 15.9, 34.9
2015, 14.9, 13.5, 20.1, 24.3, 29.6, 31.7, 37.1, 35.6, 34.4, 22.8, 21.4, 13.8, 37.1
2016, 17.8, 17.5, 21.3, 24.1, 27.5, 33.7, 35.8, 35.2, 31.3, 26.4, 21.2, 13.4, 35.8
2017, 10.9, 17.7, 23.4, 24.3, 29.5, 35.6, 36.2, 39.4, 33.5, 25.1, 18.3, 18, 39.4
2018, 15.8, 14.8, 19.5, 27.7, 28.5, 32.1, 34.2, 34.7, 30.4, 25.4, 20.6, 15.9, 34.7
2019, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
