year,p,pet,aet,pu,pu.p,infl,ds
Jan-71,78.6,4.2,4.2,9.69,0.12,64.71,64.71
Feb-71,22.6,10.48,10.48,7.05,0.31,5.08,5.08
Mar-71,41.2,15,15,9.75,0.24,16.45,16.45
Apr-71,20.6,56.07,51.52,8.62,0.42,0,-39.54
May-71,63,90.74,81.79,5.11,0.08,0,-23.9
Jun-71,49,117.81,81.1,3.3,0.07,0,-35.4
Jul-71,28.6,145.35,55.3,1.76,0.06,0,-28.46
Aug-71,8.8,145.3,20.37,0.9,0.1,0,-12.48
Sep-71,88.4,78.86,78.86,1.6,0.02,7.94,7.94
Oct-71,23.8,45.81,44,1.87,0.08,0,-22.07
Nov-71,107.2,22.16,22.16,3.59,0.03,81.45,81.45
Dec-71,22.4,5.69,5.69,6.17,0.28,10.54,10.54
Jan-72,153.4,9.35,9.35,36.41,0.24,107.64,107.64
Feb-72,90.2,20.92,20.92,51.07,0.57,18.21,18.21
Mar-72,23.2,38.35,37.47,24.09,1.04,0,-38.36
Apr-72,157,53.71,53.71,53.43,0.34,49.86,49.86
May-72,43.6,48.78,48.67,15.91,0.36,0,-20.98
Jun-72,16,82.25,65.45,2.15,0.13,0,-51.6
Jul-72,77.2,88.98,83.58,3.13,0.04,0,-9.51
Aug-72,61,124.32,86.71,2.82,0.05,0,-28.53
Sep-72,155.6,74.81,74.81,14.85,0.1,65.94,65.94
Oct-72,42.2,45.62,45.57,8.08,0.19,0,-11.46
Nov-72,55.8,24.88,24.88,11.14,0.2,19.78,19.78
Dec-72,45.2,10.21,10.21,21.24,0.47,13.75,13.75
Jan-73,131,6.65,6.65,73.13,0.56,51.22,51.22
Feb-73,47.8,10.67,10.67,45.62,0.95,0,-8.49
Mar-73,87.2,16.87,16.87,54.62,0.63,15.71,15.71
Apr-73,76.6,38.28,38.28,24.75,0.32,13.56,13.56
May-73,18.8,91.73,74.17,9.44,0.5,0,-64.81
Jun-73,44.6,137.39,81.41,3.85,0.09,0,-40.66
Jul-73,44.8,163.52,65.44,1.75,0.04,0,-22.39
Aug-73,17.4,143.73,25.75,0.42,0.02,0,-8.77
Sep-73,227,102.54,102.54,26.72,0.12,97.74,97.74
Oct-73,44.6,53.44,53.14,29.96,0.67,0,-38.5
Nov-73,26.2,12.79,12.79,11.2,0.43,2.21,2.21
Dec-73,12,1.78,1.78,7.78,0.65,2.43,2.43
Jan-74,18.6,5.62,5.62,9.41,0.51,3.57,3.57
Feb-74,27.4,19.82,19.82,7.36,0.27,0.22,0.22
Mar-74,41,26.11,26.11,17.07,0.42,0,-2.19
Apr-74,64.6,48.65,48.65,7.35,0.11,8.61,8.61
May-74,42.6,91.76,83.31,3.46,0.08,0,-44.16
Jun-74,63.2,126.79,97,3.42,0.05,0,-37.22
Jul-74,57.2,163.08,86.47,3.85,0.07,0,-33.12
Aug-74,54.8,154.25,66.93,2.68,0.05,0,-14.8
Sep-74,19,99.67,23.77,4.74,0.25,0,-9.52
Oct-74,50.2,32.03,32.03,4.15,0.08,14.02,14.02
Nov-74,49.2,18.56,18.56,6.1,0.12,24.54,24.54
Dec-74,20.2,1.89,1.89,4.9,0.24,13.41,13.41
Jan-75,6,3.18,3.18,3.26,0.54,0,-0.44
Feb-75,30.8,9.1,9.1,5.15,0.17,16.56,16.56
Mar-75,44.6,26.66,26.66,6.86,0.15,11.08,11.08
Apr-75,42,51.76,51.4,4.91,0.12,0,-14.31
May-75,111,100.35,100.35,5.76,0.05,4.89,4.89
Jun-75,78.8,129.4,120.48,4.33,0.05,0,-46.01
Jul-75,27.8,162,83.06,0.58,0.02,0,-55.84
Aug-75,91.6,139.88,100.85,1.96,0.02,0,-11.22
Sep-75,21.2,109.7,31.2,4.43,0.21,0,-14.43
Oct-75,100,50.92,50.92,5.52,0.06,43.56,43.56
Nov-75,86.4,19.7,19.7,6.44,0.07,60.26,60.26
Dec-75,7.6,3.19,3.19,7.49,0.99,0,-3.08
Jan-76,14.4,7.58,7.58,4.26,0.3,2.55,2.55
Feb-76,71,23.24,23.24,22.3,0.31,25.46,25.46
Mar-76,64.2,14.7,14.7,37.76,0.59,11.74,11.74
Apr-76,32.6,6.93,6.93,13.04,0.4,12.63,12.63
May-76,18,71.8,61.79,5.81,0.32,0,-49.6
Jun-76,21,117.05,64.85,3.03,0.14,0,-46.88
Jul-76,36.4,143.34,58.34,0.96,0.03,0,-22.9
Aug-76,140,101.95,101.95,7.44,0.05,30.61,30.61
Sep-76,119.2,78.64,78.64,12.04,0.1,28.51,28.51
Oct-76,93,54.51,54.51,12.71,0.14,25.78,25.78
Nov-76,51.9,25.13,25.13,18.12,0.35,8.64,8.64
Dec-76,53.6,8.24,8.24,29.33,0.55,16.03,16.03
Jan-77,33.2,8.34,8.34,24.66,0.74,0.2,0.2
Feb-77,31.2,21.67,21.67,20.98,0.67,0,-11.44
Mar-77,59.4,39.24,39.24,17.61,0.3,2.56,2.56
Apr-77,29.8,46.87,45.76,18.9,0.63,0,-34.86
May-77,23.2,86.7,66.76,4.57,0.2,0,-48.13
Jun-77,21.8,121.85,58.23,0.68,0.03,0,-37.11
Jul-77,63,140.35,76.78,2.53,0.04,0,-16.31
Aug-77,81.1,116.78,85.11,6.32,0.08,0,-10.33
Sep-77,27.6,76.87,31.57,5.93,0.21,0,-9.9
Oct-77,38,58.6,39.25,5.5,0.14,0,-6.75
Nov-77,94.4,23.59,23.59,8.46,0.09,62.35,62.35
Dec-77,24.1,4.52,4.52,16.34,0.68,3.24,3.24
Jan-78,74,9.39,9.39,20.91,0.28,43.7,43.7
Feb-78,31.6,10.37,10.37,24.42,0.77,0,-3.18
Mar-78,48.8,22.93,22.93,43.55,0.89,0,-17.68
Apr-78,52.6,48.6,48.6,18.58,0.35,0,-14.58
May-78,55.4,81.69,79.13,13.13,0.24,0,-36.86
Jun-78,38.8,113.82,84.69,3.21,0.08,0,-49.1
Jul-78,45.6,117.9,70.22,3.36,0.07,0,-27.98
Aug-78,31,105.85,45.23,1.6,0.05,0,-15.83
Sep-78,29,87.3,35.5,4.26,0.15,0,-10.76
Oct-78,76.5,49.45,49.45,8.56,0.11,18.49,18.49
Nov-78,48.7,13.47,13.47,7.46,0.15,27.77,27.77
Dec-78,65.6,4.67,4.67,37.7,0.57,23.23,23.23
Jan-79,39.1,0.07,0.07,46.16,1.18,0,-7.13
Feb-79,53,15.98,15.98,49.83,0.94,0,-12.8
Mar-79,36.6,32.32,32.32,17.08,0.47,0,-12.8
Apr-79,22.1,43.73,41.97,9.22,0.42,0,-29.09
May-79,0,87.17,52.99,3.77,0,0,-56.77
Jun-79,14.8,136.34,47.68,0.19,0.01,0,-33.08
Jul-79,122.6,125.96,123.13,7.12,0.06,0,-7.65
Aug-79,117.6,119.84,117.95,5.4,0.05,0,-5.75
Sep-79,64,88.16,67.38,11.37,0.18,0,-14.75
Oct-79,22.4,49.09,25.45,6.79,0.3,0,-9.84
Nov-79,128.8,10.82,10.82,59.95,0.47,58.03,58.03
Dec-79,40.8,6.53,6.53,30.04,0.74,4.24,4.24
Jan-80,27.4,2.83,2.83,91.28,3.33,0,-66.71
Feb-80,6.6,12.12,12,14.81,2.24,0,-20.21
Mar-80,49.1,30.99,30.99,20.76,0.42,0,-2.65
Apr-80,64.3,44.15,44.15,27.78,0.43,0,-7.63
May-80,94.5,78.81,78.81,30.25,0.32,0,-14.56
Jun-80,30.6,119.09,94.18,10.33,0.34,0,-73.9
Jul-80,2.3,130.66,42.19,4.04,1.76,0,-43.92
Aug-80,19.4,135.15,32.94,1.7,0.09,0,-15.25
Sep-80,21.8,96.71,25.83,5.29,0.24,0,-9.32
Oct-80,52,44.13,44.13,2.82,0.05,5.05,5.05
Nov-80,221.2,11.38,11.38,41.53,0.19,168.29,168.29
Dec-80,58.2,3.84,3.84,78.78,1.35,0,-24.42
Jan-81,71.8,1.35,1.35,33.77,0.47,36.67,36.67
Feb-81,15,8.26,8.26,25.43,1.7,0,-18.7
Mar-81,42.8,36.48,36.48,0,0,6.32,6.32
Apr-81,15.2,57.11,50.85,0,0,0,-35.65
May-81,47,84.71,70.37,0,0,0,-23.37
Jun-81,148.5,64.27,64.27,0,0,84.23,84.23
Jul-81,31.6,127.05,98.53,0,0,0,-66.93
Aug-81,52.2,126.5,78.52,0,0,0,-26.32
Sep-81,163.2,97.23,97.23,30.09,0.18,35.88,35.88
Oct-81,20.6,57.61,52.67,14.01,0.68,0,-46.08
Nov-81,5.6,0.45,0.45,5.74,1.02,0,-0.59
Dec-81,52.2,5.9,5.9,16.25,0.31,30.05,30.05
Jan-82,15.8,1.9,1.9,16.34,1.03,0,-2.44
Feb-82,8.8,2.93,2.93,7,0.8,0,-1.13
Mar-82,88.2,19.97,19.97,53.25,0.6,14.98,14.98
Apr-82,25.4,43,41.82,12.11,0.48,0,-28.53
May-82,56.6,85.41,79,13.15,0.23,0,-35.55
Jun-82,11.6,129.53,64.59,1.22,0.1,0,-54.2
Jul-82,77.4,145.74,91.71,2.53,0.03,0,-16.84
Aug-82,71.8,125.45,78.69,4.33,0.06,0,-11.22
Sep-82,49.8,97.08,53.86,6.27,0.13,0,-10.34
Oct-82,84.4,51.23,51.23,5.7,0.07,27.47,27.47
Nov-82,130.6,21.73,21.73,5.16,0.04,103.72,103.72
Dec-82,82.2,9.85,9.85,47.39,0.58,24.96,24.96
Jan-83,12.4,1.75,1.75,10.26,0.83,0.39,0.39
Feb-83,25.2,3.97,3.97,24.51,0.97,0,-3.28
Mar-83,21.8,26.39,26.3,37.17,1.7,0,-41.67
Apr-83,30.6,56.15,52.9,22.23,0.73,0,-44.53
May-83,20,87.99,61.37,5.03,0.25,0,-46.4
Jun-83,51.6,115.71,74.66,2.33,0.05,0,-25.4
Jul-83,3.8,156.96,28.26,2.24,0.59,0,-26.69
Aug-83,49.1,123.53,53.7,1.56,0.03,0,-6.16
Sep-83,4,93.52,6.9,2.85,0.71,0,-5.75
Oct-83,41.4,50.26,41.59,2.24,0.05,0,-2.43
Nov-83,3.6,13.55,3.8,1.75,0.49,0,-1.95
Dec-83,36.7,4.8,4.8,1.41,0.04,30.49,30.49
Jan-84,18.8,3.09,3.09,2.24,0.12,13.47,13.47
Feb-84,48,6.46,6.46,3.84,0.08,37.69,37.69
Mar-84,52,6.86,6.86,20.54,0.39,24.61,24.61
Apr-84,38.6,37.63,37.63,7.44,0.19,0,-6.47
May-84,95,82.39,82.39,26.17,0.28,0,-13.55
Jun-84,20.4,120.15,89.31,5.16,0.25,0,-74.07
Jul-84,27,141.2,61.02,1.95,0.07,0,-35.97
Aug-84,63,121.31,71.54,1.17,0.02,0,-9.71
Sep-84,77.6,92.69,79.24,5.45,0.07,0,-7.09
