year,p,pet,aet,pu,pu.p,infl,ds
Jan-71,78.6,4.2,4.2,27.43,0.35,46.97,46.97
Feb-71,22.6,10.48,10.48,21.49,0.95,0,-9.37
Mar-71,41.2,15,15,23.13,0.56,3.07,3.07
Apr-71,20.6,56.07,51.52,26.61,1.29,0,-57.53
May-71,63,90.74,81.79,11.67,0.19,0,-30.46
Jun-71,49,117.81,81.1,4.91,0.1,0,-37.02
Jul-71,28.6,145.35,55.3,0.41,0.01,0,-27.11
Aug-71,8.8,145.3,20.37,0.41,0.05,0,-11.98
Sep-71,88.4,78.86,78.86,3.48,0.04,6.06,6.06
Oct-71,23.8,45.81,44,0.41,0.02,0,-20.6
Nov-71,107.2,22.16,22.16,18.01,0.17,67.03,67.03
Dec-71,22.4,5.69,5.69,32.75,1.46,0,-16.05
Jan-72,153.4,9.35,9.35,114.22,0.74,29.82,29.82
Feb-72,90.2,20.92,20.92,114.22,1.27,0,-44.94
Mar-72,23.2,38.35,37.47,68.98,2.97,0,-83.25
Apr-72,157,53.71,53.71,87.2,0.56,16.09,16.09
May-72,43.6,48.78,48.67,40.94,0.94,0,-46.01
Jun-72,16,82.25,65.45,15.76,0.99,0,-65.21
Jul-72,77.2,88.98,83.58,1.43,0.02,0,-7.81
Aug-72,61,124.32,86.71,5.53,0.09,0,-31.24
Sep-72,155.6,74.81,74.81,32.14,0.21,48.65,48.65
Oct-72,42.2,45.62,45.57,12.28,0.29,0,-15.66
Nov-72,55.8,24.88,24.88,14.33,0.26,16.59,16.59
Dec-72,45.2,10.21,10.21,46.67,1.03,0,-11.68
Jan-73,131,6.65,6.65,81.53,0.62,42.82,42.82
Feb-73,47.8,10.67,10.67,38.94,0.81,0,-1.81
Mar-73,87.2,16.87,16.87,67.58,0.77,2.75,2.75
Apr-73,76.6,38.28,38.28,21.83,0.28,16.49,16.49
May-73,18.8,91.73,74.17,9.1,0.48,0,-64.47
Jun-73,44.6,137.39,81.41,6.55,0.15,0,-43.36
Jul-73,44.8,163.52,65.44,0.41,0.01,0,-21.05
Aug-73,17.4,143.73,25.75,1,0.06,0,-9.34
Sep-73,227,102.54,102.54,26.02,0.11,98.43,98.43
Oct-73,44.6,53.44,53.14,38.62,0.87,0,-47.16
Nov-73,26.2,12.79,12.79,15.18,0.58,0,-1.77
Dec-73,12,1.78,1.78,7.59,0.63,2.63,2.63
Jan-74,18.6,5.62,5.62,9.06,0.49,3.91,3.91
Feb-74,27.4,19.82,19.82,9.63,0.35,0,-2.06
Mar-74,41,26.11,26.11,16.55,0.4,0,-1.66
Apr-74,64.6,48.65,48.65,7.03,0.11,8.92,8.92
May-74,42.6,91.76,83.31,8.86,0.21,0,-49.57
Jun-74,63.2,126.79,97,7.68,0.12,0,-41.48
Jul-74,57.2,163.08,86.47,10.88,0.19,0,-40.15
Aug-74,54.8,154.25,66.93,2.09,0.04,0,-14.22
Sep-74,19,99.67,23.77,2.47,0.13,0,-7.24
Oct-74,50.2,32.03,32.03,3,0.06,15.17,15.17
Nov-74,49.2,18.56,18.56,6.23,0.13,24.41,24.41
Dec-74,20.2,1.89,1.89,7.7,0.38,10.61,10.61
Jan-75,6,3.18,3.18,4.1,0.68,0,-1.29
Feb-75,30.8,9.1,9.1,3.87,0.13,17.83,17.83
Mar-75,44.6,26.66,26.66,5.32,0.12,12.62,12.62
Apr-75,42,51.76,51.4,8.23,0.2,0,-17.62
May-75,111,100.35,100.35,6.61,0.06,4.05,4.05
Jun-75,78.8,129.4,120.48,7.8,0.1,0,-49.48
Jul-75,27.8,162,83.06,0.83,0.03,0,-56.08
Aug-75,91.6,139.88,100.85,2.35,0.03,0,-11.6
Sep-75,21.2,109.7,31.2,1.17,0.06,0,-11.17
Oct-75,100,50.92,50.92,12.66,0.13,36.42,36.42
Nov-75,86.4,19.7,19.7,26.02,0.3,40.68,40.68
Dec-75,7.6,3.19,3.19,13.11,1.72,0,-8.69
Jan-76,14.4,7.58,7.58,7.99,0.55,0,-1.17
Feb-76,71,23.24,23.24,29.95,0.42,17.81,17.81
Mar-76,64.2,14.7,14.7,42.84,0.67,6.65,6.65
Apr-76,32.6,6.93,6.93,18.01,0.55,7.66,7.66
May-76,18,71.8,61.79,5.44,0.3,0,-49.23
Jun-76,21,117.05,64.85,0.8,0.04,0,-44.65
Jul-76,36.4,143.34,58.34,0,0,0,-21.94
Aug-76,140,101.95,101.95,2.18,0.02,35.87,35.87
Sep-76,119.2,78.64,78.64,2.66,0.02,37.9,37.9
Oct-76,93,54.51,54.51,6.45,0.07,32.03,32.03
