year,p,pet,aet,pu,pu/p,infl,ds
Jan-71,78.6,4.2,4.2,52.88,0.67,21.52,21.52
Feb-71,22.6,10.48,10.48,30.07,1.33,0,-17.95
Mar-71,41.2,15,15,39.4,0.96,0,-13.2
Apr-71,20.6,56.07,51.52,40.09,1.95,0,-71.01
May-71,63,90.74,81.79,26.27,0.42,0,-45.06
Jun-71,49,117.81,81.1,21.08,0.43,0,-53.18
Jul-71,28.6,145.35,55.3,14.52,0.51,0,-41.21
Aug-71,8.8,145.3,20.37,12.44,1.41,0,-24.02
Sep-71,88.4,78.86,78.86,14.52,0.16,0,-4.97
Oct-71,23.8,45.81,44,12.79,0.54,0,-32.98
Nov-71,107.2,22.16,22.16,39.05,0.36,45.99,45.99
Dec-71,22.4,5.69,5.69,28.17,1.26,0,-11.46
Jan-72,153.4,9.35,9.35,81.5,0.53,62.54,62.54
Feb-72,90.2,20.92,20.92,108.63,1.2,0,-39.35
Mar-72,23.2,38.35,37.47,48.67,2.1,0,-62.94
Apr-72,157,53.71,53.71,84.67,0.54,18.62,18.62
May-72,43.6,48.78,48.67,40.9,0.94,0,-45.97
Jun-72,16,82.25,65.45,12.84,0.8,0,-62.3
Jul-72,77.2,88.98,83.58,6.62,0.09,0,-13
Aug-72,61,124.32,86.71,10.6,0.17,0,-36.31
Sep-72,155.6,74.81,74.81,76.49,0.49,4.3,4.3
Oct-72,42.2,45.62,45.57,19.41,0.46,0,-22.79
Nov-72,55.8,24.88,24.88,27.19,0.49,3.73,3.73
Dec-72,45.2,10.21,10.21,60.48,1.34,0,-25.49
Jan-73,131,6.65,6.65,127.12,0.97,0,-2.78
Feb-73,47.8,10.67,10.67,62.67,1.31,0,-25.54
Mar-73,87.2,16.87,16.87,102.3,1.17,0,-31.97
Apr-73,76.6,38.28,38.28,47.12,0.62,0,-8.8
May-73,18.8,91.73,74.17,22.12,1.18,0,-77.49
Jun-73,44.6,137.39,81.41,13.65,0.31,0,-50.46
Jul-73,44.8,163.52,65.44,8.64,0.19,0,-29.28
Aug-73,17.4,143.73,25.75,6.62,0.38,0,-14.97
Sep-73,227,102.54,102.54,67.33,0.3,57.12,57.12
Oct-73,44.6,53.44,53.14,61.92,1.39,0,-70.46
Nov-73,26.2,12.79,12.79,21.6,0.82,0,-8.19
Dec-73,12,1.78,1.78,14.54,1.21,0,-4.33
Jan-74,18.6,5.62,5.62,17.71,0.95,0,-4.74
Feb-74,27.4,19.82,19.82,17.86,0.65,0,-10.28
Mar-74,41,26.11,26.11,32.43,0.79,0,-17.54
Apr-74,64.6,48.65,48.65,15.98,0.25,0,-0.03
May-74,42.6,91.76,83.31,18.43,0.43,0,-59.14
Jun-74,63.2,126.79,97,11.2,0.18,0,-45.01
Jul-74,57.2,163.08,86.47,20.91,0.37,0,-50.18
Aug-74,54.8,154.25,66.93,11.52,0.21,0,-23.65
Sep-74,19,99.67,23.77,12.04,0.63,0,-16.81
Oct-74,50.2,32.03,32.03,17.4,0.35,0.77,0.77
Nov-74,49.2,18.56,18.56,14.98,0.3,15.66,15.66
Dec-74,20.2,1.89,1.89,17.28,0.86,1.03,1.03
Jan-75,6,3.18,3.18,12.67,2.11,0,-9.86
